docId,workerId,assignmentId,time,trecScore,workerScore,trecBinaryScore,workerBinaryScore
CAR_e49e379d2892ca5cce65363ff0c71b971a60516a,A1IBKP5PBH5EHC,3UOUJI6MTIU73WL16W0FDLVGF39XU0,91000,0,0,0,0
CAR_e55b400b5d6840fc0f51bcd3bb5210d5cfd0b316,A1IBKP5PBH5EHC,3UOUJI6MTIU73WL16W0FDLVGF39XU0,91000,0,0,0,0
CAR_e75d0e444e391ccb338476ebc527a4679b5757cb,A1IBKP5PBH5EHC,3UOUJI6MTIU73WL16W0FDLVGF39XU0,91000,0,0,0,0
CAR_e92c4cc17c4b971331955c2890e36a2cd8a5a200,A1IBKP5PBH5EHC,3UOUJI6MTIU73WL16W0FDLVGF39XU0,91000,0,0,0,0
CAR_eb4cfa23d12837dfb10880d5feca48bf07d7f021,A1IBKP5PBH5EHC,3UOUJI6MTIU73WL16W0FDLVGF39XU0,91000,0,0,0,0
MARCO_7792943,A1IBKP5PBH5EHC,34HJIJKLPACGI9MRRB8FCW01Z60V4C,53000,0,0,0,0
MARCO_7792944,A1IBKP5PBH5EHC,34HJIJKLPACGI9MRRB8FCW01Z60V4C,53000,0,0,0,0
MARCO_7838632,A1IBKP5PBH5EHC,34HJIJKLPACGI9MRRB8FCW01Z60V4C,53000,0,1,0,0
MARCO_7838633,A1IBKP5PBH5EHC,34HJIJKLPACGI9MRRB8FCW01Z60V4C,53000,0,1,0,0
MARCO_7838636,A1IBKP5PBH5EHC,34HJIJKLPACGI9MRRB8FCW01Z60V4C,53000,0,1,0,0
MARCO_8231224,A1IBKP5PBH5EHC,3T3IWE1XGB38UM50KDFDEHDLZ2SQTE,83000,0,0,0,0
MARCO_8418574,A1IBKP5PBH5EHC,3T3IWE1XGB38UM50KDFDEHDLZ2SQTE,83000,0,0,0,0
MARCO_8438414,A1IBKP5PBH5EHC,3T3IWE1XGB38UM50KDFDEHDLZ2SQTE,83000,0,0,0,0
MARCO_8570340,A1IBKP5PBH5EHC,3T3IWE1XGB38UM50KDFDEHDLZ2SQTE,83000,0,2,0,1
MARCO_8683278,A1IBKP5PBH5EHC,3T3IWE1XGB38UM50KDFDEHDLZ2SQTE,83000,0,0,0,0
CAR_33d09a5f31a5e5818d5456db1cd0f937dce5e4e3,A1IBKP5PBH5EHC,36W0OB37H1UR35FW7FH1RRM1SA3ZHP,126000,0,0,0,0
CAR_35bc9188881cf5e951736ce12966255766c17f83,A1IBKP5PBH5EHC,36W0OB37H1UR35FW7FH1RRM1SA3ZHP,126000,0,0,0,0
CAR_35dfb25d006f376482307fe61e739f05ec4be1d8,A1IBKP5PBH5EHC,36W0OB37H1UR35FW7FH1RRM1SA3ZHP,126000,0,0,0,0
CAR_3c49b18be5eb5796dcc34cc171fe452ffebb0d30,A1IBKP5PBH5EHC,36W0OB37H1UR35FW7FH1RRM1SA3ZHP,126000,0,0,0,0
CAR_3c526bb5ac526b03b7fca9f5ce565f1300e3844f,A1IBKP5PBH5EHC,36W0OB37H1UR35FW7FH1RRM1SA3ZHP,126000,0,1,0,0
CAR_ffd59f1e33f4918d57f4b83adb96adcc55e1062e,A1IBKP5PBH5EHC,3LPW2N6LKYIY1D1R0QHKL24WMYQU52,55000,0,0,0,0
MARCO_1062926,A1IBKP5PBH5EHC,3LPW2N6LKYIY1D1R0QHKL24WMYQU52,55000,0,0,0,0
MARCO_1129826,A1IBKP5PBH5EHC,3LPW2N6LKYIY1D1R0QHKL24WMYQU52,55000,0,1,0,0
MARCO_1156154,A1IBKP5PBH5EHC,3LPW2N6LKYIY1D1R0QHKL24WMYQU52,55000,0,0,0,0
MARCO_121866,A1IBKP5PBH5EHC,3LPW2N6LKYIY1D1R0QHKL24WMYQU52,55000,0,2,0,1
CAR_07bd154064a2a3f815816122e12340cec2cf4e76,A1IBKP5PBH5EHC,3MAOD8E57VQU861S9VOTZQ3M76RXNH,193000,0,1,0,0
CAR_07ca8aa9d90f4652ff6a5d133cd7b17f98a7cc7a,A1IBKP5PBH5EHC,3MAOD8E57VQU861S9VOTZQ3M76RXNH,193000,0,0,0,0
CAR_0a2cbe5942b56c42fb56f5033eb2775ad3af3d78,A1IBKP5PBH5EHC,3MAOD8E57VQU861S9VOTZQ3M76RXNH,193000,0,0,0,0
CAR_0a72ee9b70fb0e83a1b24c2dc937a5a630918f5f,A1IBKP5PBH5EHC,3MAOD8E57VQU861S9VOTZQ3M76RXNH,193000,0,0,0,0
CAR_0be2e274738abe577c92a59d0fd01b9263f5c92d,A1IBKP5PBH5EHC,3MAOD8E57VQU861S9VOTZQ3M76RXNH,193000,0,0,0,0
CAR_c38af8dcbf13dd1f488210e7ee84f967eb278f1c,A1IBKP5PBH5EHC,3OCHAWUVGT0T00GPCIWD7YMIDAAKXL,106000,0,0,0,0
CAR_c8bbf6f836f654780d913cfce8555dda8d8d3970,A1IBKP5PBH5EHC,3OCHAWUVGT0T00GPCIWD7YMIDAAKXL,106000,0,0,0,0
CAR_c9c32133b89871fefdbe97734ed44b0c490f7882,A1IBKP5PBH5EHC,3OCHAWUVGT0T00GPCIWD7YMIDAAKXL,106000,0,0,0,0
