hitId,queryId,docId,workerId,assignmentId,time,trecScore,workerScore,trecBinaryScore,workerBinaryScore
318,38_8,MARCO_8321289,A1IBKP5PBH5EHC,3F6KKYWMNGHGA0WBIVNH5J0UAAFNDW,89000,0,0,0,0
318,38_8,MARCO_8417507,A1IBKP5PBH5EHC,3F6KKYWMNGHGA0WBIVNH5J0UAAFNDW,89000,0,0,0,0
318,38_8,MARCO_8459494,A1IBKP5PBH5EHC,3F6KKYWMNGHGA0WBIVNH5J0UAAFNDW,89000,0,4,0,1
318,38_8,MARCO_8465357,A1IBKP5PBH5EHC,3F6KKYWMNGHGA0WBIVNH5J0UAAFNDW,89000,0,4,0,1
318,38_8,MARCO_8465358,A1IBKP5PBH5EHC,3F6KKYWMNGHGA0WBIVNH5J0UAAFNDW,89000,0,0,0,0
314,38_8,MARCO_6864424,A1IBKP5PBH5EHC,3FPRZHYEP3NV0D3NRX3W2R8V50R3VU,117000,0,0,0,0
314,38_8,CAR_2cc7f40372b23b02791b4fa149130fafa88f61cd,A1IBKP5PBH5EHC,3FPRZHYEP3NV0D3NRX3W2R8V50R3VU,117000,0,1,0,0
314,38_8,MARCO_6864425,A1IBKP5PBH5EHC,3FPRZHYEP3NV0D3NRX3W2R8V50R3VU,117000,0,0,0,0
314,38_8,MARCO_6898073,A1IBKP5PBH5EHC,3FPRZHYEP3NV0D3NRX3W2R8V50R3VU,117000,0,0,0,0
314,38_8,MARCO_6996984,A1IBKP5PBH5EHC,3FPRZHYEP3NV0D3NRX3W2R8V50R3VU,117000,0,0,0,0
320,38_8,MARCO_8829241,A1IBKP5PBH5EHC,3QHK8ZVMIRYX73V6SMGWX1852U4LBM,70000,0,0,0,0
320,38_8,MARCO_8829245,A1IBKP5PBH5EHC,3QHK8ZVMIRYX73V6SMGWX1852U4LBM,70000,0,1,0,0
320,38_8,MARCO_883305,A1IBKP5PBH5EHC,3QHK8ZVMIRYX73V6SMGWX1852U4LBM,70000,0,1,0,0
320,38_8,MARCO_899947,A1IBKP5PBH5EHC,3QHK8ZVMIRYX73V6SMGWX1852U4LBM,70000,0,1,0,0
320,38_8,MARCO_899949,A1IBKP5PBH5EHC,3QHK8ZVMIRYX73V6SMGWX1852U4LBM,70000,0,1,0,0
319,38_8,MARCO_8465362,A1IBKP5PBH5EHC,3VFJCI1K44F41IYUDS56KO81OZKRGY,91000,0,4,0,1
319,38_8,MARCO_851323,A1IBKP5PBH5EHC,3VFJCI1K44F41IYUDS56KO81OZKRGY,91000,0,0,0,0
319,38_8,MARCO_8575770,A1IBKP5PBH5EHC,3VFJCI1K44F41IYUDS56KO81OZKRGY,91000,0,0,0,0
319,38_8,MARCO_8718944,A1IBKP5PBH5EHC,3VFJCI1K44F41IYUDS56KO81OZKRGY,91000,0,0,0,0
319,38_8,CAR_2d17c7a5877d0ab4e87e757b78389af0e8e9ce9f,A1IBKP5PBH5EHC,3VFJCI1K44F41IYUDS56KO81OZKRGY,91000,0,3,0,1
320,38_8,MARCO_8829241,A1IBKP5PBH5EHC,3GGAI1SQE0E0NQ5X6YD68YTCKKUCMM,80000,0,0,0,0
320,38_8,MARCO_8829245,A1IBKP5PBH5EHC,3GGAI1SQE0E0NQ5X6YD68YTCKKUCMM,80000,0,1,0,0
320,38_8,MARCO_883305,A1IBKP5PBH5EHC,3GGAI1SQE0E0NQ5X6YD68YTCKKUCMM,80000,0,1,0,0
320,38_8,MARCO_899947,A1IBKP5PBH5EHC,3GGAI1SQE0E0NQ5X6YD68YTCKKUCMM,80000,0,3,0,1
320,38_8,MARCO_899949,A1IBKP5PBH5EHC,3GGAI1SQE0E0NQ5X6YD68YTCKKUCMM,80000,0,0,0,0
