hitId,queryId,docId,workerId,assignmentId,time,trecScore,workerScore,trecBinaryScore,workerBinaryScore
187,38_5,MARCO_5423716,A1IBKP5PBH5EHC,3DI28L7YXFUIOZ3M9303EU5C47YE10,67000,0,0,0,0
187,38_5,MARCO_5423718,A1IBKP5PBH5EHC,3DI28L7YXFUIOZ3M9303EU5C47YE10,67000,0,0,0,0
187,38_5,MARCO_5520308,A1IBKP5PBH5EHC,3DI28L7YXFUIOZ3M9303EU5C47YE10,67000,0,0,0,0
187,38_5,MARCO_5534526,A1IBKP5PBH5EHC,3DI28L7YXFUIOZ3M9303EU5C47YE10,67000,0,0,0,0
187,38_5,MARCO_5622612,A1IBKP5PBH5EHC,3DI28L7YXFUIOZ3M9303EU5C47YE10,67000,0,0,0,0
175,38_5,MARCO_2680521,A1IBKP5PBH5EHC,3WRFBPLXRF4IS8UEP6H5SAEIGJ73N0,42000,0,1,0,0
175,38_5,MARCO_2688534,A1IBKP5PBH5EHC,3WRFBPLXRF4IS8UEP6H5SAEIGJ73N0,42000,0,0,0,0
175,38_5,CAR_06efe7d4aa0b107697cc38d76f67e14958b31e0a,A1IBKP5PBH5EHC,3WRFBPLXRF4IS8UEP6H5SAEIGJ73N0,42000,0,0,0,0
175,38_5,MARCO_2692522,A1IBKP5PBH5EHC,3WRFBPLXRF4IS8UEP6H5SAEIGJ73N0,42000,0,0,0,0
175,38_5,MARCO_275961,A1IBKP5PBH5EHC,3WRFBPLXRF4IS8UEP6H5SAEIGJ73N0,42000,0,0,0,0
70,38_2,MARCO_8270721,A1IBKP5PBH5EHC,3SNLUL3WO93C324CSDXR2R0TM8CLUL,113000,0,1,0,0
70,38_2,MARCO_8321286,A1IBKP5PBH5EHC,3SNLUL3WO93C324CSDXR2R0TM8CLUL,113000,0,2,0,1
70,38_2,MARCO_8393135,A1IBKP5PBH5EHC,3SNLUL3WO93C324CSDXR2R0TM8CLUL,113000,0,2,0,1
70,38_2,MARCO_8393137,A1IBKP5PBH5EHC,3SNLUL3WO93C324CSDXR2R0TM8CLUL,113000,0,1,0,0
70,38_2,MARCO_8417507,A1IBKP5PBH5EHC,3SNLUL3WO93C324CSDXR2R0TM8CLUL,113000,0,0,0,0
36,38_2,CAR_03d3fc1f5d38d3c3cc320614ccaa3bbba375680f,A1IBKP5PBH5EHC,3C8HJ7UOPCADVJG7YCXEJWUXOV1MZX,150000,0,1,0,0
36,38_2,CAR_0cc3ebbdaeef192368f159c718b564f98f6dcdcb,A1IBKP5PBH5EHC,3C8HJ7UOPCADVJG7YCXEJWUXOV1MZX,150000,0,2,0,1
36,38_2,CAR_162826f4401cb5a3680097c02eefdd369019f3ac,A1IBKP5PBH5EHC,3C8HJ7UOPCADVJG7YCXEJWUXOV1MZX,150000,0,1,0,0
36,38_2,CAR_1b6cb66524d8037530b6ed8b4d509c3885ff8b1b,A1IBKP5PBH5EHC,3C8HJ7UOPCADVJG7YCXEJWUXOV1MZX,150000,0,0,0,0
