hitId,queryId,docId,workerId,assignmentId,time,trecScore,workerScore,trecBinaryScore,workerBinaryScore
33,43_1,MARCO_7155883,A1IBKP5PBH5EHC,3K5TEWLKG0RAQGL6C0AJ6XAK6CIIV9,77000,0,1,0,0
33,43_1,CAR_24dc3203df093fba4c38f9b8309d72f86a0e9eb7,A1IBKP5PBH5EHC,3K5TEWLKG0RAQGL6C0AJ6XAK6CIIV9,77000,0,0,0,0
33,43_1,MARCO_7241356,A1IBKP5PBH5EHC,3K5TEWLKG0RAQGL6C0AJ6XAK6CIIV9,77000,0,0,0,0
33,43_1,MARCO_7567067,A1IBKP5PBH5EHC,3K5TEWLKG0RAQGL6C0AJ6XAK6CIIV9,77000,0,0,0,0
33,43_1,MARCO_7567070,A1IBKP5PBH5EHC,3K5TEWLKG0RAQGL6C0AJ6XAK6CIIV9,77000,0,0,0,0
19,43_1,CAR_c7feb413ac17ca77630e7c6083457b9f422afbe1,A1IBKP5PBH5EHC,320DUZ38GC2N3UFH5NWXIXMAWCHGJS,93000,0,0,0,0
19,43_1,CAR_c919e9f2aded59b2aa87e51bd514672d0d870030,A1IBKP5PBH5EHC,320DUZ38GC2N3UFH5NWXIXMAWCHGJS,93000,0,0,0,0
19,43_1,CAR_ca4c36ae94899ab7cf54ba47d23138ab069801b6,A1IBKP5PBH5EHC,320DUZ38GC2N3UFH5NWXIXMAWCHGJS,93000,0,0,0,0
19,43_1,CAR_cc11252b92e887a56d9f53eafff6bbc8cbf9d613,A1IBKP5PBH5EHC,320DUZ38GC2N3UFH5NWXIXMAWCHGJS,93000,0,0,0,0
19,43_1,CAR_ce12ca8c4098a99e1606623ae9c315a83940aacb,A1IBKP5PBH5EHC,320DUZ38GC2N3UFH5NWXIXMAWCHGJS,93000,0,2,0,1
16,43_1,CAR_ac4a67c65105beddd2502bc8b0c4d74b0c0263ab,A1IBKP5PBH5EHC,31UV0MXWNVSTSM6R69S62ZGLTOE5IN,111000,0,0,0,0
16,43_1,CAR_adb3ca5aab6017a122ed3522766bcbac9ac28c9e,A1IBKP5PBH5EHC,31UV0MXWNVSTSM6R69S62ZGLTOE5IN,111000,0,0,0,0
16,43_1,CAR_ae28cf0f6f7dc5b8f9cbed5f7496b6a80f1a3263,A1IBKP5PBH5EHC,31UV0MXWNVSTSM6R69S62ZGLTOE5IN,111000,0,2,0,1
16,43_1,CAR_afc7afb625ade6ea5b3adf38f53931cf0687ac14,A1IBKP5PBH5EHC,31UV0MXWNVSTSM6R69S62ZGLTOE5IN,111000,0,0,0,0
16,43_1,CAR_b0c7f2dc40842abe57c12f949a8639e3bf458834,A1IBKP5PBH5EHC,31UV0MXWNVSTSM6R69S62ZGLTOE5IN,111000,0,2,0,1
