docId,workerId,assignmentId,time,trecScore,workerScore,trecBinaryScore,workerBinaryScore,Agree 1,Agree 0,Disagree 1/0,Disagree 0/1,,,Confusion Matrix,,
CAR_2174ad0aa50712ff24035c23f59a3c2b43267650,A1IBKP5PBH5EHC,3FQ5JJ512Q4OO62LAC949WVK7NIKNX,123000,3,3,1,1,1,0,0,0,,,,Worker,
MARCO_3219832,A1IBKP5PBH5EHC,3FQ5JJ512Q4OO62LAC949WVK7NIKNX,123000,0,0,0,0,0,1,0,0,,,,0,1
MARCO_3521561,A1IBKP5PBH5EHC,3FQ5JJ512Q4OO62LAC949WVK7NIKNX,123000,0,0,0,0,0,1,0,0,,Trec,0,55,0
MARCO_3581484,A1IBKP5PBH5EHC,3FQ5JJ512Q4OO62LAC949WVK7NIKNX,123000,1,1,0,0,0,1,0,0,,,1,57,33
MARCO_3705888,A1IBKP5PBH5EHC,3FQ5JJ512Q4OO62LAC949WVK7NIKNX,123000,4,4,1,1,1,0,0,0,,,,,
MARCO_3878345,A1IBKP5PBH5EHC,3RYC5T2D789AEVRTGBVTEXMT2UDPRR,124000,4,1,1,0,0,0,1,0,,,,,
MARCO_3878346,A1IBKP5PBH5EHC,3RYC5T2D789AEVRTGBVTEXMT2UDPRR,124000,3,1,1,0,0,0,1,0,,,,,
MARCO_3878347,A1IBKP5PBH5EHC,3RYC5T2D789AEVRTGBVTEXMT2UDPRR,124000,4,3,1,1,1,0,0,0,,,,,
MARCO_3878348,A1IBKP5PBH5EHC,3RYC5T2D789AEVRTGBVTEXMT2UDPRR,124000,4,2,1,1,1,0,0,0,,,,,
CAR_71fe664149cf06de1fcbb55dfb239f48687753c0,A1IBKP5PBH5EHC,3RYC5T2D789AEVRTGBVTEXMT2UDPRR,124000,3,1,1,0,0,0,1,0,,,,,
CAR_172e16e89ea3d5546e53384a27c3be299bcfe968,A1IBKP5PBH5EHC,3KGTPGBS62162GI4I7FMNV1KYJT2UP,35000,1,0,0,0,0,1,0,0,,,,,
CAR_1c93ef499a0c2856c4a857b0cb4720c380dda476,A1IBKP5PBH5EHC,3KGTPGBS62162GI4I7FMNV1KYJT2UP,35000,1,0,0,0,0,1,0,0,,,,,
CAR_1f03ba408f108f9edc5ef4e9958cf0c1bab66da7,A1IBKP5PBH5EHC,3KGTPGBS62162GI4I7FMNV1KYJT2UP,35000,1,0,0,0,0,1,0,0,,,,,
CAR_2174ad0aa50712ff24035c23f59a3c2b43267650,A1IBKP5PBH5EHC,3KGTPGBS62162GI4I7FMNV1KYJT2UP,35000,2,2,1,1,1,0,0,0,,,,,
CAR_26f24506a2688c24da3c0a6158228dfdd2d13b67,A1IBKP5PBH5EHC,3KGTPGBS62162GI4I7FMNV1KYJT2UP,35000,1,0,0,0,0,1,0,0,,,,,
MARCO_191056,A1IBKP5PBH5EHC,3R08VXYT7HBQGL4FJJBI1A3PUFLW7T,124000,4,4,1,1,1,0,0,0,,,,,
CAR_d37891cd657001a45ae65a1864b6af96a9b4543c,A1IBKP5PBH5EHC,3R08VXYT7HBQGL4FJJBI1A3PUFLW7T,124000,4,1,1,0,0,0,1,0,,,,,
MARCO_2715451,A1IBKP5PBH5EHC,3R08VXYT7HBQGL4FJJBI1A3PUFLW7T,124000,4,4,1,1,1,0,0,0,,,,,
MARCO_291003,A1IBKP5PBH5EHC,3R08VXYT7HBQGL4FJJBI1A3PUFLW7T,124000,4,4,1,1,1,0,0,0,,,,,
MARCO_291004,A1IBKP5PBH5EHC,3R08VXYT7HBQGL4FJJBI1A3PUFLW7T,124000,4,4,1,1,1,0,0,0,,,,,
CAR_25a576af9caa6422f55c2acf945dc79b423fb41e,A1IBKP5PBH5EHC,34S9DKFK785J8BR2ERAVI4AV52TNYX,116000,1,0,0,0,0,1,0,0,,,,,
MARCO_7972824,A1IBKP5PBH5EHC,34S9DKFK785J8BR2ERAVI4AV52TNYX,116000,4,3,1,1,1,0,0,0,,,,,
MARCO_8046971,A1IBKP5PBH5EHC,34S9DKFK785J8BR2ERAVI4AV52TNYX,116000,4,4,1,1,1,0,0,0,,,,,
MARCO_8116566,A1IBKP5PBH5EHC,34S9DKFK785J8BR2ERAVI4AV52TNYX,116000,1,0,0,0,0,1,0,0,,,,,
MARCO_8141109,A1IBKP5PBH5EHC,34S9DKFK785J8BR2ERAVI4AV52TNYX,116000,2,1,1,0,0,0,1,0,,,,,
CAR_116d829c4c800c2fc70f11692fec5e8c7e975250,A1IBKP5PBH5EHC,31T4R4OBOXWH2NYA2SBHPGWM2Z17CT,277000,0,0,0,0,0,1,0,0,,,,,
CAR_1463f964653c5c9f614a0a88d26b175e4a8120f1,A1IBKP5PBH5EHC,31T4R4OBOXWH2NYA2SBHPGWM2Z17CT,277000,1,1,0,0,0,1,0,0,,,,,
CAR_172e16e89ea3d5546e53384a27c3be299bcfe968,A1IBKP5PBH5EHC,31T4R4OBOXWH2NYA2SBHPGWM2Z17CT,277000,2,0,1,0,0,0,1,0,,,,,
CAR_1c93ef499a0c2856c4a857b0cb4720c380dda476,A1IBKP5PBH5EHC,31T4R4OBOXWH2NYA2SBHPGWM2Z17CT,277000,0,0,0,0,0,1,0,0,,,,,
CAR_2174ad0aa50712ff24035c23f59a3c2b43267650,A1IBKP5PBH5EHC,31T4R4OBOXWH2NYA2SBHPGWM2Z17CT,277000,3,4,1,1,1,0,0,0,,,,,
CAR_79b9a16f02fba845741505cfa4bf613b5674ea8f,A1IBKP5PBH5EHC,3C5W7UE9CK6OQOGSXU9TMBEMY6RMXS,140000,2,0,1,0,0,0,1,0,,,,,
CAR_876c45f0401a5d1a5603b380d55a8479fc4c6312,A1IBKP5PBH5EHC,3C5W7UE9CK6OQOGSXU9TMBEMY6RMXS,140000,3,1,1,0,0,0,1,0,,,,,
CAR_87d4034ad40c274e7b3a40ab7cfe5aadc2fd214c,A1IBKP5PBH5EHC,3C5W7UE9CK6OQOGSXU9TMBEMY6RMXS,140000,4,0,1,0,0,0,1,0,,,,,
CAR_8962748553f4a0d1e149376a851f5360e05e30a8,A1IBKP5PBH5EHC,3C5W7UE9CK6OQOGSXU9TMBEMY6RMXS,140000,4,0,1,0,0,0,1,0,,,,,
CAR_8b6fd9825e935c86984b306a4595ffc11d72e8f7,A1IBKP5PBH5EHC,3C5W7UE9CK6OQOGSXU9TMBEMY6RMXS,140000,0,0,0,0,0,1,0,0,,,,,
CAR_25a576af9caa6422f55c2acf945dc79b423fb41e,A1IBKP5PBH5EHC,3EA3QWIZ4NBVDOHH75A45FMZ41CTIT,128000,1,0,0,0,0,1,0,0,,,,,
CAR_2dc597ac2fc10917a752552bc335e6ac1aedc3f0,A1IBKP5PBH5EHC,3EA3QWIZ4NBVDOHH75A45FMZ41CTIT,128000,2,1,1,0,0,0,1,0,,,,,
CAR_3249e5618575a849152c02b05f4fda924f10326f,A1IBKP5PBH5EHC,3EA3QWIZ4NBVDOHH75A45FMZ41CTIT,128000,2,0,1,0,0,0,1,0,,,,,
CAR_393cb4e18a9d30018e843c4d37c564272ec5fa6f,A1IBKP5PBH5EHC,3EA3QWIZ4NBVDOHH75A45FMZ41CTIT,128000,1,0,0,0,0,1,0,0,,,,,
CAR_40c64256e988c8103550008f4e9b7ce436d9536d,A1IBKP5PBH5EHC,3EA3QWIZ4NBVDOHH75A45FMZ41CTIT,128000,2,0,1,0,0,0,1,0,,,,,
MARCO_1295084,A1IBKP5PBH5EHC,30BUDKLTXIBHCH45AQ2FHKITW5LE5G,153000,2,0,1,0,0,0,1,0,,,,,
MARCO_1331560,A1IBKP5PBH5EHC,30BUDKLTXIBHCH45AQ2FHKITW5LE5G,153000,2,1,1,0,0,0,1,0,,,,,
CAR_d37891cd657001a45ae65a1864b6af96a9b4543c,A1IBKP5PBH5EHC,30BUDKLTXIBHCH45AQ2FHKITW5LE5G,153000,4,1,1,0,0,0,1,0,,,,,
MARCO_1373522,A1IBKP5PBH5EHC,30BUDKLTXIBHCH45AQ2FHKITW5LE5G,153000,4,4,1,1,1,0,0,0,,,,,
MARCO_1462317,A1IBKP5PBH5EHC,30BUDKLTXIBHCH45AQ2FHKITW5LE5G,153000,4,1,1,0,0,0,1,0,,,,,
MARCO_7208606,A1IBKP5PBH5EHC,323Q6SJS8NWLYOOW63NUOZ6JDFUHFL,142000,2,0,1,0,0,0,1,0,,,,,
CAR_1463f964653c5c9f614a0a88d26b175e4a8120f1,A1IBKP5PBH5EHC,323Q6SJS8NWLYOOW63NUOZ6JDFUHFL,142000,1,1,0,0,0,1,0,0,,,,,
MARCO_745277,A1IBKP5PBH5EHC,323Q6SJS8NWLYOOW63NUOZ6JDFUHFL,142000,3,1,1,0,0,0,1,0,,,,,
MARCO_7524397,A1IBKP5PBH5EHC,323Q6SJS8NWLYOOW63NUOZ6JDFUHFL,142000,2,0,1,0,0,0,1,0,,,,,
MARCO_7632622,A1IBKP5PBH5EHC,323Q6SJS8NWLYOOW63NUOZ6JDFUHFL,142000,2,1,1,0,0,0,1,0,,,,,
CAR_8b8521b6835068974cc26ff1dfb3d76f84b7a504,A1IBKP5PBH5EHC,3300DTYQT7X653N3UIQIFVDKS17QE4,85000,2,0,1,0,0,0,1,0,,,,,
CAR_92ebabc3db04d4bf31156d9db5f9d6917cac6906,A1IBKP5PBH5EHC,3300DTYQT7X653N3UIQIFVDKS17QE4,85000,0,0,0,0,0,1,0,0,,,,,
CAR_bc285835e2ded639fa3ca767f43c8ed4bbbbdfe6,A1IBKP5PBH5EHC,3300DTYQT7X653N3UIQIFVDKS17QE4,85000,2,1,1,0,0,0,1,0,,,,,
CAR_172e16e89ea3d5546e53384a27c3be299bcfe968,A1IBKP5PBH5EHC,3300DTYQT7X653N3UIQIFVDKS17QE4,85000,2,0,1,0,0,0,1,0,,,,,
CAR_d37891cd657001a45ae65a1864b6af96a9b4543c,A1IBKP5PBH5EHC,3300DTYQT7X653N3UIQIFVDKS17QE4,85000,4,3,1,1,1,0,0,0,,,,,
MARCO_6775353,A1IBKP5PBH5EHC,3BV8HQ2ZZ1HA58N7Z4AYD7627L16AW,106000,1,0,0,0,0,1,0,0,,,,,
MARCO_6914824,A1IBKP5PBH5EHC,3BV8HQ2ZZ1HA58N7Z4AYD7627L16AW,106000,3,4,1,1,1,0,0,0,,,,,
MARCO_7035862,A1IBKP5PBH5EHC,3BV8HQ2ZZ1HA58N7Z4AYD7627L16AW,106000,3,1,1,0,0,0,1,0,,,,,
MARCO_7069063,A1IBKP5PBH5EHC,3BV8HQ2ZZ1HA58N7Z4AYD7627L16AW,106000,3,0,1,0,0,0,1,0,,,,,
MARCO_7113009,A1IBKP5PBH5EHC,3BV8HQ2ZZ1HA58N7Z4AYD7627L16AW,106000,3,2,1,1,1,0,0,0,,,,,
MARCO_7672895,A1IBKP5PBH5EHC,35K3O9HUAGT9EEXUG2FO3W96LZ2FE3,136000,0,0,0,0,0,1,0,0,,,,,
MARCO_7672898,A1IBKP5PBH5EHC,35K3O9HUAGT9EEXUG2FO3W96LZ2FE3,136000,1,0,0,0,0,1,0,0,,,,,
MARCO_7722004,A1IBKP5PBH5EHC,35K3O9HUAGT9EEXUG2FO3W96LZ2FE3,136000,2,1,1,0,0,0,1,0,,,,,
MARCO_7722005,A1IBKP5PBH5EHC,35K3O9HUAGT9EEXUG2FO3W96LZ2FE3,136000,2,1,1,0,0,0,1,0,,,,,
MARCO_789620,A1IBKP5PBH5EHC,35K3O9HUAGT9EEXUG2FO3W96LZ2FE3,136000,4,4,1,1,1,0,0,0,,,,,
CAR_41ab200340a8fcae748b366ff0b0506e6b87cefa,A1IBKP5PBH5EHC,3IO1LGZLKEDWMKUS26QKHG07HXX68O,178000,1,0,0,0,0,1,0,0,,,,,
CAR_41b7dce4f8a72ee34d78c2b5c363272a54997f27,A1IBKP5PBH5EHC,3IO1LGZLKEDWMKUS26QKHG07HXX68O,178000,2,0,1,0,0,0,1,0,,,,,
CAR_462db9a569840533b644a7eb3e2557a23ae8204b,A1IBKP5PBH5EHC,3IO1LGZLKEDWMKUS26QKHG07HXX68O,178000,0,0,0,0,0,1,0,0,,,,,
CAR_55f68f0a33f49f6015035f70d8685e293389c9d6,A1IBKP5PBH5EHC,3IO1LGZLKEDWMKUS26QKHG07HXX68O,178000,2,0,1,0,0,0,1,0,,,,,
CAR_5b50a00d9e1bd1d4ac3a973a656c1b20ab96ec1e,A1IBKP5PBH5EHC,3IO1LGZLKEDWMKUS26QKHG07HXX68O,178000,2,1,1,0,0,0,1,0,,,,,
CAR_6a057adb9ceec057f64849cacfd142afe1ea1ad8,A1IBKP5PBH5EHC,31LM9EDVOQ8TDMW3SR9S8HV7SYMJN1,87000,1,0,0,0,0,1,0,0,,,,,
CAR_6b3bbfda183e6f1b99ac397a43ba489ccb0d55a6,A1IBKP5PBH5EHC,31LM9EDVOQ8TDMW3SR9S8HV7SYMJN1,87000,0,0,0,0,0,1,0,0,,,,,
CAR_6cf97c4207acf40ec1c19b10840e0cec17a106c9,A1IBKP5PBH5EHC,31LM9EDVOQ8TDMW3SR9S8HV7SYMJN1,87000,3,1,1,0,0,0,1,0,,,,,
CAR_764218e1e68f5d0d6090cea1e3683efffe521a14,A1IBKP5PBH5EHC,31LM9EDVOQ8TDMW3SR9S8HV7SYMJN1,87000,0,0,0,0,0,1,0,0,,,,,
CAR_795c96e2a1881cbbe6a5e5558269738c99d916bb,A1IBKP5PBH5EHC,31LM9EDVOQ8TDMW3SR9S8HV7SYMJN1,87000,4,3,1,1,1,0,0,0,,,,,
CAR_73cab8acdf22cbe0d31afa18285069bb4b3a3807,A1IBKP5PBH5EHC,3DY4FPOOA64NJFOP2N4SKPBBOICRVC,122000,0,0,0,0,0,1,0,0,,,,,
CAR_76a4a716d4b1b01995c6663ee16e94b4ca35fdd3,A1IBKP5PBH5EHC,3DY4FPOOA64NJFOP2N4SKPBBOICRVC,122000,0,0,0,0,0,1,0,0,,,,,
CAR_7b85fdb20fa85b01050fc49656cbc548d231defe,A1IBKP5PBH5EHC,3DY4FPOOA64NJFOP2N4SKPBBOICRVC,122000,3,1,1,0,0,0,1,0,,,,,
CAR_87d4034ad40c274e7b3a40ab7cfe5aadc2fd214c,A1IBKP5PBH5EHC,3DY4FPOOA64NJFOP2N4SKPBBOICRVC,122000,3,4,1,1,1,0,0,0,,,,,
CAR_8b6fd9825e935c86984b306a4595ffc11d72e8f7,A1IBKP5PBH5EHC,3DY4FPOOA64NJFOP2N4SKPBBOICRVC,122000,0,0,0,0,0,1,0,0,,,,,
CAR_55f68f0a33f49f6015035f70d8685e293389c9d6,A1IBKP5PBH5EHC,3018Q3ZVON63RRLRRSDWO2XY38GRAG,82000,2,0,1,0,0,0,1,0,,,,,
CAR_5afea520c45103a5637ed021a5129766d37341bc,A1IBKP5PBH5EHC,3018Q3ZVON63RRLRRSDWO2XY38GRAG,82000,0,0,0,0,0,1,0,0,,,,,
CAR_5b50a00d9e1bd1d4ac3a973a656c1b20ab96ec1e,A1IBKP5PBH5EHC,3018Q3ZVON63RRLRRSDWO2XY38GRAG,82000,0,0,0,0,0,1,0,0,,,,,
CAR_63e2ffba97498caee83a1f9c36e2cb5f9700df9d,A1IBKP5PBH5EHC,3018Q3ZVON63RRLRRSDWO2XY38GRAG,82000,0,0,0,0,0,1,0,0,,,,,
CAR_66e78c6918b07df45d2e26ebaba74baaeb0c0da0,A1IBKP5PBH5EHC,3018Q3ZVON63RRLRRSDWO2XY38GRAG,82000,0,0,0,0,0,1,0,0,,,,,
MARCO_4976182,A1IBKP5PBH5EHC,3WEV0KO0OR8DQDOGQR434DA0ADUDSQ,132000,1,0,0,0,0,1,0,0,,,,,
MARCO_4976187,A1IBKP5PBH5EHC,3WEV0KO0OR8DQDOGQR434DA0ADUDSQ,132000,3,1,1,0,0,0,1,0,,,,,
MARCO_5289694,A1IBKP5PBH5EHC,3WEV0KO0OR8DQDOGQR434DA0ADUDSQ,132000,2,1,1,0,0,0,1,0,,,,,
CAR_116d829c4c800c2fc70f11692fec5e8c7e975250,A1IBKP5PBH5EHC,3WEV0KO0OR8DQDOGQR434DA0ADUDSQ,132000,0,0,0,0,0,1,0,0,,,,,
MARCO_5488478,A1IBKP5PBH5EHC,3WEV0KO0OR8DQDOGQR434DA0ADUDSQ,132000,2,1,1,0,0,0,1,0,,,,,
MARCO_1705591,A1IBKP5PBH5EHC,3RWE2M8QWMQMBGVH6JZMQCGBTPBN0T,215000,2,0,1,0,0,0,1,0,,,,,
MARCO_1905584,A1IBKP5PBH5EHC,3RWE2M8QWMQMBGVH6JZMQCGBTPBN0T,215000,3,1,1,0,0,0,1,0,,,,,
MARCO_1905587,A1IBKP5PBH5EHC,3RWE2M8QWMQMBGVH6JZMQCGBTPBN0T,215000,4,4,1,1,1,0,0,0,,,,,
MARCO_191050,A1IBKP5PBH5EHC,3RWE2M8QWMQMBGVH6JZMQCGBTPBN0T,215000,4,1,1,0,0,0,1,0,,,,,
MARCO_191055,A1IBKP5PBH5EHC,3RWE2M8QWMQMBGVH6JZMQCGBTPBN0T,215000,2,2,1,1,1,0,0,0,,,,,
MARCO_8149031,A1IBKP5PBH5EHC,3GS6S824SVDFJ6W2ZQS7X7PFUUTWN7,150000,2,2,1,1,1,0,0,0,,,,,
MARCO_8168665,A1IBKP5PBH5EHC,3GS6S824SVDFJ6W2ZQS7X7PFUUTWN7,150000,3,1,1,0,0,0,1,0,,,,,
MARCO_8452824,A1IBKP5PBH5EHC,3GS6S824SVDFJ6W2ZQS7X7PFUUTWN7,150000,2,0,1,0,0,0,1,0,,,,,
MARCO_8452826,A1IBKP5PBH5EHC,3GS6S824SVDFJ6W2ZQS7X7PFUUTWN7,150000,1,0,0,0,0,1,0,0,,,,,
MARCO_1373522,A1IBKP5PBH5EHC,3GS6S824SVDFJ6W2ZQS7X7PFUUTWN7,150000,4,4,1,1,1,0,0,0,,,,,
MARCO_3975251,A1IBKP5PBH5EHC,33C7UALJVQE1FYTVW0E3MK9Q9MK18O,137000,0,0,0,0,0,1,0,0,,,,,
MARCO_3990599,A1IBKP5PBH5EHC,33C7UALJVQE1FYTVW0E3MK9Q9MK18O,137000,2,0,1,0,0,0,1,0,,,,,
MARCO_3990603,A1IBKP5PBH5EHC,33C7UALJVQE1FYTVW0E3MK9Q9MK18O,137000,4,3,1,1,1,0,0,0,,,,,
MARCO_4032696,A1IBKP5PBH5EHC,33C7UALJVQE1FYTVW0E3MK9Q9MK18O,137000,0,0,0,0,0,1,0,0,,,,,
MARCO_4239408,A1IBKP5PBH5EHC,33C7UALJVQE1FYTVW0E3MK9Q9MK18O,137000,3,1,1,0,0,0,1,0,,,,,
CAR_683d2822b14dca56ef1ffd93c997258c3b2cc083,A1IBKP5PBH5EHC,32KTQ2V7RIVYPSYUUE3F68S4R3U9MQ,115000,2,0,1,0,0,0,1,0,,,,,
CAR_6a057adb9ceec057f64849cacfd142afe1ea1ad8,A1IBKP5PBH5EHC,32KTQ2V7RIVYPSYUUE3F68S4R3U9MQ,115000,0,0,0,0,0,1,0,0,,,,,
CAR_6b3bbfda183e6f1b99ac397a43ba489ccb0d55a6,A1IBKP5PBH5EHC,32KTQ2V7RIVYPSYUUE3F68S4R3U9MQ,115000,0,0,0,0,0,1,0,0,,,,,
CAR_6d27d16be918eb5090e90a4bd08e459a4441529e,A1IBKP5PBH5EHC,32KTQ2V7RIVYPSYUUE3F68S4R3U9MQ,115000,0,0,0,0,0,1,0,0,,,,,
CAR_71fe664149cf06de1fcbb55dfb239f48687753c0,A1IBKP5PBH5EHC,32KTQ2V7RIVYPSYUUE3F68S4R3U9MQ,115000,3,1,1,0,0,0,1,0,,,,,
CAR_08489902963b8b03a75ebfc2afad422660c1cc71,A1IBKP5PBH5EHC,3XM0HYN6NPFL5RMOU5BTFQNAN5QPEH,118000,3,1,1,0,0,0,1,0,,,,,
CAR_0baad9b74477434c04136d8c994af6bcb3aed7ed,A1IBKP5PBH5EHC,3XM0HYN6NPFL5RMOU5BTFQNAN5QPEH,118000,0,0,0,0,0,1,0,0,,,,,
CAR_116d829c4c800c2fc70f11692fec5e8c7e975250,A1IBKP5PBH5EHC,3XM0HYN6NPFL5RMOU5BTFQNAN5QPEH,118000,1,0,0,0,0,1,0,0,,,,,
CAR_1244f628b92ca5ff3bc28191a370726561154166,A1IBKP5PBH5EHC,3XM0HYN6NPFL5RMOU5BTFQNAN5QPEH,118000,0,0,0,0,0,1,0,0,,,,,
CAR_16b23027e80fe73ba67f32995c488f89b12d0ac9,A1IBKP5PBH5EHC,3XM0HYN6NPFL5RMOU5BTFQNAN5QPEH,118000,1,0,0,0,0,1,0,0,,,,,
MARCO_6520903,A1IBKP5PBH5EHC,3KWTYT0875JVINEXRCPJUF8D52OL5C,159000,0,0,0,0,0,1,0,0,,,,,
MARCO_6617627,A1IBKP5PBH5EHC,3KWTYT0875JVINEXRCPJUF8D52OL5C,159000,3,1,1,0,0,0,1,0,,,,,
CAR_2dc597ac2fc10917a752552bc335e6ac1aedc3f0,A1IBKP5PBH5EHC,3KWTYT0875JVINEXRCPJUF8D52OL5C,159000,2,1,1,0,0,0,1,0,,,,,
MARCO_6624741,A1IBKP5PBH5EHC,3KWTYT0875JVINEXRCPJUF8D52OL5C,159000,3,3,1,1,1,0,0,0,,,,,
MARCO_6676020,A1IBKP5PBH5EHC,3KWTYT0875JVINEXRCPJUF8D52OL5C,159000,1,0,0,0,0,1,0,0,,,,,
MARCO_291006,A1IBKP5PBH5EHC,3BV8HQ2ZZ1HA58N7Z4AYD7627LZ6AU,118000,2,2,1,1,1,0,0,0,,,,,
MARCO_2925879,A1IBKP5PBH5EHC,3BV8HQ2ZZ1HA58N7Z4AYD7627LZ6AU,118000,4,3,1,1,1,0,0,0,,,,,
MARCO_2954451,A1IBKP5PBH5EHC,3BV8HQ2ZZ1HA58N7Z4AYD7627LZ6AU,118000,4,4,1,1,1,0,0,0,,,,,
MARCO_3005493,A1IBKP5PBH5EHC,3BV8HQ2ZZ1HA58N7Z4AYD7627LZ6AU,118000,2,0,1,0,0,0,1,0,,,,,
