docId,workerId,assignmentId,time,trecScore,workerScore,trecBinaryScore,workerBinaryScore
CAR_33d09a5f31a5e5818d5456db1cd0f937dce5e4e3,A1IBKP5PBH5EHC,36W0OB37H1UR35FW7FH1RRM1SA3ZHP,126000,0,0,0,0
CAR_35bc9188881cf5e951736ce12966255766c17f83,A1IBKP5PBH5EHC,36W0OB37H1UR35FW7FH1RRM1SA3ZHP,126000,0,0,0,0
CAR_35dfb25d006f376482307fe61e739f05ec4be1d8,A1IBKP5PBH5EHC,36W0OB37H1UR35FW7FH1RRM1SA3ZHP,126000,0,0,0,0
CAR_3c49b18be5eb5796dcc34cc171fe452ffebb0d30,A1IBKP5PBH5EHC,36W0OB37H1UR35FW7FH1RRM1SA3ZHP,126000,0,0,0,0
CAR_3c526bb5ac526b03b7fca9f5ce565f1300e3844f,A1IBKP5PBH5EHC,36W0OB37H1UR35FW7FH1RRM1SA3ZHP,126000,0,1,0,0
CAR_211a0a9aafa83682f475a80ae48345317e90a99e,A1IBKP5PBH5EHC,38SKSKU7R6D7UB9CYW8DJOCIDE9LIK,211000,0,1,0,0
CAR_2291f864656aef7e31e3e2fac3a2ecbb056b8718,A1IBKP5PBH5EHC,38SKSKU7R6D7UB9CYW8DJOCIDE9LIK,211000,0,0,0,0
CAR_2348284d721400f15d8fb0e8a3e82fa4a4ee42e3,A1IBKP5PBH5EHC,38SKSKU7R6D7UB9CYW8DJOCIDE9LIK,211000,0,0,0,0
CAR_249ac932a0880efe317ae760a0c3070b9fc45578,A1IBKP5PBH5EHC,38SKSKU7R6D7UB9CYW8DJOCIDE9LIK,211000,0,1,0,0
CAR_2510ca0902c00ef23f8a3e33dfff3f8066ccfe3e,A1IBKP5PBH5EHC,38SKSKU7R6D7UB9CYW8DJOCIDE9LIK,211000,0,0,0,0
CAR_02d7986bbd451f51afc8a1ff4dbb8dc423567b93,A1IBKP5PBH5EHC,3IQ1VMJRYY0XNRP5XBDAXHX4Z5B9AG,73000,0,2,0,1
CAR_07142d6ac6d1dd0ecec4cd00c956b9bc5cf66c78,A1IBKP5PBH5EHC,3IQ1VMJRYY0XNRP5XBDAXHX4Z5B9AG,73000,0,3,0,1
CAR_073c7db14518d5bfd16f10bc7cd6d995ecc69950,A1IBKP5PBH5EHC,3IQ1VMJRYY0XNRP5XBDAXHX4Z5B9AG,73000,0,1,0,0
CAR_0ad500875cd2c110697e64818ac66fd40f31adec,A1IBKP5PBH5EHC,3IQ1VMJRYY0XNRP5XBDAXHX4Z5B9AG,73000,0,1,0,0
CAR_0e619d0309d88441edb33e50f8ca907bcb31a6c9,A1IBKP5PBH5EHC,3IQ1VMJRYY0XNRP5XBDAXHX4Z5B9AG,73000,0,0,0,0
CAR_724d1ab20d6f79f5663ac2c63d888300f63ccaa8,A1IBKP5PBH5EHC,3GGAI1SQE0E0NQ5X6YD68YTC0EHMCN,141000,0,0,0,0
CAR_72d3827a81f52782ae011c641a46194d2b5ad033,A1IBKP5PBH5EHC,3GGAI1SQE0E0NQ5X6YD68YTC0EHMCN,141000,0,0,0,0
CAR_74b2683617ecebce49247cedc93c79ceb9918ab0,A1IBKP5PBH5EHC,3GGAI1SQE0E0NQ5X6YD68YTC0EHMCN,141000,0,1,0,0
CAR_76ce7556d78a125ed43b61c10d4cec4169a09c98,A1IBKP5PBH5EHC,3GGAI1SQE0E0NQ5X6YD68YTC0EHMCN,141000,0,0,0,0
CAR_787a9e31b3a8f2ad96fb77a2949b89aef4c5e2ec,A1IBKP5PBH5EHC,3GGAI1SQE0E0NQ5X6YD68YTC0EHMCN,141000,0,0,0,0
CAR_b139ea1865c92d298d5a3509641d49ad6ede2f89,A1IBKP5PBH5EHC,37Z929RLGEOK72KDCH4I9HSMGP1STQ,129000,0,4,0,1
CAR_b260ca2bdaf4ca704965fc8822079841dc8c57d0,A1IBKP5PBH5EHC,37Z929RLGEOK72KDCH4I9HSMGP1STQ,129000,0,0,0,0
CAR_b2f972362788b1b789bc794074f1ae2825dd6d23,A1IBKP5PBH5EHC,37Z929RLGEOK72KDCH4I9HSMGP1STQ,129000,0,0,0,0
CAR_b4f91785e85e508f2702f1005f530fb444bbd675,A1IBKP5PBH5EHC,37Z929RLGEOK72KDCH4I9HSMGP1STQ,129000,0,1,0,0
CAR_b6bdf92f549fbab70cabc1d47dc1dbb7d34c9799,A1IBKP5PBH5EHC,37Z929RLGEOK72KDCH4I9HSMGP1STQ,129000,0,1,0,0
CAR_61fd6e60311c194170b4daeae6b4626e2b6bcb97,A1IBKP5PBH5EHC,3JNQLM5FT923JQVA9TNLW851OIEL2B,124000,0,0,0,0
CAR_62158c7ed3c728d80d166d9f5dd335e283c84979,A1IBKP5PBH5EHC,3JNQLM5FT923JQVA9TNLW851OIEL2B,124000,0,0,0,0
CAR_68ed3d8b871d9a1f22c340e6130f49ffe4bdb7aa,A1IBKP5PBH5EHC,3JNQLM5FT923JQVA9TNLW851OIEL2B,124000,0,0,0,0
CAR_6dfb50243c0a381f687021efb110b669dfa3ca35,A1IBKP5PBH5EHC,3JNQLM5FT923JQVA9TNLW851OIEL2B,124000,0,0,0,0
CAR_71134cc0f519d0fb8f7fc64d6291ad9a1a474065,A1IBKP5PBH5EHC,3JNQLM5FT923JQVA9TNLW851OIEL2B,124000,0,0,0,0
CAR_02d7986bbd451f51afc8a1ff4dbb8dc423567b93,A1IBKP5PBH5EHC,3C2NJ6JBKFXT7QYVL630909QS6ZN2L,277000,0,2,0,1
CAR_07142d6ac6d1dd0ecec4cd00c956b9bc5cf66c78,A1IBKP5PBH5EHC,3C2NJ6JBKFXT7QYVL630909QS6ZN2L,277000,0,3,0,1
CAR_073c7db14518d5bfd16f10bc7cd6d995ecc69950,A1IBKP5PBH5EHC,3C2NJ6JBKFXT7QYVL630909QS6ZN2L,277000,0,2,0,1
CAR_0ad500875cd2c110697e64818ac66fd40f31adec,A1IBKP5PBH5EHC,3C2NJ6JBKFXT7QYVL630909QS6ZN2L,277000,0,1,0,0
CAR_0e619d0309d88441edb33e50f8ca907bcb31a6c9,A1IBKP5PBH5EHC,3C2NJ6JBKFXT7QYVL630909QS6ZN2L,277000,0,0,0,0
CAR_d36ca4900d2ebf28c82ad537a4aeafa0d5f37174,A1IBKP5PBH5EHC,3G5W44VEUCYIEELZN8W9JCMN91HKGT,123000,0,2,0,1
CAR_d437c49d86063e79742f37e5d19c7a52480b7956,A1IBKP5PBH5EHC,3G5W44VEUCYIEELZN8W9JCMN91HKGT,123000,0,0,0,0
CAR_d4c402576be1a3124cf1c31f0cb98f4ec8fdbffb,A1IBKP5PBH5EHC,3G5W44VEUCYIEELZN8W9JCMN91HKGT,123000,0,0,0,0
CAR_d5f087b0129dcff09c8d33bfe68cc9469f338c7b,A1IBKP5PBH5EHC,3G5W44VEUCYIEELZN8W9JCMN91HKGT,123000,0,1,0,0
CAR_d992f8b7d33363ad73e57be4f413791460ec615d,A1IBKP5PBH5EHC,3G5W44VEUCYIEELZN8W9JCMN91HKGT,123000,0,0,0,0
MARCO_3556474,A1IBKP5PBH5EHC,3NG53N1RL0Z4WQCXH2PTNGROFSCP8L,74000,0,1,0,0
CAR_1be5f3f99b9089981843d06bfe6eaaf0c5d94abf,A1IBKP5PBH5EHC,3NG53N1RL0Z4WQCXH2PTNGROFSCP8L,74000,0,0,0,0
MARCO_3624815,A1IBKP5PBH5EHC,3NG53N1RL0Z4WQCXH2PTNGROFSCP8L,74000,0,1,0,0
MARCO_3626124,A1IBKP5PBH5EHC,3NG53N1RL0Z4WQCXH2PTNGROFSCP8L,74000,0,2,0,1
MARCO_3721579,A1IBKP5PBH5EHC,3NG53N1RL0Z4WQCXH2PTNGROFSCP8L,74000,0,0,0,0
MARCO_2755853,A1IBKP5PBH5EHC,3IRIK4HM3F0YYNK5JI6PJ2WQAE76C2,69000,0,0,0,0
MARCO_2855009,A1IBKP5PBH5EHC,3IRIK4HM3F0YYNK5JI6PJ2WQAE76C2,69000,0,4,0,1
MARCO_2855011,A1IBKP5PBH5EHC,3IRIK4HM3F0YYNK5JI6PJ2WQAE76C2,69000,0,4,0,1
CAR_1b3c4a26c711f5d9449c836ed2667a32bd05d9df,A1IBKP5PBH5EHC,3IRIK4HM3F0YYNK5JI6PJ2WQAE76C2,69000,0,0,0,0
MARCO_2855015,A1IBKP5PBH5EHC,3IRIK4HM3F0YYNK5JI6PJ2WQAE76C2,69000,0,1,0,0
CAR_02d7986bbd451f51afc8a1ff4dbb8dc423567b93,A1IBKP5PBH5EHC,3LWJHTCVCH2YBHNZPTAOXDYK6LSFQL,84000,0,3,0,1
CAR_07142d6ac6d1dd0ecec4cd00c956b9bc5cf66c78,A1IBKP5PBH5EHC,3LWJHTCVCH2YBHNZPTAOXDYK6LSFQL,84000,0,3,0,1
CAR_073c7db14518d5bfd16f10bc7cd6d995ecc69950,A1IBKP5PBH5EHC,3LWJHTCVCH2YBHNZPTAOXDYK6LSFQL,84000,0,1,0,0
CAR_0ad500875cd2c110697e64818ac66fd40f31adec,A1IBKP5PBH5EHC,3LWJHTCVCH2YBHNZPTAOXDYK6LSFQL,84000,0,0,0,0
CAR_0e619d0309d88441edb33e50f8ca907bcb31a6c9,A1IBKP5PBH5EHC,3LWJHTCVCH2YBHNZPTAOXDYK6LSFQL,84000,0,0,0,0
MARCO_2569263,A1IBKP5PBH5EHC,36W0OB37H1UR35FW7FH1RRM1SA9HZD,54000,0,0,0,0
MARCO_2569265,A1IBKP5PBH5EHC,36W0OB37H1UR35FW7FH1RRM1SA9HZD,54000,0,0,0,0
MARCO_2569269,A1IBKP5PBH5EHC,36W0OB37H1UR35FW7FH1RRM1SA9HZD,54000,0,0,0,0
MARCO_2751688,A1IBKP5PBH5EHC,36W0OB37H1UR35FW7FH1RRM1SA9HZD,54000,0,0,0,0
MARCO_2752255,A1IBKP5PBH5EHC,36W0OB37H1UR35FW7FH1RRM1SA9HZD,54000,0,0,0,0
CAR_b7cf3f41b4aa8650698d638c2fc9f9fff161c257,A1IBKP5PBH5EHC,3A4NIXBJ7BFTQUZ3JB65BHJZUNXLM4,186000,0,1,0,0
CAR_b7e2d861706a16282d5a74595db988f5ad251f68,A1IBKP5PBH5EHC,3A4NIXBJ7BFTQUZ3JB65BHJZUNXLM4,186000,0,0,0,0
CAR_b8ba3ab17ce72affb6628db522d19f5a680d2c81,A1IBKP5PBH5EHC,3A4NIXBJ7BFTQUZ3JB65BHJZUNXLM4,186000,0,2,0,1
CAR_073c7db14518d5bfd16f10bc7cd6d995ecc69950,A1IBKP5PBH5EHC,3A4NIXBJ7BFTQUZ3JB65BHJZUNXLM4,186000,0,2,0,1
CAR_c1afe76ae88a15a4cafe29cd642d77ef91cba972,A1IBKP5PBH5EHC,3A4NIXBJ7BFTQUZ3JB65BHJZUNXLM4,186000,0,0,0,0
CAR_c51ebecb1dc96ce07e1212805205b3a758e63ab6,A1IBKP5PBH5EHC,3Z7EFSHGNEUBH241K5FFJF9A7I3XCK,156000,0,1,0,0
CAR_c6ea07b4520415fc53cf47cf338ad3cd5fcc8b26,A1IBKP5PBH5EHC,3Z7EFSHGNEUBH241K5FFJF9A7I3XCK,156000,0,0,0,0
CAR_cee24c8ec1f894fb5041889c32e280c944fc26f8,A1IBKP5PBH5EHC,3Z7EFSHGNEUBH241K5FFJF9A7I3XCK,156000,0,1,0,0
CAR_cf1ca86b65b1da5e8f23e760c62e35d85cdf645c,A1IBKP5PBH5EHC,3Z7EFSHGNEUBH241K5FFJF9A7I3XCK,156000,0,0,0,0
CAR_d216c6beb11b3f46d529b3fc9b7978178c9af797,A1IBKP5PBH5EHC,3Z7EFSHGNEUBH241K5FFJF9A7I3XCK,156000,0,0,0,0
MARCO_3233332,A1IBKP5PBH5EHC,3OE22WJIGN4NUZKPKI5NJDZNHFQQUT,87000,0,0,0,0
MARCO_3233333,A1IBKP5PBH5EHC,3OE22WJIGN4NUZKPKI5NJDZNHFQQUT,87000,0,0,0,0
MARCO_3443189,A1IBKP5PBH5EHC,3OE22WJIGN4NUZKPKI5NJDZNHFQQUT,87000,0,0,0,0
MARCO_3471653,A1IBKP5PBH5EHC,3OE22WJIGN4NUZKPKI5NJDZNHFQQUT,87000,0,0,0,0
MARCO_3542563,A1IBKP5PBH5EHC,3OE22WJIGN4NUZKPKI5NJDZNHFQQUT,87000,0,1,0,0
CAR_9d9ae24c578649efbe6669c75d2c44435ddd735c,A1IBKP5PBH5EHC,3WR9XG3T68RE7JLV9D5Z6IKYDC774M,173000,0,2,0,1
CAR_9f72c6fe7f7ea337ef59095cc5afe49132aef01d,A1IBKP5PBH5EHC,3WR9XG3T68RE7JLV9D5Z6IKYDC774M,173000,0,0,0,0
CAR_a0aeebad1b89042a70a5d0cf8a04feb58626cd51,A1IBKP5PBH5EHC,3WR9XG3T68RE7JLV9D5Z6IKYDC774M,173000,0,1,0,0
CAR_a5e789927384a144ba2ac61c5e68520db47a84cc,A1IBKP5PBH5EHC,3WR9XG3T68RE7JLV9D5Z6IKYDC774M,173000,0,0,0,0
CAR_a9601862f56eed3ab59b1324eddd75a8c63ee77e,A1IBKP5PBH5EHC,3WR9XG3T68RE7JLV9D5Z6IKYDC774M,173000,0,0,0,0
CAR_daaeeae8eac9ae482c26f682c5632357bded639b,A1IBKP5PBH5EHC,3IOEN3P9SCZEBKA73LH526DZ6HE61A,139000,0,0,0,0
CAR_0ad500875cd2c110697e64818ac66fd40f31adec,A1IBKP5PBH5EHC,3IOEN3P9SCZEBKA73LH526DZ6HE61A,139000,0,1,0,0
CAR_dba7443e0613e6eb760d177e88373ccb5128e5ab,A1IBKP5PBH5EHC,3IOEN3P9SCZEBKA73LH526DZ6HE61A,139000,0,0,0,0
CAR_dc271ebc4a2127abe91b0bdbd018014ba8129803,A1IBKP5PBH5EHC,3IOEN3P9SCZEBKA73LH526DZ6HE61A,139000,0,0,0,0
CAR_ddcb6fc0ee3d7bf03bc04382e58c5d2dec2f872e,A1IBKP5PBH5EHC,3IOEN3P9SCZEBKA73LH526DZ6HE61A,139000,0,3,0,1
MARCO_3980288,A1IBKP5PBH5EHC,3RU7GD8VPT9MFAR6V0VY47RPRMJPSL,55000,0,2,0,1
MARCO_4107015,A1IBKP5PBH5EHC,3RU7GD8VPT9MFAR6V0VY47RPRMJPSL,55000,0,0,0,0
MARCO_4345823,A1IBKP5PBH5EHC,3RU7GD8VPT9MFAR6V0VY47RPRMJPSL,55000,0,0,0,0
MARCO_4395100,A1IBKP5PBH5EHC,3RU7GD8VPT9MFAR6V0VY47RPRMJPSL,55000,0,0,0,0
MARCO_455723,A1IBKP5PBH5EHC,3RU7GD8VPT9MFAR6V0VY47RPRMJPSL,55000,0,1,0,0
CAR_7d3653f0333ebdfe65ba9c510b611f86339ace79,A1IBKP5PBH5EHC,3LEIZ60CDOFYOZXD93T9EAOD9XX9ZB,133000,0,0,0,0
CAR_7e1120324d4272c096e0a61bf964583323ea6a19,A1IBKP5PBH5EHC,3LEIZ60CDOFYOZXD93T9EAOD9XX9ZB,133000,0,0,0,0
CAR_7eb38d5c581f02bcabdfd620a887c3919b3b6c90,A1IBKP5PBH5EHC,3LEIZ60CDOFYOZXD93T9EAOD9XX9ZB,133000,0,0,0,0
