docId,workerId,assignmentId,time,trecScore,workerScore,trecBinaryScore,workerBinaryScore
MARCO_7792943,A1IBKP5PBH5EHC,34HJIJKLPACGI9MRRB8FCW01Z60V4C,53000,0,0,0,0
MARCO_7792944,A1IBKP5PBH5EHC,34HJIJKLPACGI9MRRB8FCW01Z60V4C,53000,0,0,0,0
MARCO_7838632,A1IBKP5PBH5EHC,34HJIJKLPACGI9MRRB8FCW01Z60V4C,53000,0,1,0,0
MARCO_7838633,A1IBKP5PBH5EHC,34HJIJKLPACGI9MRRB8FCW01Z60V4C,53000,0,1,0,0
MARCO_7838636,A1IBKP5PBH5EHC,34HJIJKLPACGI9MRRB8FCW01Z60V4C,53000,0,1,0,0
CAR_33d09a5f31a5e5818d5456db1cd0f937dce5e4e3,A1IBKP5PBH5EHC,36W0OB37H1UR35FW7FH1RRM1SA3ZHP,126000,0,0,0,0
CAR_35bc9188881cf5e951736ce12966255766c17f83,A1IBKP5PBH5EHC,36W0OB37H1UR35FW7FH1RRM1SA3ZHP,126000,0,0,0,0
CAR_35dfb25d006f376482307fe61e739f05ec4be1d8,A1IBKP5PBH5EHC,36W0OB37H1UR35FW7FH1RRM1SA3ZHP,126000,0,0,0,0
CAR_3c49b18be5eb5796dcc34cc171fe452ffebb0d30,A1IBKP5PBH5EHC,36W0OB37H1UR35FW7FH1RRM1SA3ZHP,126000,0,0,0,0
CAR_3c526bb5ac526b03b7fca9f5ce565f1300e3844f,A1IBKP5PBH5EHC,36W0OB37H1UR35FW7FH1RRM1SA3ZHP,126000,0,1,0,0
CAR_211a0a9aafa83682f475a80ae48345317e90a99e,A1IBKP5PBH5EHC,38SKSKU7R6D7UB9CYW8DJOCIDE9LIK,211000,0,1,0,0
CAR_2291f864656aef7e31e3e2fac3a2ecbb056b8718,A1IBKP5PBH5EHC,38SKSKU7R6D7UB9CYW8DJOCIDE9LIK,211000,0,0,0,0
CAR_2348284d721400f15d8fb0e8a3e82fa4a4ee42e3,A1IBKP5PBH5EHC,38SKSKU7R6D7UB9CYW8DJOCIDE9LIK,211000,0,0,0,0
CAR_249ac932a0880efe317ae760a0c3070b9fc45578,A1IBKP5PBH5EHC,38SKSKU7R6D7UB9CYW8DJOCIDE9LIK,211000,0,1,0,0
CAR_2510ca0902c00ef23f8a3e33dfff3f8066ccfe3e,A1IBKP5PBH5EHC,38SKSKU7R6D7UB9CYW8DJOCIDE9LIK,211000,0,0,0,0
