hitId,queryNum,topicNum,subQueryNum,query,hitCount,isLast,text1,document1,score1,text2,document2,score2,text3,document3,score3,text4,document4,score4,text5,document5,score5,workerId,mturkHitId
0,38_1,38,1," <span>What is Lyme disease?</span>",HIT number 1 of 36 for question 1,false," <span>*** NEW QUERY ***</span> The recognition that the patients in the United States had erythema migrans led to the recognition that Lyme arthritis was one manifestation of the same tick-borne disease known in Europe. The syndrome first found in and around Lyme and Old Lyme, Connecticut came to be called Lyme Arthritis and later Lyme Disease.",CAR_03d3fc1f5d38d3c3cc320614ccaa3bbba375680f,0," Lyme disease, or borreliosis, is caused by spirochetal bacteria from the genus Borrelia, which has 52 known species. Three main species (Borrelia garinii, Borrelia afzelii, and Borrelia burgdorferi s.s.) are the main causative agents of the disease in humans, while a number of others have been implicated as possibly pathogenic. Borrelia species known to cause Lyme disease are collectively called Borrelia burgdorferi sensu lato (s.l.).",CAR_057d0d4f333920fd04bcfbd456a6ce6e746731d0,0," The full syndrome now known as Lyme disease was not recognized until a cluster of cases originally thought to be juvenile rheumatoid arthritis was identified in three towns in southeastern Connecticut in 1975, including the towns Lyme and Old Lyme, which gave the disease its popular name. This was investigated by physicians David Snydman and Allen Steere of the Epidemic Intelligence Service, and by others from Yale University, including Dr. Stephen Malawista, who is credited as a co-discover of the disease. The recognition that the patients in the United States had EM led to the recognition that Lyme arthritis was one manifestation of the same tick-borne condition known in Europe.",CAR_0cc3ebbdaeef192368f159c718b564f98f6dcdcb,0," DiGiralamo and Cohen held a hearing on House Bill 272 to ease treatments of Lyme Disease, of which Cohen was a co-sponsor. The chances of enacting this legislation were limited by the opposition of the Medical Society of the State of Pennsylvania due to its concerns about antibiotic resistance and the legislation's (1) guaranteeing of insurance company reimbursement of long-term use of antibiotic prescriptions and (2) requiring a high level of representation for the International Lyme And Associated Diseases Society on the newly created task force on Lyme disease and related diseases.",CAR_0db1556ff6d692119227babe11019f29d32aa08e,0," Lyme disease can be misdiagnosed as staphylococcal- or streptococcal-induced cellulitis.  Because the characteristic bullseye rash does not always appear in people infected with Lyme disease, the similar set of symptoms may be misdiagnosed as cellulitis.  Standard treatments for cellulitis are not sufficient for curing Lyme disease.  The only way to rule out Lyme disease is with a blood test, which is recommended during warm months in areas where the disease is endemic.",CAR_162826f4401cb5a3680097c02eefdd369019f3ac,0,,
1,38_1,38,1," <span>What is Lyme disease?</span>",HIT number 2 of 36 for question 1,false," In 1975, there was a cluster of juvenile arthritis patients in the towns of Lyme and Old Lyme, CT, and scientists at the Station were among the first to determine that this disease was carried by ticks. After this discovery, scientists at the Station, including John F. Anderson and Louis A. Magnarelli (former and current Station Directors, respectively) along with collaborators from other institutions were able to isolate and identify the spirochete that causes Lyme disease in humans. Scientists at the Station were also instrumental in developing antibody tests to identify patients infected with Lyme disease agent as well as other tick-borne illnesses such as human granulocytic erlichiosis and babesiosis.",CAR_1f0c2517ea99503cc2a8d5c286d7616ec2e4040d,0," Erythema chronicum migrans (New Latin, literally, chronic migrating redness) refers to the rash often (though not always) seen in the early stage of Lyme disease.  It can appear anywhere from one day to one month after a tick bite.  This rash does not represent an allergic reaction to the bite, but rather an actual skin infection with the Lyme bacteria, Borrelia burgdorferi sensu lato.  Erythema migrans is the only manifestation of Lyme disease in the United States that is sufficiently distinctive to allow clinical diagnosis in the absence of laboratory confirmation.. It is a pathognomonic sign: a physician-identified rash warrants an instant diagnosis of Lyme disease and immediate treatment without further testing, even by the strict criteria of the Centers for Disease Control and Prevention. Such target lesions (bull's-eye rashes) are characteristic of Borrelia infections, and no other pathogens are known that cause this form of rash.",CAR_254b73e62c5371a13a8715e660ba9ed7366241cb,0," Lyme disease, also known as Borrelia burgdorferi, is a vector-borne disease that can be transmitted through ticks. In comparison to bank voles and wood mice, the Siberian chipmunks contribute a much larger risk when it comes to Lyme disease. The chipmunk's ability to spread this disease poses a risk to humans because Lyme disease can cause neurological, joint, and skin problems. The Invasive Species Compendium states that the Siberian chipmunk can easily survive and spread diseases, like Lyme disease, to humans because the species has high genetic variability and high reproductive potential.  Also, with the Siberian chipmunk's movement and introduction into new environments, ticks and other parasites possess a greater opportunity to attach to hosts. Lastly species invasion is difficult and costly to control, so these animals will continue to pose a threat to humans and other animals until they eventually became extinct or until humans actively take measures to reduce their impact on society.",CAR_2c7744695f3e72b9ad57b39f45c3aac8ce744af0,0," Diagnosis of late-stage Lyme disease is often complicated by a multifaceted appearance and nonspecific symptoms, prompting one reviewer to call Lyme the new great imitator. Lyme disease may be misdiagnosed as multiple sclerosis, rheumatoid arthritis, fibromyalgia, chronic fatigue syndrome, lupus, Crohn's disease, HIV, or other autoimmune and neurodegenerative diseases. As all people with later-stage infection will have a positive antibody test, simple blood tests can exclude Lyme disease as a possible cause of a person's symptoms.",CAR_2cc7f40372b23b02791b4fa149130fafa88f61cd,0," The term chronic Lyme disease is controversial and not recognized in the medical literature, and most medical authorities advise against long-term antibiotic treatment for Lyme disease. Studies have shown that most people diagnosed with chronic Lyme disease either have no objective evidence of previous or current infection with B. burgdorferi or are people who should be classified as having post-treatment Lyme disease syndrome (PTLDS), which is defined as continuing or relapsing non-specific symptoms (such as fatigue, musculoskeletal pain, and cognitive complaints) in a person previously treated for Lyme disease.",CAR_2d17c7a5877d0ab4e87e757b78389af0e8e9ce9f,0,,
2,38_1,38,1," <span>What is Lyme disease?</span>",HIT number 3 of 36 for question 1,false," The Lyme in Lyme disease was named after the town. It was discovered in 1975 after a mysterious outbreak of what appeared to be juvenile rheumatoid arthritis in children who lived in Lyme and Old Lyme.",CAR_3092aa161634a40743b47e334eb641ba7efd2f31,0," Writing in the Journal of the American Medical Association (JAMA) in 1993, Steere and colleagues stated that Lyme disease had become overdiagnosed and overtreated. This statement became a rallying point for what advocacy groups call the Lyme disease controversy. In the face of some elements of mainstream medical opinion, some doctors and patient advocacy groups claim that Lyme disease can develop into a chronic disease requiring high doses of antibiotics over long periods of time. However aside from the issue of terminology, some mainstream medical opinion goes as far as to say that some Lyme disease cases can become difficult to treat if not quickly diagnosed.",CAR_34e2369a52f2009385d753196d7186294affc2bf,0," Studies have shown Lyme disease is lower in areas where the lizards occur. When ticks carrying Lyme disease feed on these lizards' blood (which they commonly do, especially around their ears), a protein in the lizard's blood kills the bacterium in the tick that causes Lyme disease. The blood inside the ticks' gut is therefore cleansed and no longer carries Lyme disease.",CAR_45e0705a3570ff2185b5e9a83d719a8991485d53,0," A 2004 study in The Pediatric Infectious Disease Journal stated nine of nineteen Internet websites surveyed contained what were described as major inaccuracies. Websites described as providing inaccurate information included several with the word lyme in their domain name (e.g., lymenet.org), as well as the website of the International Lyme And Associated Diseases Society. A 2007 article in The New England Journal of Medicine argued media coverage of chronic Lyme disease ignored scientific evidence in favor of anecdotes and testimonials:",CAR_48e59d9c7497127be6616ba1feb028027be4ff62,0," Malawista and his colleagues initially hypothesized that Lyme disease was caused by a virus. However, was later disproved in 1982 by microbiologist Willy Burgdorfer, who correctly identified the Borrelia burgdorferi bacterium as the cause of Lyme disease in Connecticut and the eastern United States. Other scientists later determined that the deer tick was the carrier of the bacterium. Malawista and his colleagues contributed to the research the possible spread of Lyme disease by deer ticks by comparing the incidents of the disease along the eastern and western sides of the Connecticut River.",CAR_4e5ea7478ad3251c36ea12a24169dcf05ea03d7f,0,,
3,38_1,38,1," <span>What is Lyme disease?</span>",HIT number 4 of 36 for question 1,false," Lyme is a town in New London County, Connecticut, United States. The population was 2,406 at the 2010 census. Lyme and its neighboring town Old Lyme are the namesake for Lyme disease.",CAR_4f2605ce06d50ce89362b03baad8a7a2a7dff697,0," The US headquarters of Sennheiser is located in Old Lyme, as is Callaway Cars, the Florence Griswold Museum (including the Florence Griswold House), the Lyme Academy College of Fine Arts, and the Lyme Art Association. Old Lyme and its neighboring town Lyme are the namesake for Lyme disease.",CAR_5458e8d7aef845494113875dd9a02a9c8bf051c2,0," Up to one third of Lyme disease patients who have completed a course of antibiotic treatment continue to have symptoms, often termed post-Lyme syndrome, such as severe fatigue, sleep disturbance, unconsciousness, and cognitive difficulties, with these symptoms being severe in about 2% of cases. While it is undisputed these patients can have severe symptoms, the cause and appropriate treatment is controversial. The symptoms may represent for all intents and purposes fibromyalgia or chronic fatigue syndrome. A few doctors attribute these symptoms to persistent infection with Borrelia, or co-infections with other tick-borne pathogens, such as Ehrlichia and Babesia. Other doctors believe that the initial infection may cause an autoimmune reaction that continues to cause serious symptoms even after the bacteria have been eliminated by antibiotics.",CAR_5cf1d6bc879dde1e178dbdcb84d49ec2446bbe55,0," In 1988, McSweegan joined the National Institutes of Health's National Institute of Allergy and Infectious Diseases, and eventually rose to the rank of program officer for Lyme disease. Beginning in 1995, he denounced on the Internet what he felt was unscientific and incorrect information about Lyme disease which was being disseminated by the NIH. He criticized the Lyme Disease Foundation for putting out wacko theories about the disease. The NIH removed him from his post as Lyme disease program officer and transferred his research grants to other workers.",CAR_75d4344dce568eec6d73d2ec3e1d4f6b14464bf8,0," In 1992, the army conducted a Lyme Disease Risk Assessment and noted that the disease was present in ticks at the facility, as well as the presence of human Lyme disease cases in the surrounding area.",CAR_826f0086c4d9f44ae7583f2440f9bfc1bd6886aa,0,,
4,38_1,38,1," <span>What is Lyme disease?</span>",HIT number 5 of 36 for question 1,false," A number of tick-borne diseases can be transmitted by I. ricinus to a variety of mammal hosts. Dogs can be infected with Lyme disease (borreliosis), caused by the spirochaete bacteria Borrelia burgdorferi, B. afzeli and B. garnii. Cattle can become infected with redwater fever (from the protozoans Babesia divergens, B. bovis and B. ovis), Lyme disease (from Borrelia burgdorferi), sheep tick pyemia (Staphylococcus aureus), cattle tick-borne fever (Anaplasma  phagocytophila), Q fever (Coxiella burnetii), Boutonneuse fever (Rickettsia conorii) and the bacterium Anaplasma marginale. Horses may be infected with Lyme disease, Anaplasma  phagocytophila, and the viral infection louping ill. Humans can become infected with Lyme disease, louping ill, Q fever and tick-borne encephalitis.",CAR_89ee39bbf3bf0f7747d0202800852ba2b3c97a2b,0," The Infectious Disease Society of America states that Lyme disease is easily treated with a few weeks of antibiotics and that chronic Lyme disease does not exist. Their position is that standard blood tests are an accurate means of determining the presence of Lyme disease. Holtorf and other physicians and groups, such as the International Lyme and Associated Diseases Society, argue that Lyme disease is far more common than mainstream medicine acknowledges and that many cases go undiagnosed and mistreated. He claims the standard testing is ineffective in as many as 90% of cases and that a host of undetectable coinfections may likewise be at play.",CAR_90ad580e976881e0c2fe92fd290175902c7ed885,0," Another issue that exists with high deer density is the spreading of infectious diseases. Increased deer populations lead to increased transmission of tick-borne diseases, which pose a threat to human health, to livestock, and to other deer. Deer are the primary host and vector for the adult black-legged tick, which transmits the Lyme disease bacterium to humans. Lyme disease is the most common vector-borne disease in the country and is found in twelve states in Eastern America. In 2009, it affected more than 38,000 people. Furthermore, the incidence of Lyme disease seems to reflect deer density in the eastern United States, which suggests a strong correlation. White-tailed deer also serve as intermediate hosts for many diseases that infect humans through ticks, such as Rocky Mountain spotted fever.",CAR_991464e330102c7ae62ae7c950ea0949dac21abc,0," Missouri Lyme disease is a cutaneous condition.  The cause of Missouri Lyme disease has been a source of controversy. True Lyme disease probably occurs in Missouri and other southern states, although Lyme disease-like illnesses not related to Borrelia burgdorferi also occur. Strains of B. burgdorferi have been isolated from A. americanum in Missouri, but the ticks are not efficient disease vectors.",CAR_9f36bfefd2e093b506015b06b2bd006b890fc529,0," Patients with chronic neuropathic pain responded well to gabapentin monotherapy with residual pain after intravenous ceftriaxone treatment in a pilot study. Some antibiotics may have a dual effect on Lyme disease, since minocycline and doxycycline have anti-inflammatory effects in addition to their antibiotic actions, including anti-inflammatory effects specific to the inflammation caused by Lyme disease. Indeed, minocycline has been suggested for other neurodegenerative and inflammatory disorders, such as multiple sclerosis, Parkinson's disease, Huntington's disease, rheumatoid arthritis and ALS.",CAR_a5232ec31de013ee83fb0539b877693345a93cc1,0,,
5,38_1,38,1," <span>What is Lyme disease?</span>",HIT number 6 of 36 for question 1,false," Lyme disease is the most common tick-borne disease in North America and Europe, and one of the fastest-growing infectious diseases in the United States. Of cases reported to the United States CDC, the ratio of Lyme disease infection is 7.9 cases for every 100,000 persons. In the ten states where Lyme disease is most common, the average was 31.6 cases for every 100,000 persons for the year 2005.",CAR_aead6f216cf3d211fbaf9ad902140b73c895708b,0," The Centers for Disease Control and Prevention state that approximately 10 to 20% of patients treated for Lyme disease with a recommended 24 week course of antibiotics will have lingering symptoms of fatigue, pain, or joint and muscle aches. In some cases, these can last for more than 6 months. Although often called 'chronic Lyme disease', this condition is properly known as 'post-treatment Lyme disease syndrome' (PTLDS). The term chronic Lyme disease is often applied to several different sets of patients. One usage refers to people suffering from the symptoms of untreated and disseminated late-stage Lyme disease: arthritis, peripheral neuropathy andor encephalomyelitis. The term is also applied to people who have had the disease in the past and some symptoms remain after antibiotic treatment, which is also called post-Lyme disease syndrome. A third and controversial use of the term applies to patients with nonspecific symptoms, such as fatigue, who show no objective evidence they have been infected with Lyme disease in the past, since the standard diagnostic tests for infection are negative.",CAR_bc2b5007b1312c3d2b77c111b7d172cc69611a1c,0," Chronic Lyme disease is a controversial diagnosis that encompasses a broad array of illnesses or symptom complexes for which there is no reproducible or convincing scientific evidence of any relationship to B. burgdorferi infection. There is no clinical evidence that chronic lyme disease is caused by a persistent infection. Most medical authorities advise against long-term antibiotic treatment for Lyme disease, though they agree that some patients do experience lingering symptoms.",CAR_bde3a6e6de06b12e33311b8e17b6e75fe17b12e0,0," Lyme disease is the most common disease spread by ticks in the Northern Hemisphere. It is estimated to affect 300,000 people a year in the United States and 65,000 people a year in Europe. Infections are most common in the spring and early summer. Lyme disease was diagnosed as a separate condition for the first time in 1975 in Old Lyme, Connecticut. It was originally mistaken for juvenile rheumatoid arthritis. The bacterium involved was first described in 1981 by Willy Burgdorfer. Chronic symptoms are well described and are known as post-treatment Lyme disease syndrome, although it is often called chronic Lyme disease. Some healthcare providers claim that it is due to ongoing infection; however, this is not believed to be true. A previous vaccine is no longer available. Research is ongoing to develop new vaccines.",CAR_d2237c84c59010e5762187279e6b032501b5b4f9,0," In 1975, Malawista and his Yale colleague, researcher Dr. Allen Steere, began work which would reveal Lyme disease as a new, distinct illness. Malawista and Steere had been contacted by the Connecticut Department of Public Health, which had been concerned about a mysterious cluster of similar illnesses and symptoms which had begun afflicting patients within the southeastern region of Connecticut. Malawista  and Steere identified the illness,  as a new  bacterial infection spread by the bite of a tick. In 1977, Malwista and Steere identified the illness as a new infection spread by tick bites. Malawista initially named the new disease Lyme arthritis. The name was later changed to Lyme disease after the illness was later shown to encompass a wide range of symptoms which were not limited to joint pain.",CAR_d3a2460e886a36187abd0d79b8d2cea16703f292,0,,
6,38_1,38,1," <span>What is Lyme disease?</span>",HIT number 7 of 36 for question 1,false," Many studies in North America have examined ecological and environmental correlates of Lyme disease prevalence.  A 2005 study using climate suitability modelling of I. scapularis projected that climate change would cause an overall 213% increase in suitable vector habitat by the year 2080, with northward expansions in Canada, increased suitability in the central U.S., and decreased suitable habitat and vector retraction in the southern U.S. A 2008 review of published studies concluded that the presence of forests or forested areas was the only variable that consistently elevated the risk of Lyme disease whereas other environmental variables showed little or no concordance between studies. The authors argued that the factors influencing tick density and human risk between sites are still poorly understood, and that future studies should be conducted over longer time periods, become more standardized across regions, and incorporate existing knowledge of regional Lyme disease ecology.",CAR_d9aa6f0682c3e346738ac3d024fdee5c0befc1b0,0," Singer Avril Lavigne was diagnosed in December 2014 with Lyme disease.In September 2015, billionaire John Caudwell discussed his family's experience with Lyme. The Punk Singer, a 2013 documentary film by Sini Anderson, portrays feminist singer Kathleen Hannas experience with late-stage Lyme disease. Professional basketball player and WNBA MVP Elena Delle Donne has discussed her experience with Lyme.",CAR_de4e8da4437881e5a7299a7ae38e1fec334f0427,0," These days there is not much disputing that Ixodes holocyclus is the main vector for Rickettsial Spotted Fever (also known as Queensland tick typhus) (causative organism the bacteria Rickettsia australis) and Flinders Island Spotted Fever (causative organism Rickettsia honei). Rickettsia australis is an obligate, intracellular bacterial parasite that proliferates within the endothelial cells of small blood vessels, causing a vasculitis. Spotted Fever is probably more common than the Lyme-like Disease. Sometimes infection with Rickettsia australis occurs without a rash - there may just be a high fever. Usually (65% of cases) there is a black spot (known as an eschar, usually 25 mm in diameter) at the site of the tickbite. This looks like a scab with redness and swelling around it. Usually there is only one eschar unless there has been more than one tick bite. Often lymph glands nearby are enlarged and painful. Fever starts 114 days (usually 710 days) following the tickbite, followed within a few days by a rash. The rash can look like chicken pox as the spots may contain some fluid. Other symptoms include headache, stiff neck, nausea, vomiting, mental confusion, aching muscles and joints. The illness may be more severe in adults and elderly persons. Spotted Fever is diagnosed by two blood tests (IgM and Weil-Felix tests) taken 10 days apart. PCR analysis of skin biopsies is a more recent testing method. The disease runs its course in two weeks or so but can be cured more quickly with antibiotics (tetracyclines). As antibiotic treatment is very effective, many persons feel so well that they do not return to have the second blood sample collected. But this second blood test is important as it is the only way of proving the diagnosis of Spotted Fever. Spotted Fever rarely, if ever, occurs more than once because the body usually becomes immune for life. In rare instances there may be an apparent repeated infection after recovery - it is not known whether this is caused by another strain. It is also presently unknown if chronic infections occur. It is rarely fatal. Australian Spotted Fever was first described in 1946 when 12 soldiers contracted the disease during training exercises in north Queensland - it was at that time known as Queensland Tick Typhus (QTT). Infections generally arise in rural areas, but 10% of reported cases appear to have been acquired in major cities. It is apparently not uncommonly seen in tick collectors in southern Queensland. It mostly occurs during the winter and spring, but can occur at any time in temperate areas.",CAR_f962637605de9c867f19f9d5bf207466bde7053e,0," Some ticks carried by deer transmit the bacteria that cause Lyme disease. Lyme disease is not contagious from person to person. Lyme disease can affect many areas of the body including the heart, skin, joints, and nervous system.ome ticks carried by deer transmit the bacteria that cause Lyme disease. Lyme disease is not contagious from person to person. Lyme disease can affect many areas of the body including the heart, skin, joints, and nervous system.",MARCO_1042180,0," Lyme disease facts. 1  Lyme disease is a bacterial illness that is spread by tick bites. 2  Lyme disease can affect the skin, joints, heart, and the nervous system. 3  Lyme disease occurs in phases, with the early phase beginning at the site of the tick bite with an expanding ring of redness.yme disease facts. 1  Lyme disease is a bacterial illness that is spread by tick bites. 2  Lyme disease can affect the skin, joints, heart, and the nervous system. 3  Lyme disease occurs in phases, with the early phase beginning at the site of the tick bite with an expanding ring of redness.",MARCO_1042181,0,,
7,38_1,38,1," <span>What is Lyme disease?</span>",HIT number 8 of 36 for question 1,false," Lyme disease is a bacterial infection that is spread through the bite of one of several types of ticks. Lyme disease is caused by bacteria called Borrelia burgdorferi (B burgdorferi). Blacklegged ticks and other species of ticks can carry these bacteria.",MARCO_1187762,0," Lyme disease is caused by ticks; if your dog is infected with Lyme disease, you can also catch this disease. Lyme disease may be fatal in dogs and can seriously affect children or people with a compromised immune system.yme disease is caused by ticks; if your dog is infected with Lyme disease, you can also catch this disease. Lyme disease may be fatal in dogs and can seriously affect children or people with a compromised immune system.",MARCO_1290807,0," 1 Lyme rash occurs at the site of the tick bite in 80% of people with early Lyme disease. 2  Incubation period from tick bite to rash is 3-30 days (usually 3-10 days).  Lyme disease rash is: - Round or oval, enlarges in size over daysweeks. - Red, sometimes warm.",MARCO_1357610,0," Normal (negative) values. A normal, or negative, test for Lyme disease can mean one of the following: 1  You do not have Lyme disease. 2  A negative PCR test usually means that you do not have a Lyme disease infection. 3  You have Lyme disease but it does not show up on the test (false-negative). normal, or negative, test for Lyme disease can mean one of the following: 1  You do not have Lyme disease. 2  You have Lyme disease but it does not show up on the test (false-negative). 3  You have not yet made antibodies to the Lyme disease bacteria. 4  Blood levels of antibodies against Lyme disease bacteria are too low for the test to detect. 5  Occasionally",MARCO_1406208,0," Connective tissue disorders and Lyme Disease. HealingWell.com Forum  Diseases & Conditions  Lyme Disease  Connective tissue disorders and Lyme Disease. I was wondering if it was common to have connective tissue disorders with lyme disease. I know the symptoms are similar.",MARCO_1657573,0,,
8,38_1,38,1," <span>What is Lyme disease?</span>",HIT number 9 of 36 for question 1,false," Diseases that can be Transmitted by Ticks. Most tick bites do not result in disease, but it is a good idea to recognize and watch for the early symptoms of some of the more commonly encountered tick-transmitted diseases. Tick-borne diseases of concern in Minnesota include: 1  Lyme Disease.2  Lyme disease is a potentially serious bacterial infection ...ick-borne diseases of concern in Minnesota include: 1  Lyme Disease. 2  Lyme disease is a potentially serious bacterial infection affecting both humans and animals. 3  The incidence of Lyme disease in Minnesota has been increasing in recent years.",MARCO_1744889,0," 1 Lyme disease is an infection caused by the corkscrew-shaped bacterium Borrelia burgdorferi, a member of the family of spirochetes. Lyme Disease Lyme disease is caused by bacteria called Borrelia burgdorferi and is transmitted to humans through the bite of infected blacklegged ticks.Typical symptoms include fever, headache, fatigue, and a characteristic skin rash called erythema migrans.teps to prevent Lyme disease include using insect repellent, removing ticks promptly, applying pesticides, and reducing tick habitat. How ticks spread Lyme disease Lyme disease bacteria, Borrelia burgdorferi, are spread through the bite of infected ticks.",MARCO_1746567,0," Lyme Disease History. Lyme disease, sometimes referred to as Lyme infection, is a bacterial illness, transmitted to humans by the bite of deer ticks (Ixodes ticks) carrying a bacterium known as Borrelia burgdorferi.yme Disease History. Lyme disease, sometimes referred to as Lyme infection, is a bacterial illness, transmitted to humans by the bite of deer ticks (Ixodes ticks) carrying a bacterium known as Borrelia burgdorferi.",MARCO_1746573,0," Lyme in Arkansas. In Arkansas, Lyme disease is vectored by Ixodes scapularis (the black-legged tick). Lyme disease is caused by a spirochete bacterium, Borrelia burgdorferi, and is transmitted to humans through the bit.",MARCO_1807947,0," The New York State Department of Health (NYSDOH) and local health departments continue to investigate the spread of Lyme disease throughout New York State. Lyme disease is a bacterial infection caused by the bite of an infected deer tick.Untreated, the disease can cause a number of health problems. Patients treated with antibiotics in the early stage of the infection usually recover rapidly and completely.he New York State Department of Health (NYSDOH) and local health departments continue to investigate the spread of Lyme disease throughout New York State. Lyme disease is a bacterial infection caused by the bite of an infected deer tick.",MARCO_1813457,0,,
9,38_1,38,1," <span>What is Lyme disease?</span>",HIT number 10 of 36 for question 1,false," The recognition that the patients in the United States had erythema migrans led to the recognition that Lyme arthritis was one manifestation of the same tick-borne disease known in Europe. The syndrome first found in and around Lyme and Old Lyme, Connecticut came to be called Lyme Arthritis and later Lyme Disease.",CAR_03d3fc1f5d38d3c3cc320614ccaa3bbba375680f,0," Lyme disease is a systemic illness resulting from infection with the spirochete Borrelia burgdorferi. 1 According to the Centers for Disease Control and Prevention (CDC) definition for reportable cases of Lyme disease, the annual number of cases increased from 7,943 in 1990 to 17,730 in 2000.",MARCO_1857073,0," Features of reactive arthritis include inflammation and swelling of the joints (primarily the knee, sacroiliac joints and joints of the feet), eyes and structures within the gastrointestinal or genitourinary tracts, such as intestines, kidneys or bladder. Lyme disease.Lyme disease is an infectious disease characterized by a skin, rash, joint swelling and flu-like symptoms. The disease is caused by the bite of a tick infected with a bacterium called B. burgdorferi. The knee is often the first joint affected by Lyme disease.Lupus. Lupus, or systemic lupus erythematosus, is a chronic autoimmune disease, meaning the body's immune system creates antibodies that attack healthy tissues.In addition to causing inflammation in the knee and other joints, lupus can affect many organs, including the skin, heart, lungs, and kidney.yme disease. Lyme disease is an infectious disease characterized by a skin, rash, joint swelling and flu-like symptoms. The disease is caused by the bite of a tick infected with a bacterium called B. burgdorferi. The knee is often the first joint affected by Lyme disease.",MARCO_2004857,0," Description and Distribution. Lyme disease is an illness caused by a spirochete bacterium (Borrelia burgdorferi). This disease is transmitted to people and animals primarily by the bite of the black-legged tick, Ixodes scapularis.In 1975, Lyme disease was first recognized in the United States in children from Lyme, Connecticut.escription and Distribution. Lyme disease is an illness caused by a spirochete bacterium (Borrelia burgdorferi). This disease is transmitted to people and animals primarily by the bite of the black-legged tick, Ixodes scapularis.",MARCO_2008210,0," Most tick-borne diseases, such as Rocky Mountain spotted fever, ehrlichiosis, tularemia, Q-fever and Lyme or a lyme-like disease are reportable in Missouri. Reporting helps DHSS monitor disease trends, track unusual occurrences or clusters of diseases and identify possible risk factors associated with diseases.",MARCO_2097920,0,,
