workerId,num queries,avg wrong,avg time
A1KI7C9UTUBCAT,1,0.0,94.0
A2R7PDGVB16KGY,1,0.0,364.0
A1Y25W1Y7KDE5,1,0.0,199.0
A249LDVPG27XCE,3,0.0,477.3333333333333
ARG392N6HWZCJ,1,0.0,69.0
AQXZUVF2QWLYS,1,1.0,283.0
A23NL8JRP9Q0U5,1,0.0,478.0
A9OOV3976AFYF,5,0.4,603.0
A3S3IJ880LPJ58,1,2.0,309.0
A9HIMVROPHE3P,2,0.0,146.0
A2PD9SHVWNX7Q2,5,0.2,173.8
A28HWJIJNRZ157,2,0.5,275.5
AR4XFM7G1W0VQ,1,0.0,172.0
A2VQ2M0S1NATGC,2,0.0,328.0
AN8KNI96ZSZSZ,1,0.0,741.0
A3T5UAYFKJBVTA,4,0.0,63.0
A2BABL5AHUOYC7,1,1.0,353.0
A3UP4PP3ZF1J39,1,0.0,401.0
A3UWHJTAUTF6TO,8,0.875,135.5
A3EO5H2EI4G4TC,1,1.0,885.0
A2GIT09BQEUM9M,1,0.0,126.0
AWIBHH87SWYM1,1,1.0,117.0
A1L1S0IAPZB4MO,5,0.2,137.8
A1EM0NU4IIOSNL,1,2.0,491.0
A19FEZUCRLSLSX,2,0.0,803.5
A3BMEVFSETVOUR,9,0.1111111111111111,269.1111111111111
AVMK8HV2B8V3,1,0.0,333.0
A2OPLZU47CO9XE,1,0.0,267.0
AOISRRTXB6VTA,1,0.0,103.0
AURYD2FH3FUOQ,1,0.0,547.0
A1NCWY01WAAP2K,1,0.0,488.0
A3HFMV7EIP4305,2,0.5,424.5
AL36KBFL3ORCD,1,0.0,600.0
A2WGW5Y3ZFBDEC,1,0.0,335.0
AT6LDQNLKTUSE,2,0.0,815.5
A3TPW4JUUJDUFI,1,0.0,255.0
A23G0PXK4HL0C3,2,0.0,98.0
ARQR5NIFA1AJ,2,0.0,108.0
A3774HPOUKYTX7,1,1.0,610.0
A2BVS5FSVXG48A,6,1.5,200.33333333333334
A2LU3430Q972IN,1,1.0,208.0
A3N17LYEE7484L,1,0.0,252.0
A26F3K30VFCT8C,7,1.0,143.14285714285714
A3T9K2RY06UO14,3,0.3333333333333333,137.33333333333334
AXXWTCAPW93Y3,2,0.0,83.5
A3UJI5LFYX4HCG,1,0.0,111.0
