HITid,AssignmentId,WorkerId,Time of Day,Day of Week,Start Time,End Time,Time,Minutes,Input Time (s),Query Time (s),Query,Description,Category,doc1id,doc1selected,doc2id,doc2selected,doc3id,doc3selected,doc4id,doc4selected,doc5id,doc5selected,doc6id,doc6selected,doc7id,doc7selected,doc8id,doc8selected,doc9id,doc9selected,doc10id,doc10selected,doc11id,doc11selected,doc12id,doc12selected,doc13id,doc13selected,Num Relevant Selected,NumNRSelected
30F94FBDOV0I3W5HBTCMV8M0QZETBL,3CP1TO84PYHPH1SPH67EFJ96ZJ552H,A38IPIPA3T3G4,2021-07-21T09:14:40,WEDNESDAY,1.63E+12,1.63E+12,303,5.05,52.728,0, Donald trump, , Politics, clueweb09-enwp01-38-01591,TRUE, clueweb09-en0008-24-20028,TRUE, clueweb09-en0001-79-10842,TRUE, clueweb09-en0007-67-33476,TRUE, clueweb09-en0008-42-06062,TRUE, clueweb09-enwp00-76-01832,TRUE, nr-clueweb09-en0011-48-08287,FALSE, clueweb09-en0004-87-28019,TRUE, clueweb09-en0002-82-00352,FALSE, clueweb09-en0005-99-17871,TRUE, clueweb09-en0002-92-08355,FALSE, random-clueweb09-en0007-49-03198,FALSE, nr-clueweb09-en0000-91-24128,FALSE,8,0
3IJ95K7NE1SGZ088UJIONK75HUKGNO,3OLF68YTNEH6O1GI0XD27DJH01BAFC,A38IPIPA3T3G4,2021-07-21T09:15:08,WEDNESDAY,1.63E+12,1.63E+12,122,2.033333333,61.662,0, Robert Downey jnr., , Entertainment, nr-clueweb09-en0009-52-19382,TRUE, clueweb09-enwp01-57-18097,TRUE, clueweb09-enwp01-61-16732,TRUE, clueweb09-en0007-05-11337,TRUE, random-clueweb09-en0011-47-15958,FALSE, clueweb09-en0002-63-03446,FALSE, clueweb09-en0011-38-02109,TRUE, clueweb09-en0005-72-28399,TRUE, clueweb09-en0000-31-14319,TRUE, clueweb09-en0004-91-10768,TRUE, clueweb09-en0003-28-08556,TRUE, clueweb09-en0003-28-08563,TRUE, nr-clueweb09-en0009-18-09534,TRUE,9,2
39RRBHZ0BYHTYMCMM2S4I8HOENGVZ9,3JJVG1YBEGDJ5ESL0Z0PGCCATPIB5P,A38IPIPA3T3G4,2021-07-21T09:17:12,WEDNESDAY,1.63E+12,1.63E+12,249,4.15,94.27,0, grand canyon, , Travel, clueweb09-en0011-28-03020,TRUE, nr-clueweb09-en0009-51-06729,TRUE, clueweb09-en0004-66-01963,TRUE, random-clueweb09-en0004-13-04016,FALSE, clueweb09-en0009-81-01574,TRUE, clueweb09-en0001-53-24441,FALSE, clueweb09-en0007-42-10000,TRUE, clueweb09-en0007-42-10002,FALSE, clueweb09-en0007-90-22212,TRUE, clueweb09-en0011-20-00174,TRUE, clueweb09-en0003-70-23527,TRUE, clueweb09-en0007-76-32502,FALSE, nr-clueweb09-en0010-30-17585,FALSE,7,1
3T8DUCXY1RMZF3QKD9YQ42RA2ZBT9B,3NXNZ5RS1FDF4PR7Q81QNQVGWVA97S,A38IPIPA3T3G4,2021-07-21T09:19:45,WEDNESDAY,1.63E+12,1.63E+12,362,6.033333333,290.652,0, Angelina Julie husband, , Entertainment, clueweb09-en0007-50-18335,FALSE, random-clueweb09-en0005-85-21121,FALSE, nr-clueweb09-en0010-80-04297,TRUE, clueweb09-en0000-43-11946,FALSE, clueweb09-en0005-13-19046,FALSE, clueweb09-en0000-43-13514,FALSE, clueweb09-en0005-13-19042,FALSE, clueweb09-en0002-16-15035,FALSE, clueweb09-en0002-16-15038,FALSE, clueweb09-en0000-04-08254,FALSE, clueweb09-en0006-14-08160,FALSE, clueweb09-en0007-05-08777,FALSE, nr-clueweb09-en0000-86-12004,TRUE,0,2
3ECKRY5B2UCOCGSMNVTL3JRU6LKIZZ,3E13VNJ1NSBU44585MQUZ936CZXI1N,A38IPIPA3T3G4,2021-07-21T09:21:24,WEDNESDAY,1.63E+12,1.63E+12,157,2.616666667,73.651,0, cure for groin cancer, , Health &amp; Wellness, clueweb09-en0001-67-11497,TRUE, clueweb09-en0006-56-22955,TRUE, clueweb09-en0006-68-08517,FALSE, nr-clueweb09-enwp03-15-20480,FALSE, clueweb09-en0005-76-25792,FALSE, clueweb09-en0004-57-19482,FALSE, clueweb09-en0006-52-12977,FALSE, clueweb09-en0009-07-09342,TRUE, clueweb09-en0008-01-39992,TRUE, random-clueweb09-en0002-86-03239,FALSE, clueweb09-en0009-40-22895,FALSE, clueweb09-en0006-83-37872,TRUE, nr-clueweb09-en0009-08-34628,FALSE,5,0
3WRKFXQBPFNO7QIHR9R2PCIS0RGIY8,3R6BYFZZPCSIKEOBB75GRLUF1MKXF3,A38IPIPA3T3G4,2021-07-21T09:24:06,WEDNESDAY,1.63E+12,1.63E+12,183,3.05,118.108,0, best male perfume, , Style, clueweb09-en0008-54-21332,TRUE, clueweb09-en0004-99-07867,FALSE, clueweb09-en0011-01-02287,FALSE, clueweb09-en0002-10-34509,FALSE, clueweb09-en0006-65-31851,FALSE, random-clueweb09-en0009-64-30845,FALSE, nr-clueweb09-en0011-01-02219,TRUE, clueweb09-en0002-10-34544,FALSE, clueweb09-en0011-51-04132,FALSE, clueweb09-en0005-69-03237,FALSE, clueweb09-en0011-85-08909,FALSE, clueweb09-en0007-07-27765,TRUE, nr-clueweb09-en0011-01-02195,FALSE,2,1
3ZXNP4Z3AV17I7UMP3YF4FQNDW1L7O,3HFNH7HEMMU4PHJU0DG6FYYY5YXQGY,A38IPIPA3T3G4,2021-07-21T09:25:57,WEDNESDAY,1.63E+12,1.63E+12,188,3.133333333,103.987,0, date night ideas, , Relationships, clueweb09-en0009-38-25073,TRUE, clueweb09-en0007-50-15577,TRUE, clueweb09-en0003-90-04461,TRUE, nr-clueweb09-en0001-57-26928,FALSE, clueweb09-en0003-90-04462,TRUE, clueweb09-en0003-93-00086,FALSE, random-clueweb09-en0008-25-06683,FALSE, clueweb09-en0010-51-18516,FALSE, clueweb09-en0007-99-20740,FALSE, clueweb09-en0009-90-21415,FALSE, clueweb09-en0000-04-33905,TRUE, clueweb09-en0000-04-33911,FALSE, nr-clueweb09-en0001-57-26927,FALSE,5,0
39O6Z4JLY6D4TRC7LK4JLN1D6NIVXC,3180JW2OT9SPNXQXORD6E0VN1USJ5J,A38IPIPA3T3G4,2021-07-21T09:29:11,WEDNESDAY,1.63E+12,1.63E+12,551,9.183333333,62.682,0, TD jakes, , Spirituality, clueweb09-en0009-96-27495,FALSE, clueweb09-enwp00-23-11188,TRUE, clueweb09-en0011-25-28251,FALSE, clueweb09-en0004-73-14059,TRUE, nr-clueweb09-en0010-12-17784,FALSE, clueweb09-en0004-73-14089,TRUE, clueweb09-en0002-09-25204,TRUE, clueweb09-en0009-96-31761,FALSE, clueweb09-en0002-47-22292,TRUE, clueweb09-en0003-26-01607,FALSE, random-clueweb09-en0000-21-15033,FALSE, clueweb09-en0002-09-25205,TRUE, nr-clueweb09-en0010-12-17775,FALSE,6,0
34O39PNDLAO5NHSP747RVTLI2EHBRQ,3EICBYG649CAMIZC310ES61XTBEJCR,A38IPIPA3T3G4,2021-07-21T09:29:42,WEDNESDAY,1.63E+12,1.63E+12,370,6.166666667,91.22,0, covid relief payment, , Economy &amp; Finance, random-clueweb09-en0008-13-05976,FALSE, clueweb09-en0006-92-38860,FALSE, clueweb09-en0011-05-40239,FALSE, clueweb09-en0005-95-32246,FALSE, nr-clueweb09-en0011-05-30202,FALSE, clueweb09-en0007-53-14758,FALSE, clueweb09-en0007-53-14737,FALSE, clueweb09-en0006-67-19882,FALSE, clueweb09-en0009-99-12062,FALSE, clueweb09-en0006-60-12321,FALSE, clueweb09-en0005-65-03630,TRUE, clueweb09-en0007-08-19960,FALSE, nr-clueweb09-en0011-43-15987,FALSE,1,0
344M16OZLMVIFMCHOOS0NHMT4E5EN5,3ZWFC4W1UZNYNI2Z28ZO238R050RF2,A6717SDXOR1OP,2021-07-21T09:32:36,WEDNESDAY,1.63E+12,1.63E+12,74,1.233333333,29.236,0, how to do a cosmopolitan, , Food &amp; Drink, clueweb09-en0008-66-13206,FALSE, nr-clueweb09-en0006-24-12183,FALSE, clueweb09-en0002-04-09907,FALSE, clueweb09-en0002-19-09798,TRUE, clueweb09-en0002-84-19945,FALSE, clueweb09-en0009-10-36300,FALSE, clueweb09-en0003-58-04046,FALSE, clueweb09-en0005-62-36252,FALSE, random-clueweb09-en0007-09-17000,FALSE, clueweb09-en0002-73-19802,FALSE, clueweb09-en0006-84-00859,FALSE, clueweb09-en0008-00-07807,FALSE, nr-clueweb09-en0011-08-12757,FALSE,1,0
3HEM8MA6IDS7FAEZDU0SLNG2NWUQPP,3LOTDFNYACF3VEJL129UP2G8SKFFWT,AOTSBJGYMR4N8,2021-07-21T09:34:40,WEDNESDAY,1.63E+12,1.63E+12,84,1.4,56.052,0, gangster movies, , Recreation, clueweb09-en0009-60-09481,TRUE, clueweb09-en0008-87-05376,FALSE, clueweb09-en0008-93-18993,FALSE, nr-clueweb09-en0008-20-04259,FALSE, clueweb09-en0000-75-22388,FALSE, clueweb09-en0003-67-23287,FALSE, clueweb09-en0009-21-28284,FALSE, clueweb09-en0002-52-29449,FALSE, random-clueweb09-en0007-29-30662,FALSE, clueweb09-en0004-17-19361,FALSE, clueweb09-en0009-21-28283,FALSE, clueweb09-en0008-18-02582,FALSE, nr-clueweb09-en0008-20-04232,FALSE,1,0
38EHZ67RJQ8AHIN8II3OA5I5C4AGMO,3570Y55XZUZDYJAGRNX0SK1047FYGA,A38IPIPA3T3G4,2021-07-21T09:35:56,WEDNESDAY,1.63E+12,1.63E+12,449,7.483333333,349.26,0, how to pray and get answers, , Spirituality, nr-clueweb09-en0002-72-20648,FALSE, clueweb09-en0008-95-13432,TRUE, clueweb09-en0009-55-28101,FALSE, random-clueweb09-en0008-31-37861,FALSE, clueweb09-en0004-92-32968,FALSE, clueweb09-en0002-40-16313,TRUE, clueweb09-en0005-04-08220,FALSE, clueweb09-en0005-79-30414,FALSE, clueweb09-en0005-00-28062,TRUE, clueweb09-en0004-92-32657,FALSE, clueweb09-en0008-56-39676,FALSE, clueweb09-en0006-74-02581,FALSE, nr-clueweb09-en0008-24-29269,TRUE,3,1
