HITid,AssignmentId,WorkerId,Time of Day,Day of Week,Start Time,End Time,Time,Minutes,Input Time (s),Query Time (s),Query,Category,doc1id,doc1selected,doc2id,doc2selected,doc3id,doc3selected,doc4id,doc4selected,doc5id,doc5selected,doc6id,doc6selected,doc7id,doc7selected,doc8id,doc8selected,doc9id,doc9selected,doc10id,doc10selected,doc11id,doc11selected,doc12id,doc12selected,doc13id,doc13selected,Num Relevant Selected,Num NR Selected
3UOMW19E7HMZSZMXOXQJ3CM4WFU5CF,3WYP994K1C7B1QLAFAOEGTOBSLMY6K,A12VDN3TJJCAQQ,2021-11-15T01:43:13,MONDAY,1636958593000,1636959412000,819.0,13.65,16.872,0.0," Who is the bengals head coach"," Sports"," clueweb09-enwp00-96-15697",true," random-clueweb09-en0011-47-15958",false," clueweb09-en0005-72-27948",false," clueweb09-enwp00-98-17938",false," clueweb09-en0011-14-00148",false," clueweb09-en0003-94-09072",false," clueweb09-en0009-92-01015",false," clueweb09-en0011-55-08215",false," clueweb09-en0005-67-15141",false," clueweb09-en0001-57-26616",false," nr-clueweb09-en0007-95-05357",false," clueweb09-en0001-29-26232",false," nr-clueweb09-en0001-07-07819",false,1,0
3UOMW19E7HMZSZMXOXQJ3CM4WFU5CF,3NKQQ8O393LT5QGKFWZ3JESQDJDUDP,A1HKLHGRRSSDQN,2021-11-15T04:29:19,MONDAY,1636968559000,1636968685000,126.0,2.1,26.35,0.0," What clothing goes well with boots?"," Style"," clueweb09-en0005-97-27118",false," clueweb09-en0006-45-30610",false," clueweb09-en0006-28-30457",false," clueweb09-en0005-77-26755",false," clueweb09-en0006-62-35544",false," clueweb09-en0009-26-24980",false," random-clueweb09-en0008-13-05976",false," clueweb09-en0010-86-15805",false," clueweb09-en0006-08-22975",false," clueweb09-en0000-08-16530",false," nr-clueweb09-en0005-81-11062",false," clueweb09-en0006-00-08958",false," nr-clueweb09-en0006-03-12564",false,0,0
3UOMW19E7HMZSZMXOXQJ3CM4WFU5CF,3OVHNO1VEBHARPAULJYB0675F1VZDM,A3DTPGXKABAFEJ,2021-11-15T05:01:57,MONDAY,1636970517000,1636970677000,160.0,2.6666666666666665,44.522,0.0," dance and drama live"," Arts"," clueweb09-en0000-39-10303",true," clueweb09-en0005-86-16503",true," clueweb09-en0005-86-14998",false," clueweb09-en0000-39-10326",true," nr-clueweb09-en0001-57-18322",false," clueweb09-enwp00-00-09834",true," clueweb09-en0011-14-01324",false," clueweb09-en0011-06-14968",false," clueweb09-enwp00-54-18870",false," clueweb09-en0009-66-22289",true," clueweb09-en0010-48-22803",false," random-clueweb09-en0011-47-15958",false," nr-clueweb09-en0002-30-26952",false,5,0
3UOMW19E7HMZSZMXOXQJ3CM4WFU5CF,31UV0MXWNVSTSM6R69S62ZGN681I58,APRZ7BR8C0ZMQ,2021-11-15T05:56:35,MONDAY,1636973795000,1636973910000,115.0,1.9166666666666667,31.335,0.0," George Washington slavery"," History"," clueweb09-en0008-63-23201",false," clueweb09-en0008-00-20711",true," random-clueweb09-en0007-09-17000",false," clueweb09-enwp00-93-00789",true," nr-clueweb09-en0002-02-25491",false," clueweb09-en0008-01-23121",false," clueweb09-en0000-56-09146",false," clueweb09-en0005-27-26963",false," clueweb09-en0003-81-32753",true," clueweb09-en0011-79-13548",false," clueweb09-enwp01-67-08068",false," clueweb09-en0002-30-26637",false," nr-clueweb09-en0010-71-20109",false,3,0
3UOMW19E7HMZSZMXOXQJ3CM4WFU5CF,3VD82FOHKV4ONTQ9JESJ02IJAYXCOG,A3GAQNTZ1V1VO,2021-11-15T07:17:51,MONDAY,1636978671000,1636978734000,63.0,1.05,26.068,0.0," Biggest scandal of the Jimmy Carter presidency"," Politics"," clueweb09-en0000-95-25074",false," clueweb09-en0008-25-05770",false," clueweb09-en0003-57-13585",false," clueweb09-en0009-22-33830",false," clueweb09-en0001-16-25114",false," clueweb09-en0007-91-21428",false," nr-clueweb09-en0003-26-19401",false," clueweb09-enwp01-13-03748",true," clueweb09-en0003-01-01131",false," clueweb09-en0001-05-19926",false," random-clueweb09-en0011-47-15958",false," clueweb09-en0001-93-30996",true," nr-clueweb09-en0004-18-04085",false,2,0
3UOMW19E7HMZSZMXOXQJ3CM4WFU5CF,3L4PIM1GQYW4N9JU7YRCROF7O95YRP,A1Z8TF04ZG3VRE,2021-11-15T07:56:19,MONDAY,1636980979000,1636981130000,151.0,2.5166666666666666,117.239,0.0," which drink is liked by people of Indonesia ?"," Food &amp; Drink"," clueweb09-en0004-84-14568",false," clueweb09-en0007-87-24653",false," clueweb09-en0001-04-27859",false," clueweb09-en0004-52-17939",false," clueweb09-en0004-53-10291",false," nr-clueweb09-en0000-93-38683",false," clueweb09-en0007-67-13825",false," clueweb09-en0006-68-27509",false," clueweb09-en0009-77-13962",false," random-clueweb09-en0003-07-27095",false," clueweb09-en0010-07-06729",false," clueweb09-en0010-79-27434",false," nr-clueweb09-en0006-64-10534",false,0,0
3UOMW19E7HMZSZMXOXQJ3CM4WFU5CF,3ND9UOO81PIPV6THNDCSKFLS79SWLA,A14GKRTUEHBLBZ,2021-11-15T08:43:34,MONDAY,1636983814000,1636983976000,162.0,2.7,13.409,0.0," best national park to visit"," Nature"," clueweb09-en0011-45-25573",false," clueweb09-en0011-45-24414",true," clueweb09-en0011-28-02883",true," clueweb09-en0011-72-23910",true," nr-clueweb09-en0004-30-29455",false," clueweb09-en0007-13-23746",false," clueweb09-en0006-74-13504",false," clueweb09-en0011-63-24123",false," clueweb09-en0011-27-28020",false," random-clueweb09-en0009-06-35915",false," clueweb09-en0010-88-32055",false," clueweb09-en0011-28-02607",false," nr-clueweb09-en0011-64-09351",false,3,0
3UOMW19E7HMZSZMXOXQJ3CM4WFU5CF,3PH3VY7DJQD90VAL2E31SUWQMI1WZU,AKA8TN8H8DQ6T,2021-11-15T08:49:15,MONDAY,1636984155000,1636984671000,516.0,8.6,29.623,0.0," details about our universe"," Science"," clueweb09-en0011-39-30069",true," clueweb09-enwp00-79-05558",true," clueweb09-enwp00-60-06336",true," clueweb09-en0000-86-17368",false," clueweb09-en0001-52-26313",false," clueweb09-en0008-27-11189",true," clueweb09-en0001-43-10514",false," clueweb09-en0011-03-21256",false," clueweb09-en0006-04-26778",false," nr-clueweb09-en0003-26-21843",false," clueweb09-en0011-03-21250",false," random-clueweb09-en0002-86-03239",false," nr-clueweb09-en0000-45-19790",false,4,0
30IRMPJWE3Z6GKWJDHKKUW48T6SKRL,3TK8OJTYM612728APV03FUBY59BVPF,A12VDN3TJJCAQQ,2021-11-15T01:52:38,MONDAY,1636959158000,1636959219000,61.0,1.0166666666666666,35.29,0.0," Best birding spots ohio"," Nature"," clueweb09-en0007-85-06717",true," random-clueweb09-en0005-94-21396",false," clueweb09-en0000-29-17286",true," clueweb09-en0009-76-18572",false," clueweb09-en0005-78-29113",false," clueweb09-en0005-16-24372",false," nr-clueweb09-en0009-21-22503",false," clueweb09-en0007-85-06710",false," clueweb09-en0000-31-09633",true," clueweb09-en0005-16-24124",false," clueweb09-en0005-87-10404",true," clueweb09-en0005-78-29104",true," nr-clueweb09-en0010-93-08195",false,5,0
30IRMPJWE3Z6GKWJDHKKUW48T6SKRL,3WMINLGALGJZLPW89VN1Z7YELGACAW,A1BI34TAR8H9R0,2021-11-15T04:29:20,MONDAY,1636968560000,1636968614000,54.0,0.9,24.596,0.0," Cute Hamsters"," Pets"," clueweb09-en0004-36-14304",true," clueweb09-en0005-16-03744",false," random-clueweb09-en0008-13-05976",false," clueweb09-en0007-50-14386",false," clueweb09-en0002-25-14650",true," clueweb09-en0007-50-14381",false," clueweb09-en0002-07-04515",false," nr-clueweb09-en0001-48-05045",false," clueweb09-en0008-23-18003",false," clueweb09-en0008-88-16035",false," clueweb09-en0002-54-30637",false," clueweb09-en0011-73-32075",true," nr-clueweb09-en0010-46-14524",true,3,1
