HITid,AssignmentId,WorkerId,Time of Day,Day of Week,Start Time,End Time,Time,Minutes,Input Time (s),Query Time (s),Query,Category,FilteredDocs,doc1id,doc1selected,doc1score,doc2id,doc2selected,doc2score,doc3id,doc3selected,doc3score,doc4id,doc4selected,doc4score,doc5id,doc5selected,doc5score,doc6id,doc6selected,doc6score,doc7id,doc7selected,doc7score,doc8id,doc8selected,doc8score,doc9id,doc9selected,doc9score,doc10id,doc10selected,doc10score,doc11id,doc11selected,doc11score,doc12id,doc12selected,doc12score,doc13id,doc13selected,doc13score,Num Relevant Selected,Num NR Selected
3OQQD2WO9MMNRNLT2OYCZIMGAWEI3S,3EG49X351ZSM1LV0AE2CXFH5CY66XU,A1YSYI926BBOHW,2023-03-30T14:14:11,THURSDAY,1680200051000,1680200115000,64.0,1.0666666666666667,42.991,0.0," What NBA team has the highest payroll"," Sports"," "," clueweb22-en0030-48-12759",false,-2.390625 - 14.603378," clueweb22-en0023-06-17434",false,-5.00390625 - 14.312801," random-clueweb09-en0008-13-05976",false,-2 - -2," clueweb22-en0040-45-08581",true,-2.6328125 - 14.392141," clueweb22-en0016-24-18038",true,-1.634765625 - 14.056928," clueweb22-en0003-67-10650",true,-2.66796875 - 14.971375," clueweb22-en0007-91-16633",false,-2.70703125 - 14.278098," nr-clueweb22-en0014-88-11099",false,-1 - -1," clueweb22-en0013-50-09530",false,-2.82421875 - 16.082808," clueweb22-en0019-87-06945",false,-2.306640625 - 14.654946," clueweb22-en0000-72-00600",false,-1.9833984375 - 14.350668," nr-clueweb22-en0031-61-11843",false,-1 - -1," clueweb22-en0025-02-01145",false,-2.837890625 - 14.523284,3,0
3OQQD2WO9MMNRNLT2OYCZIMGAWEI3S,3AMYWKA6YG2Z7CH89NFGE2QC0U2O68,A1SX8IVV82M0LW,2023-03-30T14:18:59,THURSDAY,1680200339000,1680200412000,73.0,1.2166666666666666,25.917,0.0," neuschwanstein castle touring"," History"," "," clueweb22-en0027-88-02355",false,-1.0205078125 - 14.717653," clueweb22-en0020-58-08081",true,0.250244140625 - 15.230454," random-clueweb09-en0009-06-35915",false,-2 - -2," clueweb22-en0020-90-15218",false,-1.263671875 - 15.290895," clueweb22-en0003-96-10834",false,-2.75390625 - 14.564188," clueweb22-en0041-87-01401",false,-3.203125 - 14.440723," nr-clueweb22-en0018-96-16594",false,-1 - -1," clueweb22-en0004-38-15718",true,-2.560546875 - 14.525431," clueweb22-en0004-94-15262",true,-0.66259765625 - 15.131749," clueweb22-en0015-48-06491",false,-0.371337890625 - 15.659325," nr-clueweb22-en0004-38-15718",true,-1 - -1," clueweb22-en0009-38-18244",false,-1.5087890625 - 14.870665," clueweb22-en0010-88-05845",false,-2.080078125 - 14.904284,3,1
3OQQD2WO9MMNRNLT2OYCZIMGAWEI3S,3DIP6YHAPH80ZZN78O9IT4SP2NN8EB,A2H1RXUC8XNNIW,2023-03-30T14:19:09,THURSDAY,1680200349000,1680200629000,280.0,4.666666666666667,19.238,0.0," how to invest in brazil"," Economy &amp; Finance"," "," clueweb22-en0036-07-03859",false,-3.125 - 8.65119," nr-clueweb22-en0040-78-11865",false,-1 - -1," clueweb22-en0004-00-00554",true,-1.29296875 - 9.0966425," random-clueweb09-en0003-07-27095",false,-2 - -2," clueweb22-en0012-59-18027",true,-1.697265625 - 9.063815," nr-clueweb22-en0004-81-09169",false,-1 - -1," clueweb22-en0031-47-07740",false,-6.0 - 8.756573," clueweb22-en0037-62-00609",true,-1.23828125 - 9.099712," clueweb22-en0024-13-03598",false,-3.44921875 - 8.617621," clueweb22-en0005-65-06655",false,-3.474609375 - 8.832993," clueweb22-en0036-31-13756",false,-4.65625 - 8.732971," clueweb22-en0007-04-10881",false,-3.0703125 - 8.696378," clueweb22-en0000-51-09161",true,-1.0556640625 - 9.022637,4,0
3OQQD2WO9MMNRNLT2OYCZIMGAWEI3S,3SUWZRL0M3TDVL4JF9CK9QWYWSXE6V,A23KAJRDVCVGOE,2023-03-30T14:20:51,THURSDAY,1680200451000,1680200639000,188.0,3.1333333333333333,26.36,0.0," What are some of the most famous athletes in history"," Sports"," "," clueweb22-en0031-91-11183",false,-1.361328125 - 12.896758," clueweb22-en0020-88-16603",false,-1.4599609375 - 12.389625," random-clueweb09-en0000-87-03924",false,-2 - -2," clueweb22-en0026-48-13994",false,-1.3896484375 - 11.787878," clueweb22-en0017-62-15176",false,-2.03515625 - 11.839749," clueweb22-en0000-15-04598",false,-3.021484375 - 11.698785," clueweb22-en0043-55-11477",false,-2.591796875 - 11.970568," clueweb22-en0028-01-14691",false,-2.986328125 - 11.723228," nr-clueweb22-en0020-81-04234",false,-1 - -1," clueweb22-en0014-25-13299",false,-3.341796875 - 12.138014," clueweb22-en0004-86-13073",false,-5.3984375 - 11.737554," nr-clueweb22-en0017-60-17405",false,-1 - -1," clueweb22-en0016-64-16178",false,-1.865234375 - 11.871831,0,0
3OQQD2WO9MMNRNLT2OYCZIMGAWEI3S,3FUI0JHJP2EBO4147NXQJWGHVC633O,A2O0B9KWB7RSTO,2023-03-30T14:23:01,THURSDAY,1680200581000,1680200643000,62.0,1.0333333333333334,23.662,0.0," Most popular dog breeds"," Pets"," "," nr-clueweb22-en0017-85-08385",false,-1 - -1," clueweb22-en0005-72-05105",true,0.2265625 - 12.245505," nr-clueweb22-en0039-02-07525",false,-1 - -1," clueweb22-en0013-55-05063",true,0.66455078125 - 12.248368," clueweb22-en0016-36-18984",false,-2.134765625 - 12.504834," clueweb22-en0023-40-02956",false,0.173095703125 - 12.270114," clueweb22-en0005-77-04843",false,-0.1083984375 - 12.660859," random-clueweb09-en0003-33-30335",false,-2 - -2," clueweb22-en0032-72-01564",false,-2.9765625 - 12.320713," clueweb22-en0018-46-08638",false,-2.328125 - 12.266206," clueweb22-en0029-50-09195",false,0.1544189453125 - 12.451052," clueweb22-en0029-20-11013",false,-2.140625 - 12.301982," clueweb22-en0024-94-11429",false,-2.490234375 - 12.367606,2,0
3OQQD2WO9MMNRNLT2OYCZIMGAWEI3S,3SKEMFQBZ8L3LZFH4AKLRZ5UMKJK87,A1VMPZVVVZUCS4,2023-03-30T14:22:12,THURSDAY,1680200532000,1680200676000,144.0,2.4,24.895,0.0," how to get reluctant readers to read more"," Education"," "," clueweb22-en0037-64-16893",true,0.90576171875 - 11.85483," clueweb22-en0014-99-03304",true,0.529296875 - 12.215265," clueweb22-en0030-03-00365",true,0.7900390625 - 12.088578," random-clueweb09-en0009-77-38942",false,-2 - -2," clueweb22-en0009-52-11187",true,-0.7041015625 - 11.78046," nr-clueweb22-en0002-39-09467",false,-1 - -1," clueweb22-en0029-54-05969",false,-2.359375 - 11.897901," clueweb22-en0014-21-11735",true,-0.595703125 - 11.768357," nr-clueweb22-en0015-74-01657",false,-1 - -1," clueweb22-en0009-04-02720",true,-2.111328125 - 12.235565," clueweb22-en0002-63-18389",true,-2.60546875 - 12.060781," clueweb22-en0038-64-04064",true,0.4609375 - 11.964574," clueweb22-en0019-95-13110",true,-0.29296875 - 11.787835,9,0
3OQQD2WO9MMNRNLT2OYCZIMGAWEI3S,33IZTU6J86HROJTXHR5FYKDXUN5SX4,A2CWJRAEFZ44HU,2023-03-30T14:23:06,THURSDAY,1680200586000,1680200814000,228.0,3.8,27.234,0.0," south africa election results"," Politics"," "," clueweb22-en0012-08-08079",false,-1.63671875 - 11.578473," clueweb22-en0029-33-04504",true,0.56787109375 - 11.994399," clueweb22-en0029-03-12584",false,-2.02734375 - 11.865765," clueweb22-en0040-35-01839",true,-4.1328125 - 11.706164," random-clueweb09-en0003-07-27095",false,-2 - -2," clueweb22-en0041-58-06955",true,-1.0888671875 - 11.651671," clueweb22-en0013-04-01374",true,0.328857421875 - 11.664," nr-clueweb22-en0008-81-14705",false,-1 - -1," nr-clueweb22-en0002-25-00979",false,-1 - -1," clueweb22-en0029-19-01948",true,-1.3857421875 - 11.866958," clueweb22-en0027-78-13170",false,-2.931640625 - 11.642253," clueweb22-en0039-53-08308",false,-3.466796875 - 11.7207," clueweb22-en0027-42-02219",true,-0.322509765625 - 11.665742,6,0
3OQQD2WO9MMNRNLT2OYCZIMGAWEI3S,3DEL4X4ELB1OK556GXX4G61YB80XYM,A1E77HZO63E334,2023-03-30T14:19:15,THURSDAY,1680200355000,1680200833000,478.0,7.966666666666667,7.801,0.0," Sean Casey"," Any"," "," clueweb22-en0046-67-04111",false,-4.78125 - 9.770082," clueweb22-en0025-98-08347",true,-4.27734375 - 10.264149," clueweb22-en0023-11-05961",true,-4.16015625 - 9.851379," clueweb22-en0030-92-16961",true,-2.548828125 - 10.302055," clueweb22-en0016-81-13934",true,-1.947265625 - 9.801939," clueweb22-en0006-79-02080",false,-6.65625 - 9.762767," clueweb22-en0041-72-16350",false,-3.79296875 - 9.825201," nr-clueweb22-en0011-26-07728",false,-1 - -1," clueweb22-en0020-22-08856",false,-5.2578125 - 9.762263," clueweb22-en0008-28-02498",true,-4.9375 - 9.991756," random-clueweb09-en0009-77-38942",false,-2 - -2," nr-clueweb22-en0036-52-18029",false,-1 - -1," clueweb22-en0010-98-04253",false,-5.078125 - 9.74949,5,0
3OQQD2WO9MMNRNLT2OYCZIMGAWEI3S,3VELCLL3GPZAUD3I4EK9WCQH0IX1F3,A3RYI5HXC2MJLN,2023-03-30T14:24:20,THURSDAY,1680200660000,1680201600000,940.0,15.666666666666666,798.765,0.0," mona lisa"," Arts"," "," clueweb22-en0013-18-04795",false,-3.98046875 - 11.08975," clueweb22-en0043-03-00016",false,-2.802734375 - 11.015453," nr-clueweb22-en0039-99-12119",false,-1 - -1," clueweb22-en0040-32-05641",true,-3.578125 - 11.134453," clueweb22-en0007-48-02191",false,-3.681640625 - 11.000963," nr-clueweb22-en0040-32-05641",false,-1 - -1," clueweb22-en0040-54-06198",false,-4.76171875 - 11.030653," clueweb22-en0038-89-15461",false,-3.6640625 - 11.005116," random-clueweb09-en0008-31-37861",false,-2 - -2," clueweb22-en0046-84-00003",true,-3.732421875 - 11.00214," clueweb22-en0020-89-08153",true,-3.681640625 - 11.06218," clueweb22-en0027-89-06919",false,-2.916015625 - 11.027306," clueweb22-en0000-23-14018",false,-3.57421875 - 11.0535965,3,0
3OQQD2WO9MMNRNLT2OYCZIMGAWEI3S,3NPFYT4IZHKOYEK6MRBY96UU6CAXGO,A2WQOPD3IYLITQ,2023-03-30T14:38:48,THURSDAY,1680201528000,1680202520000,992.0,16.533333333333335,66.949,0.0," biggest waterfall"," Nature"," "," clueweb22-en0005-63-08883",false,-4.0546875 - 8.25989," clueweb22-en0016-22-04489",false,-1.3798828125 - 8.277698," clueweb22-en0030-47-04608",false,-4.57421875 - 8.467107," clueweb22-en0010-87-14867",false,-2.51953125 - 8.31081," clueweb22-en0028-75-07813",true,-2.345703125 - 8.750544," clueweb22-en0045-83-10753",true,-2.365234375 - 8.643097," nr-clueweb22-en0007-29-05381",false,-1 - -1," clueweb22-en0028-12-01739",false,-4.5 - 8.131201," clueweb22-en0008-74-17495",false,-5.1796875 - 8.170258," random-clueweb09-en0004-13-04016",false,-2 - -2," nr-clueweb22-en0002-78-14965",false,-1 - -1," clueweb22-en0016-23-06913",false,-2.77734375 - 8.490936," clueweb22-en0008-40-17677",false,-3.474609375 - 8.490326,2,0
