HITid,AssignmentId,WorkerId,Time of Day,Day of Week,Start Time,End Time,Time,Minutes,Input Time (s),Query Time (s),Query,Category,doc1id,doc1selected,doc2id,doc2selected,doc3id,doc3selected,doc4id,doc4selected,doc5id,doc5selected,doc6id,doc6selected,doc7id,doc7selected,doc8id,doc8selected,doc9id,doc9selected,doc10id,doc10selected,doc11id,doc11selected,doc12id,doc12selected,doc13id,doc13selected,Num Relevant Selected,Num NR Selected
3BDORL6HLOTOXMKVL43M6DR0Q9KCRR,3EWIJTFFVTNIHAI4DKW30PM43G20E3,A2NAKIXS3DVGAA,2021-12-16T13:33:11,THURSDAY,1639679591000,1639679853000,262.0,4.366666666666666,10.246,0.0," What languages is the word spirituality found in?"," Spirituality"," random-clueweb09-en0008-13-05976",false," clueweb09-en0011-09-01959",false," nr-clueweb09-en0001-84-30735",false," nr-clueweb09-en0005-86-11007",false," clueweb09-en0000-72-09440",false," clueweb09-en0005-01-43149",false," clueweb09-en0009-96-21998",false," clueweb09-en0005-01-43150",false," clueweb09-en0011-08-08680",false," clueweb09-en0006-93-23383",false," clueweb09-en0005-99-04827",false," clueweb09-en0006-52-21657",false," clueweb09-en0010-81-00525",false,0,0
3LN50BUKQZRWODYMLPSW41H8J0APLS,3IQ1VMJRYY0XNRP5XBDAXHX6L5YA9U,A2NAKIXS3DVGAA,2021-12-16T13:33:10,THURSDAY,1639679590000,1639679821000,231.0,3.85,40.142,0.0," What languages is the word sports found in?"," Sports"," clueweb09-en0001-61-09305",false," clueweb09-en0010-51-30136",false," nr-clueweb09-en0001-84-30735",false," clueweb09-en0006-81-01282",false," clueweb09-en0000-97-09521",false," nr-clueweb09-en0005-86-11007",false," clueweb09-en0010-66-19491",false," clueweb09-enwp02-07-04197",false," clueweb09-en0000-33-02821",false," clueweb09-en0000-37-12842",false," clueweb09-en0008-24-00617",false," random-clueweb09-en0008-25-06683",false," clueweb09-en0007-91-09628",false,0,0
3Y3N5A7N5KPA3988COPUH5P9NA3MYL,3TEM0PF1QADDP444HPLJU74J341D0N,A2NAKIXS3DVGAA,2021-12-16T13:33:16,THURSDAY,1639679596000,1639679932000,336.0,5.6,9.724,0.0," What languages is the word education found in?"," Education"," clueweb09-en0000-97-09521",false," clueweb09-en0000-42-35124",false," nr-clueweb09-en0005-86-11007",false," clueweb09-enwp00-45-14179",false," clueweb09-en0005-86-23711",false," nr-clueweb09-en0001-84-30735",false," clueweb09-en0010-66-19428",false," clueweb09-en0008-79-33588",false," clueweb09-enwp01-93-18810",false," clueweb09-en0000-40-00432",false," clueweb09-en0010-97-28095",false," random-clueweb09-en0003-07-27095",false," clueweb09-en0010-66-19462",false,0,0
3GONHBMNIZEA8ZID8ARDVCYBT47MZC,3PZDLQMM0Y1AGM14WGUMTPFGF292CW,A2NAKIXS3DVGAA,2021-12-16T13:33:14,THURSDAY,1639679594000,1639679906000,312.0,5.2,12.502,0.0," What languages is the word arts found in?"," Arts"," clueweb09-en0001-61-08685",false," clueweb09-en0009-38-25698",false," nr-clueweb09-en0001-84-30735",false," clueweb09-en0007-99-09571",false," nr-clueweb09-en0005-86-11007",false," clueweb09-en0009-47-19010",false," clueweb09-en0000-42-35137",false," clueweb09-en0005-06-27645",false," clueweb09-en0007-93-39260",false," random-clueweb09-en0007-29-30662",false," clueweb09-en0007-99-09572",false," clueweb09-en0000-42-35149",false," clueweb09-en0007-93-40322",false,0,0
366FYU4PUK5H7GRERB0KVP5PGT3KEZ,3K2755HG5XJ4M8JUK744XERN96QFDT,A2QTL039A5VV3I,2021-12-16T13:33:08,THURSDAY,1639679588000,1639679752000,164.0,2.7333333333333334,10.323,0.0," Who has the most stolen bases in MLB?"," Sports"," clueweb09-enwp02-27-08261",false," clueweb09-enwp01-02-14496",false," clueweb09-en0002-62-25802",false," random-clueweb09-en0004-13-04016",false," clueweb09-en0000-12-17206",false," nr-clueweb09-en0004-20-04747",false," clueweb09-en0006-68-16633",false," clueweb09-en0004-77-00639",false," clueweb09-en0005-23-18534",false," clueweb09-en0010-23-11296",false," clueweb09-en0004-20-04747",false," nr-clueweb09-en0003-86-25415",false," clueweb09-en0004-38-31978",false,0,0
3KL228NDNZ2FRUN5X6Q8VSQ1T9IKGG,3EKVH9QME3KKLE7IWCPXDVXY02LD27,A2NAKIXS3DVGAA,2021-12-16T13:33:17,THURSDAY,1639679597000,1639679957000,360.0,6.0,7.417,0.0," What languages is the word science found in?"," Science"," clueweb09-enwp01-97-07401",false," clueweb09-en0004-54-20444",false," clueweb09-en0010-72-25196",false," nr-clueweb09-en0005-86-11007",false," clueweb09-en0011-94-00925",false," clueweb09-en0000-97-09521",false," random-clueweb09-en0007-00-09110",false," clueweb09-en0004-25-19694",false," clueweb09-en0001-10-22399",false," clueweb09-en0011-94-02037",false," clueweb09-en0004-54-20399",false," clueweb09-en0010-09-32460",false," nr-clueweb09-en0001-84-30735",false,0,0
3G57RS03ILLMUHUVR41DRZDIM0I52X,392CY0QWG67BW32RS49WX7A9CLP4IW,A2NAKIXS3DVGAA,2021-12-16T13:33:13,THURSDAY,1639679593000,1639679878000,285.0,4.75,7.343,0.0," What languages is the word health found in?"," Health &amp; Wellness"," clueweb09-en0009-03-06357",false," clueweb09-en0007-84-19158",false," nr-clueweb09-en0001-84-30735",false," clueweb09-en0000-20-24551",false," clueweb09-enwp00-64-10675",false," clueweb09-en0000-42-35173",false," clueweb09-enwp00-96-12241",false," clueweb09-en0000-42-35149",false," nr-clueweb09-en0005-86-11007",false," clueweb09-en0002-10-31623",false," clueweb09-en0007-99-09572",false," clueweb09-en0007-53-03058",false," random-clueweb09-enwp00-42-07293",false,0,0
35A1YQPVGIWQ528XG7M5EFKZBWFI5L,3PEIJLRY6Y9KV0A61WFGV9GFKRRXWA,A2NAKIXS3DVGAA,2021-12-16T13:33:20,THURSDAY,1639679600000,1639680021000,421.0,7.016666666666667,8.293,0.0," What languages is the word hobbies found in?"," Crafts &amp; Hobbies"," clueweb09-en0008-10-26056",false," clueweb09-en0006-15-08065",false," clueweb09-en0003-98-09966",false," clueweb09-en0005-79-27701",false," clueweb09-en0008-71-01725",false," clueweb09-en0009-64-17915",false," nr-clueweb09-en0001-84-30735",false," clueweb09-en0000-66-21162",false," random-clueweb09-en0006-35-27399",false," clueweb09-en0003-98-09968",false," clueweb09-en0008-71-01719",false," clueweb09-en0002-10-17750",false," nr-clueweb09-en0005-86-11007",false,0,0
3VGET1QS04FNT16LTH5HDQ73HD87WW,35K3O9HUAGT9EEXUG2FO3W989IRFEM,A2QTL039A5VV3I,2021-12-16T13:33:09,THURSDAY,1639679589000,1639679668000,79.0,1.3166666666666667,56.315,0.0," College"," Education"," nr-clueweb09-en0008-43-13908",false," clueweb09-en0002-40-12472",false," clueweb09-en0006-29-20841",false," clueweb09-en0011-32-26074",false," clueweb09-en0001-89-23945",false," clueweb09-en0006-12-00531",false," clueweb09-en0007-36-01257",true," nr-clueweb09-en0004-24-31505",false," clueweb09-en0001-89-23574",false," random-clueweb09-en0005-94-21396",false," clueweb09-en0008-14-25744",false," clueweb09-en0000-75-13918",false," clueweb09-en0009-57-03200",false,1,0
30UZJB2PPLSBFZQEV4FIA9IASEI538,3QEMNNSB22FR7F4O2O6S9ME6BI7D7N,A2NAKIXS3DVGAA,2021-12-16T13:33:19,THURSDAY,1639679599000,1639679992000,393.0,6.55,7.635,0.0," What languages is the word parenting found in?"," Parenting"," clueweb09-en0006-52-22351",false," clueweb09-en0003-25-13162",false," clueweb09-en0003-25-17063",false," clueweb09-en0005-86-22961",false," clueweb09-en0002-35-18585",false," random-clueweb09-en0000-21-15033",false," nr-clueweb09-en0001-84-30735",false," clueweb09-en0007-32-04197",false," clueweb09-en0006-92-25917",false," clueweb09-en0000-42-35149",false," clueweb09-en0000-42-35137",false," clueweb09-en0010-30-01250",false," nr-clueweb09-en0005-86-11007",false,0,0
