HITid,AssignmentId,WorkerId,Time,Query,Description,Category,doc1id,doc1selected,doc2id,doc2selected,doc3id,doc3selected,doc4id,doc4selected,doc5id,doc5selected,doc6id,doc6selected,doc7id,doc7selected,doc8id,doc8selected,doc9id,doc9selected,doc10id,doc10selected
3ZUE82NE1EHPITP9DXNNN2HYNSQF8H,3EQHHY4HQX8FWV0WGLS3HN36MJP5GO,A3VCNYK99RLXM9,72000," government crisis"," italy, parties, strategies"," Politics"," clueweb09-en0008-25-04738",false," clueweb09-en0003-87-00477",false," clueweb09-en0010-91-37324",false," clueweb09-en0003-99-08922",false," clueweb09-en0009-90-33642",false," clueweb09-en0003-99-08923",false," clueweb09-en0003-44-02963",false," clueweb09-en0008-43-35968",false," clueweb09-en0005-09-22399",false," clueweb09-en0011-11-29508",true
375VSR8FW0P15FV5DINUHBSLPP8RZT,3DYGAII7PQOA2UCT3W6T97CPJ6VPQL,A35O5Z3ER74FBC,106000," Crafts for elementary aged kids"," I am looking for crafts that I can do with my children who are in 1st and 3rd grade."," Crafts &amp; Hobbies"," clueweb09-en0001-41-14520",false," clueweb09-en0001-41-14417",true," clueweb09-en0010-59-06751",false," clueweb09-en0007-04-39906",false," clueweb09-en0008-84-04269",false," clueweb09-en0005-14-30430",false," clueweb09-en0002-79-26484",true," clueweb09-en0001-17-01872",true," clueweb09-en0004-07-36487",true," clueweb09-en0000-83-29504",true
3IH9TRB0GFFRHK7EFKKTBP7IPECI1R,3K9FOBBF2MZZ8CK3VCL5OW809LANL1,A3VCNYK99RLXM9,60000," US university"," courses, cities, geology"," Education"," clueweb09-en0009-50-24455",false," clueweb09-en0005-34-30920",true," clueweb09-en0002-05-29548",true," clueweb09-en0002-05-29549",true," clueweb09-en0001-68-08417",false," clueweb09-en0009-17-03511",false," clueweb09-en0009-01-02757",false," clueweb09-en0000-94-05369",false," clueweb09-en0004-81-11056",false," clueweb09-en0006-81-01176",false
3NOEP8XAV8IRO7FBZ8VKFVCVG7MPX2,33M4IA01QLHFN4TK225A8A8XHR9XRL,A18ZB5H0DQOOIB,149000," How many parks are in my zip code"," How many parks are near my home, their size and hours of operation."," Recreation"," clueweb09-en0009-27-15540",false," clueweb09-en0009-27-15573",false," clueweb09-en0002-22-10529",false," clueweb09-en0011-63-33738",false," clueweb09-en0005-53-07548",false," clueweb09-en0005-45-19324",false," clueweb09-en0000-05-09886",true," clueweb09-en0002-84-04091",true," clueweb09-en0002-14-26028",false," clueweb09-en0005-45-19235",false
356TQKY9YJDC30A3VEPBZA4HP47876,3U8YCDAGXUW7ED89MBR3U6BHBYMQ0I,A3VCNYK99RLXM9,79000," Amstaff"," puppies, costs, where to buy them"," Pets"," clueweb09-en0006-65-18733",false," clueweb09-en0006-91-28580",false," clueweb09-en0010-11-25079",true," clueweb09-en0003-20-14038",false," clueweb09-en0005-22-14145",false," clueweb09-en0000-26-07509",false," clueweb09-en0006-60-32218",false," clueweb09-en0000-26-07523",false," clueweb09-enwp00-02-16522",false," clueweb09-en0009-76-07774",false
3L1EFR8WXXLPWY8JIPT1NYC97Y8F96,3BC8WZX3V8CVQ878T3ZIJSM9GAORRJ,A3VCNYK99RLXM9,85000," iPhone 11"," costs, battery, guarantee"," Technology"," clueweb09-en0001-00-31887",false," clueweb09-en0001-61-26037",false," clueweb09-en0009-69-29089",false," clueweb09-en0003-17-32254",false," clueweb09-en0003-17-32110",false," clueweb09-en0000-62-18887",false," clueweb09-en0006-07-16808",false," clueweb09-en0004-27-30800",true," clueweb09-en0001-81-29636",true," clueweb09-en0006-40-19936",false
3CKVGCS3QKLG49PSODA71MUVTK8S0Q,3IXEICO797ZFK4MG541F8CWV887T60,A3VCNYK99RLXM9,40000," apple pie"," ingredients, process"," Food &amp; Drink"," clueweb09-en0011-36-17942",false," clueweb09-en0004-26-09094",true," clueweb09-en0009-42-35570",false," clueweb09-en0003-26-21306",false," clueweb09-en0002-88-38531",false," clueweb09-enwp01-43-00296",false," clueweb09-en0000-54-09810",false," clueweb09-en0006-80-06334",true," clueweb09-enwp03-24-17847",false," clueweb09-en0010-35-15307",true
3E9VAUV7C0U918ZJFLZP8EU9JRGAYD,386PBUZZXKD3PMTIGETDVPRJ016LJW,A3VCNYK99RLXM9,65000," wood craft"," ideas, projects, stores"," Crafts &amp; Hobbies"," clueweb09-en0002-95-02754",false," clueweb09-en0005-77-30929",true," clueweb09-en0009-75-25361",true," clueweb09-en0009-75-25202",true," clueweb09-en0005-45-18376",false," clueweb09-en0006-62-02609",false," clueweb09-en0001-73-08443",false," clueweb09-en0005-48-26754",false," clueweb09-en0005-48-26768",false," clueweb09-en0001-24-31950",true
341YLJU22MFY65PAYOK7G8HNHKQI28,3QY5DC2MXW0Q3AUG62UT7EVAKLHUFV,A3VCNYK99RLXM9,99000," Iceland"," Costs, economic hostels and tour guides"," Travel"," clueweb09-en0004-75-07598",false," clueweb09-en0002-35-10374",false," clueweb09-en0011-99-19606",true," clueweb09-en0009-14-22266",false," clueweb09-en0007-37-23795",false," clueweb09-en0007-37-23858",false," clueweb09-en0011-39-10750",true," clueweb09-en0011-99-19642",false," clueweb09-en0011-03-25129",true," clueweb09-en0011-52-20411",true
335HHSX8DHLLDKC6PVM3CF7CEY0DHJ,3SEPORI8WSFCTI7I1979A5ZYPNMAZQ,AQTKOH2BJ634C,67000," mexico"," information involving mexico's food and its locations"," Travel"," clueweb09-en0007-46-09676",false," clueweb09-en0007-46-09687",false," clueweb09-en0001-76-13192",false," clueweb09-en0009-36-22451",false," clueweb09-en0009-36-22452",false," clueweb09-en0009-52-07489",false," clueweb09-en0005-82-09852",false," clueweb09-en0003-36-21342",true," clueweb09-en0002-95-19727",false," clueweb09-en0010-05-06848",true
