HITid,AssignmentId,WorkerId,Time of Day,Day of Week,Start Time,End Time,Time,Minutes,Input Time (s),Query Time (s),Query,Description,Category,doc1id,doc1selected,doc2id,doc2selected,doc3id,doc3selected,doc4id,doc4selected,doc5id,doc5selected,doc6id,doc6selected,doc7id,doc7selected,doc8id,doc8selected,doc9id,doc9selected,doc10id,doc10selected,doc11id,doc11selected,doc12id,doc12selected,doc13id,doc13selected,Num Relevant Selected,Num NR Selected
3CMV9YRYQ7H022VOQCNC75VW4MULJE,3C6FJU71TV9W31BBBSMHWZ2RDSSUYU,A195MOXRMNHRVT,2021-07-15T16:17:14,THURSDAY,1.62638E+12,1.62638E+12,157,2.616666667,24.301,0, learn basketweaving, , Crafts &amp; Hobbies, clueweb09-en0005-66-14929,FALSE, nr-clueweb09-en0001-23-30019,FALSE, clueweb09-en0000-71-13987,TRUE, clueweb09-en0005-66-14821,TRUE, clueweb09-en0004-31-34153,FALSE, clueweb09-en0000-71-13976,FALSE, clueweb09-en0010-94-29864,FALSE, clueweb09-en0002-50-32796,FALSE, random-clueweb09-en0000-87-03924,FALSE, clueweb09-en0000-64-14878,FALSE, clueweb09-en0003-45-00754,FALSE, clueweb09-en0003-45-00755,FALSE, nr-clueweb09-en0000-09-22032,FALSE,2,0
3QREJ3J447DVDM168XNO8KV9JBULKD,3AUQQEL7UA9ZJL4Q8ALD0TAQFMMV0J,A195MOXRMNHRVT,2021-07-15T16:17:22,THURSDAY,1.62638E+12,1.62638E+12,197,3.283333333,18.413,0, gallery openings virginia, , Arts, clueweb09-en0008-11-13329,FALSE, clueweb09-en0008-58-29793,FALSE, clueweb09-en0011-63-16548,FALSE, clueweb09-en0003-84-15382,FALSE, clueweb09-en0005-24-21769,FALSE, clueweb09-en0005-78-14839,TRUE, clueweb09-en0009-31-21028,FALSE, nr-clueweb09-en0004-23-21129,FALSE, random-clueweb09-en0009-06-35915,FALSE, clueweb09-en0006-85-09343,FALSE, clueweb09-en0006-16-07444,FALSE, clueweb09-en0000-13-31831,FALSE, nr-clueweb09-en0011-09-27599,FALSE,1,0
3D17ECOUPIBCRHPVUHD67J5TAJ431F,39GAF6DQWWGZQAP84TPDEYT0KET1VT,A195MOXRMNHRVT,2021-07-15T16:17:24,THURSDAY,1.62638E+12,1.62638E+12,282,4.7,29.646,0, best current movie, , Entertainment, clueweb09-en0009-15-26609,FALSE, clueweb09-en0001-81-33207,FALSE, clueweb09-en0004-51-21845,FALSE, random-clueweb09-en0009-77-38942,FALSE, clueweb09-en0006-18-27960,FALSE, clueweb09-en0007-68-16441,FALSE, clueweb09-en0009-29-10471,FALSE, clueweb09-en0001-94-22378,TRUE, clueweb09-en0001-28-02468,FALSE, nr-clueweb09-en0000-43-17785,FALSE, clueweb09-enwp03-03-06055,FALSE, clueweb09-en0009-15-26647,FALSE, nr-clueweb09-en0002-98-26228,FALSE,1,0
3Y7LTZE0ZX2TL7NMHCIZMMF50B0UZ2,3Z9WI9EOZ44WEAGA7EER4CYQL5HKHO,A195MOXRMNHRVT,2021-07-15T16:17:26,THURSDAY,1.62638E+12,1.62638E+12,331,5.516666667,16.428,0, meditation beginning, , Spirituality, clueweb09-en0007-82-17372,TRUE, random-clueweb09-en0002-63-12795,FALSE, nr-clueweb09-en0011-02-05096,TRUE, clueweb09-en0001-24-19689,FALSE, clueweb09-en0009-67-37017,FALSE, clueweb09-en0003-54-03866,FALSE, clueweb09-en0008-43-23109,FALSE, clueweb09-en0011-53-35442,FALSE, clueweb09-en0009-67-36975,TRUE, clueweb09-en0008-00-39232,FALSE, clueweb09-en0005-00-23959,FALSE, clueweb09-en0011-53-35480,TRUE, nr-clueweb09-en0004-74-10641,FALSE,3,1
3GMLHYZ0MIDTGHDHLQGG8F63UHWUYB,3R9WASFE24W7P9OQCPT1O6AQ9ZHZFR,A195MOXRMNHRVT,2021-07-15T16:17:28,THURSDAY,1.62638E+12,1.62638E+12,411,6.85,28.762,0, petting zoos, , Recreation, clueweb09-enwp00-55-07826,TRUE, nr-clueweb09-enwp00-58-23239,FALSE, clueweb09-enwp00-80-17186,FALSE, clueweb09-en0009-67-08723,FALSE, clueweb09-en0006-07-35812,FALSE, clueweb09-en0001-37-06977,FALSE, random-clueweb09-en0005-94-21396,FALSE, clueweb09-en0003-35-01442,FALSE, clueweb09-en0000-07-14097,FALSE, clueweb09-en0006-93-14781,FALSE, clueweb09-en0004-46-01241,TRUE, clueweb09-en0009-11-04241,TRUE, nr-clueweb09-enwp00-87-11916,FALSE,3,0
3XUSYT70JXHA2K6ARNFI6N8VW4N0D7,3TMSXRD2XBGC5ZPDU3U900CERNV1W3,A195MOXRMNHRVT,2021-07-15T16:17:32,THURSDAY,1.62638E+12,1.62638E+12,508,8.466666667,32.636,0, flaxseed oil, , Health &amp; Wellness, clueweb09-en0008-66-24166,FALSE, clueweb09-en0010-70-27793,TRUE, clueweb09-en0011-54-20125,FALSE, clueweb09-en0005-21-24747,FALSE, clueweb09-en0001-75-26194,FALSE, clueweb09-en0006-52-14617,FALSE, random-clueweb09-en0008-31-37861,FALSE, clueweb09-en0007-03-14722,FALSE, clueweb09-en0005-21-24633,TRUE, nr-clueweb09-en0001-89-18510,FALSE, clueweb09-en0003-04-24355,FALSE, clueweb09-en0011-24-16510,FALSE, nr-clueweb09-enwp00-75-17211,TRUE,2,1
39KV3A5D2CNUMKPC9CVGG14I5L2S7S,3ZOTGHDK5NR4UAF5G0IJF7M1EL8SO1,A195MOXRMNHRVT,2021-07-15T16:17:36,THURSDAY,1.62638E+12,1.62638E+12,553,9.216666667,12.556,0, sea level rise, , Science, random-clueweb09-enwp03-08-12100,FALSE, clueweb09-en0000-55-30927,TRUE, clueweb09-enwp03-03-08193,TRUE, clueweb09-enwp02-08-01511,FALSE, clueweb09-en0000-82-06244,FALSE, clueweb09-en0004-83-05246,FALSE, nr-clueweb09-en0006-69-41247,FALSE, clueweb09-en0006-69-41268,TRUE, clueweb09-en0010-81-35748,FALSE, clueweb09-en0006-69-41278,FALSE, clueweb09-en0001-17-36032,FALSE, clueweb09-en0001-17-36023,FALSE, nr-clueweb09-en0006-69-41246,FALSE,3,0
3YGYP13655P7OQHMAUC0MOLCJYONRA,336KAV9KYV8NJP29S8CBQG7ZU18Y2F,A195MOXRMNHRVT,2021-07-15T16:17:38,THURSDAY,1.62638E+12,1.62638E+12,600,10,17.984,0, rock garden, , Crafts &amp; Hobbies, clueweb09-en0002-13-15167,FALSE, clueweb09-en0002-98-31389,FALSE, clueweb09-en0002-91-07863,FALSE, nr-clueweb09-en0004-46-18807,FALSE, random-clueweb09-en0002-82-08074,FALSE, clueweb09-en0003-74-00320,FALSE, clueweb09-en0003-57-10913,FALSE, clueweb09-en0006-82-15704,TRUE, clueweb09-en0010-50-12219,FALSE, clueweb09-en0005-49-08334,TRUE, clueweb09-en0005-49-08164,TRUE, clueweb09-en0005-85-14974,FALSE, nr-clueweb09-enwp00-21-01496,FALSE,3,0
3T2EL38U1Q0COJGQZLA9F025PQWXQ3,3MYYFCXHJ8NX0CWW2G9TCVXT9JF4GK,A195MOXRMNHRVT,2021-07-15T16:17:38,THURSDAY,1.62638E+12,1.62638E+12,659,10.98333333,28.049,0, comics subscription, , Shopping, clueweb09-en0002-02-07896,FALSE, clueweb09-en0009-43-06847,TRUE, random-clueweb09-en0006-26-18498,FALSE, clueweb09-en0002-02-07891,TRUE, clueweb09-en0005-00-33963,FALSE, clueweb09-en0011-92-35419,FALSE, clueweb09-en0006-96-14137,FALSE, clueweb09-en0005-00-33958,FALSE, clueweb09-en0010-38-01916,FALSE, nr-clueweb09-en0009-09-06000,TRUE, clueweb09-en0011-05-03137,FALSE, clueweb09-en0009-18-09465,FALSE, nr-clueweb09-en0004-42-06175,FALSE,2,1
34D9ZRXCZVAC5MNAGF70QS686T8SAJ,352YTHGRO0TB08R7MMRBXV9UOJS4HJ,A195MOXRMNHRVT,2021-07-15T16:17:39,THURSDAY,1.62638E+12,1.62638E+12,718,11.96666667,24.622,0, nail polish colors current, , Style, clueweb09-enwp01-47-07403,FALSE, clueweb09-en0003-58-09862,TRUE, clueweb09-en0003-27-21287,TRUE, clueweb09-en0000-09-21143,FALSE, random-clueweb09-en0011-47-15958,FALSE, clueweb09-en0000-75-13567,FALSE, nr-clueweb09-en0011-44-27569,FALSE, clueweb09-en0003-27-21286,FALSE, clueweb09-en0008-15-08388,TRUE, clueweb09-en0000-71-23587,FALSE, clueweb09-enwp01-59-08073,FALSE, clueweb09-en0006-96-32794,FALSE, nr-clueweb09-en0000-35-11484,FALSE,3,0
