HITid,AssignmentId,WorkerId,Start Time,End Time,Time,Minutes,Input Time (s),Query Time (s),Query,Description,Category,doc1id,doc1selected,doc2id,doc2selected,doc3id,doc3selected,doc4id,doc4selected,doc5id,doc5selected,doc6id,doc6selected,doc7id,doc7selected,doc8id,doc8selected,doc9id,doc9selected,doc10id,doc10selected,doc11id,doc11selected,doc12id,doc12selected,doc13id,doc13selected,Num Relevant Selected,Num NR Selected
3T8DUCXY1RMZF3QKD9YQ42RA2ZBT9B,3NXNZ5RS1FDF4PR7Q81QNQVGWVA97S,A38IPIPA3T3G4,1.62687E+12,1.62687E+12,362,6.033333333,290.652,0, Angelina Julie husband, , Entertainment, clueweb09-en0007-50-18335,FALSE, random-clueweb09-en0005-85-21121,FALSE, nr-clueweb09-en0010-80-04297,TRUE, clueweb09-en0000-43-11946,FALSE, clueweb09-en0005-13-19046,FALSE, clueweb09-en0000-43-13514,FALSE, clueweb09-en0005-13-19042,FALSE, clueweb09-en0002-16-15035,FALSE, clueweb09-en0002-16-15038,FALSE, clueweb09-en0000-04-08254,FALSE, clueweb09-en0006-14-08160,FALSE, clueweb09-en0007-05-08777,FALSE, nr-clueweb09-en0000-86-12004,TRUE,0,2
3T8DUCXY1RMZF3QKD9YQ42RA2ZBT9B,35USIKEBNWWHPRHW88F3ZDQ4699N68,AOTSBJGYMR4N8,1.62688E+12,1.62688E+12,70,1.166666667,26.023,0, poisonous food for dogs, , Pets, clueweb09-en0002-26-08601,TRUE, clueweb09-en0008-35-45259,TRUE, clueweb09-en0002-28-35123,FALSE, random-clueweb09-en0002-86-03239,FALSE, clueweb09-en0002-26-08587,TRUE, clueweb09-en0006-99-22192,FALSE, clueweb09-en0000-26-07956,FALSE, clueweb09-en0010-52-27007,TRUE, clueweb09-en0002-33-27740,FALSE, clueweb09-en0002-46-30367,FALSE, nr-clueweb09-en0011-18-16363,FALSE, clueweb09-en0001-00-20048,FALSE, nr-clueweb09-en0005-24-10770,FALSE,4,0
3T8DUCXY1RMZF3QKD9YQ42RA2ZBT9B,3EA3QWIZ4NBVDOHH75A45FM14ITTIC,A2WPHVMLLEV5ZB,1.62688E+12,1.62688E+12,117,1.95,74.262,0, turmeric, , Health &amp; Wellness, clueweb09-enwp00-40-17588,TRUE, random-clueweb09-en0006-75-34429,FALSE, nr-clueweb09-en0007-70-22320,TRUE, clueweb09-en0007-26-23202,TRUE, clueweb09-en0006-74-13470,TRUE, clueweb09-en0001-61-23601,FALSE, clueweb09-en0002-10-07039,TRUE, clueweb09-enwp00-44-18325,TRUE, clueweb09-en0007-02-10914,TRUE, clueweb09-en0009-79-39101,TRUE, clueweb09-en0009-61-31770,TRUE, clueweb09-en0001-67-22061,TRUE, nr-clueweb09-en0006-17-21885,FALSE,9,1
3T8DUCXY1RMZF3QKD9YQ42RA2ZBT9B,3NLZY2D53U5KB9XVB4DMSQ361FSQLD,A2ZRL1ZWWXJ0L7,1.62688E+12,1.62688E+12,530,8.833333333,479.031,0, NBA playoffs, , Sports, clueweb09-en0001-89-23569,TRUE, clueweb09-en0001-22-28473,FALSE, clueweb09-en0006-37-13486,TRUE, clueweb09-en0008-13-06951,FALSE, clueweb09-enwp00-00-02619,FALSE, clueweb09-en0008-00-27509,TRUE, nr-clueweb09-en0011-60-16280,TRUE, clueweb09-en0007-67-02433,FALSE, clueweb09-en0003-93-03284,TRUE, clueweb09-en0011-69-08914,TRUE, clueweb09-en0009-04-10223,TRUE, random-clueweb09-en0003-33-30335,FALSE, nr-clueweb09-en0008-55-07770,FALSE,6,1
3T8DUCXY1RMZF3QKD9YQ42RA2ZBT9B,32UTUBMZ7LC038706QI2KA696D1VBX,A1GTE149CRA7J6,1.62688E+12,1.62688E+12,64,1.066666667,15.628,0, American breakfast, , Food &amp; Drink, clueweb09-enwp00-20-04014,FALSE, clueweb09-enwp00-62-21424,FALSE, clueweb09-en0000-08-06785,TRUE, random-clueweb09-en0006-75-34429,FALSE, nr-clueweb09-en0008-11-24182,TRUE, clueweb09-en0010-28-06682,FALSE, clueweb09-en0004-99-04321,FALSE, clueweb09-en0009-93-36581,FALSE, clueweb09-en0000-08-06972,FALSE, clueweb09-en0006-37-20850,TRUE, clueweb09-en0007-59-08816,FALSE, clueweb09-en0006-66-35759,TRUE, nr-clueweb09-en0008-11-24131,FALSE,3,1
3GV1I4SEPD5OE7GH6TTNY1QRILHL6P,31LM9EDVOQ8TDMW3SR9S8HV9SFTJNA,AOTSBJGYMR4N8,1.62687E+12,1.62687E+12,57,0.95,14.725,0, top performing mutual funds, , Economy &amp; Finance, clueweb09-en0004-12-24859,FALSE, clueweb09-en0002-31-25601,TRUE, clueweb09-en0005-94-20459,TRUE, clueweb09-en0000-42-23450,FALSE, clueweb09-en0000-59-12626,FALSE, clueweb09-en0004-59-03630,FALSE, random-clueweb09-enwp03-08-12100,FALSE, nr-clueweb09-en0009-29-40087,FALSE, clueweb09-en0009-29-40051,FALSE, clueweb09-en0002-90-14468,FALSE, clueweb09-en0006-54-11975,FALSE, clueweb09-en0002-17-04742,TRUE, nr-clueweb09-en0007-35-19355,FALSE,3,0
3GV1I4SEPD5OE7GH6TTNY1QRILHL6P,3GDTJDAPVZRYBNFKPMX16CXV7EQM8U,A38IPIPA3T3G4,1.62688E+12,1.62688E+12,130,2.166666667,82.819,0, Rottweiler, , Pets, clueweb09-en0010-91-27835,TRUE, clueweb09-en0009-29-08080,TRUE, clueweb09-en0008-16-38631,TRUE, clueweb09-en0006-52-17652,FALSE, clueweb09-enwp01-69-20242,TRUE, clueweb09-en0011-58-20136,TRUE, clueweb09-en0008-51-27512,FALSE, clueweb09-en0006-00-03297,FALSE, clueweb09-en0009-19-17554,TRUE, nr-clueweb09-en0003-41-04611,FALSE, clueweb09-enwp03-03-01727,FALSE, random-clueweb09-en0000-87-03924,FALSE, nr-clueweb09-en0000-14-07368,FALSE,6,0
3GV1I4SEPD5OE7GH6TTNY1QRILHL6P,386PBUZZXKD3PMTIGETDVPRKNKVJLA,A2WPHVMLLEV5ZB,1.62688E+12,1.62688E+12,47,0.783333333,8.114,0, obama, , Politics, clueweb09-en0008-87-25821,TRUE, clueweb09-en0008-25-06651,FALSE, clueweb09-en0001-23-01612,TRUE, clueweb09-en0006-69-37841,TRUE, clueweb09-en0007-97-06305,TRUE, clueweb09-en0010-23-07051,TRUE, clueweb09-en0002-92-24053,TRUE, nr-clueweb09-en0008-25-06666,TRUE, clueweb09-en0008-25-06694,TRUE, clueweb09-en0006-89-04405,TRUE, random-clueweb09-en0002-86-03239,FALSE, clueweb09-en0009-67-16392,TRUE, nr-clueweb09-en0003-64-15474,FALSE,9,1
3GV1I4SEPD5OE7GH6TTNY1QRILHL6P,379J5II41TWVE67Q2DIMY9ESIC6ELR,A2ZRL1ZWWXJ0L7,1.62688E+12,1.62688E+12,62,1.033333333,19.478,0, movie showtimes, , Entertainment, clueweb09-en0011-38-11173,FALSE, clueweb09-en0003-73-06011,TRUE, clueweb09-en0002-67-00768,TRUE, clueweb09-en0011-75-15849,TRUE, clueweb09-en0007-90-16406,FALSE, clueweb09-en0005-61-20337,TRUE, clueweb09-en0009-80-12454,TRUE, nr-clueweb09-en0006-08-32096,FALSE, clueweb09-en0009-80-12456,FALSE, clueweb09-en0002-37-32641,FALSE, random-clueweb09-en0005-94-21396,FALSE, clueweb09-en0011-75-15848,TRUE, nr-clueweb09-en0006-08-32074,FALSE,6,0
3GV1I4SEPD5OE7GH6TTNY1QRILHL6P,3FTYUGLFSZ1CKBQ5EVRVB20AWACD5G,A1GTE149CRA7J6,1.62688E+12,1.62688E+12,51,0.85,20.007,0, The most expensive art in the world, , Arts, clueweb09-en0002-11-13600,FALSE, random-clueweb09-en0008-13-05976,FALSE, clueweb09-en0006-75-13744,TRUE, clueweb09-en0003-76-02769,FALSE, clueweb09-en0005-79-13782,FALSE, clueweb09-en0007-55-16608,TRUE, clueweb09-en0001-47-25192,FALSE, clueweb09-en0000-62-07136,FALSE, clueweb09-en0004-30-26552,FALSE, clueweb09-en0000-58-22652,FALSE, nr-clueweb09-en0003-83-19278,FALSE, clueweb09-en0000-61-20478,FALSE, nr-clueweb09-en0008-00-06052,FALSE,2,0
