HITid,AssignmentId,WorkerId,Time of Day,Day of Week,Start Time,End Time,Time,Minutes,Input Time (s),Query Time (s),Query,Description,Category,doc1id,doc1selected,doc2id,doc2selected,doc3id,doc3selected,doc4id,doc4selected,doc5id,doc5selected,doc6id,doc6selected,doc7id,doc7selected,doc8id,doc8selected,doc9id,doc9selected,doc10id,doc10selected,doc11id,doc11selected,doc12id,doc12selected,doc13id,doc13selected,Num Relevant Selected,Num NR Selected
3GVPRXWRQLA5S6MG4012CZYVYGC7IF,3CP1TO84PYHPH1SPH67EFJ96796253,A2JP9IKRHNLRPI,2021-09-09T16:13:53,THURSDAY,1.63122E+12,1.63122E+12,134,2.233333333,118.822,0, Intel CPU, , Technology, clueweb09-en0006-21-35452,TRUE, clueweb09-en0006-21-35286,TRUE, clueweb09-en0003-19-28141,FALSE, clueweb09-en0001-61-13223,TRUE, nr-clueweb09-en0006-21-35328,FALSE, clueweb09-en0001-19-12002,TRUE, clueweb09-en0008-88-17314,FALSE, clueweb09-en0004-51-08651,FALSE, random-clueweb09-en0007-09-17000,FALSE, clueweb09-en0003-40-10940,FALSE, clueweb09-en0008-49-00590,FALSE, clueweb09-en0000-76-00431,FALSE, nr-clueweb09-en0007-71-15392,FALSE,4,0
3NQUW096OAOBWQIF40WZIBHTAAU9L7,36DSNE9QZAEBV7WFT695N6VEQFXJOC,A2JP9IKRHNLRPI,2021-09-09T16:13:54,THURSDAY,1.63122E+12,1.63122E+12,112,1.866666667,86.201,0, losing weight, , Health &amp; Wellness, clueweb09-en0007-60-18998,FALSE, clueweb09-en0002-21-41126,FALSE, clueweb09-en0004-68-04290,TRUE, clueweb09-en0005-43-11421,TRUE, clueweb09-en0005-81-32246,TRUE, clueweb09-en0000-93-30338,FALSE, clueweb09-en0008-62-23145,FALSE, random-clueweb09-en0008-13-05976,FALSE, clueweb09-en0008-67-02135,FALSE, clueweb09-en0010-69-00833,TRUE, nr-clueweb09-en0006-24-17054,FALSE, clueweb09-en0007-25-00986,FALSE, nr-clueweb09-en0006-16-06662,TRUE,4,1
3CVBMEMMYFW5WBBWYIJHCNXGY3XH7W,3OF2M9AATL4I5VG4D0KY4J2VP8ZZKS,A2JP9IKRHNLRPI,2021-09-09T16:13:55,THURSDAY,1.63122E+12,1.63122E+12,875,14.58333333,731.427,0, How to make a cheeseburger, , Food &amp; Drink, clueweb09-en0002-30-08883,FALSE, clueweb09-en0010-51-32688,FALSE, clueweb09-en0001-55-00680,FALSE, clueweb09-en0005-68-17437,FALSE, clueweb09-en0002-31-26707,FALSE, nr-clueweb09-en0007-96-21495,FALSE, clueweb09-en0005-54-04054,FALSE, clueweb09-enwp00-50-07416,TRUE, clueweb09-en0010-98-02793,FALSE, random-clueweb09-en0009-77-38942,FALSE, clueweb09-en0003-52-32168,FALSE, clueweb09-en0010-44-23353,FALSE, nr-clueweb09-en0000-73-12110,FALSE,1,0
3I7KR83SOET0CK0XJ0KY3B4ELAP9K4,3G2UL9A02IUSM6P9S1YE3G4EEK3764,A2JP9IKRHNLRPI,2021-09-09T16:13:56,THURSDAY,1.63122E+12,1.63122E+12,722,12.03333333,699.188,0, TV shows on MTV, , Entertainment, clueweb09-enwp01-41-09202,FALSE, clueweb09-en0010-77-02032,TRUE, clueweb09-en0010-77-02050,FALSE, clueweb09-enwp01-24-10062,TRUE, clueweb09-en0010-39-03731,FALSE, random-clueweb09-enwp02-01-03342,FALSE, clueweb09-en0009-51-24222,TRUE, nr-clueweb09-enwp01-22-09558,FALSE, clueweb09-en0003-53-24961,FALSE, clueweb09-en0009-51-24186,FALSE, clueweb09-en0011-02-24614,FALSE, clueweb09-en0011-56-14433,FALSE, nr-clueweb09-en0010-77-02622,FALSE,3,0
3TRB893CTNQRWFGLEC1ZRNLFJ3K7GN,3IX2EGZR7GZESKOVLYQ9H10J12HJRL,A2JP9IKRHNLRPI,2021-09-09T16:13:57,THURSDAY,1.63122E+12,1.63122E+12,675,11.25,642.005,0, Best food for pet cat, , Pets, clueweb09-en0010-37-38075,TRUE, random-clueweb09-en0000-21-15033,FALSE, clueweb09-en0005-27-01126,FALSE, nr-clueweb09-en0009-71-20275,FALSE, clueweb09-en0009-12-19567,TRUE, clueweb09-en0005-19-41114,TRUE, clueweb09-en0007-62-03238,TRUE, clueweb09-en0002-84-17476,TRUE, clueweb09-en0007-47-03642,TRUE, clueweb09-en0002-32-23800,FALSE, clueweb09-en0004-84-34834,FALSE, clueweb09-en0010-46-21071,FALSE, nr-clueweb09-en0006-27-04151,TRUE,6,1
36KM3FWE4VSULB500ACW6VYZCMV07D,3A1COHJ8NOBCJ9E9YPHOE7PZYIPH82,A2JP9IKRHNLRPI,2021-09-09T16:13:58,THURSDAY,1.63122E+12,1.63122E+12,634,10.56666667,609.069,0, Style to wear at bars and clubs, , Style, nr-clueweb09-en0002-58-11888,FALSE, clueweb09-en0008-12-39551,FALSE, clueweb09-en0011-41-23125,FALSE, clueweb09-en0002-66-21459,FALSE, clueweb09-en0010-39-11456,FALSE, clueweb09-en0002-79-19286,FALSE, random-clueweb09-enwp00-42-07293,FALSE, clueweb09-en0011-41-23201,FALSE, clueweb09-en0001-95-19244,FALSE, clueweb09-en0001-95-19246,FALSE, clueweb09-en0002-66-21884,FALSE, clueweb09-en0007-20-21630,FALSE, nr-clueweb09-en0010-98-02829,FALSE,0,0
30OITAWPCUJ9AUZPDFH1QJOMTTLH98,338JKRMM2BFQ2X7OVN12AYVUO6PHA6,A2JP9IKRHNLRPI,2021-09-09T16:13:59,THURSDAY,1.63122E+12,1.63122E+12,592,9.866666667,562.918,0, Craft designs using pipe cleaners, , Crafts &amp; Hobbies, clueweb09-en0011-33-20856,FALSE, clueweb09-en0011-82-29977,TRUE, clueweb09-en0003-78-12937,TRUE, clueweb09-en0009-40-15649,TRUE, clueweb09-en0007-66-05084,TRUE, random-clueweb09-en0008-13-05976,FALSE, clueweb09-en0005-31-38273,TRUE, clueweb09-en0009-78-21831,TRUE, nr-clueweb09-en0001-35-28434,FALSE, clueweb09-en0007-47-22241,TRUE, clueweb09-en0006-43-09407,FALSE, clueweb09-en0006-43-09439,TRUE, nr-clueweb09-en0001-35-28433,FALSE,8,0
36MUZ9VAFAI9TAL4ZUEXRCAZSY8ED6,3FTF2T8WLWYUU4S8YG92F6UXXCK9WJ,A2JP9IKRHNLRPI,2021-09-09T16:14:00,THURSDAY,1.63122E+12,1.63122E+12,520,8.666666667,499.551,0, New York City travel, , Travel, clueweb09-en0006-70-22738,FALSE, clueweb09-en0008-24-24570,FALSE, clueweb09-en0009-02-11577,FALSE, clueweb09-en0005-63-15852,FALSE, clueweb09-en0006-58-08246,FALSE, random-clueweb09-en0008-25-06683,FALSE, clueweb09-en0001-89-26879,FALSE, clueweb09-en0003-69-26384,TRUE, nr-clueweb09-en0004-66-01183,TRUE, clueweb09-en0008-61-38158,FALSE, clueweb09-en0006-89-20603,FALSE, clueweb09-en0003-75-17889,FALSE, nr-clueweb09-en0001-89-27066,FALSE,1,1
3R4QIDVOKTSELGZ4VPPHXUSKSA9EEZ,3JMSRU9HQNAYABJKGHKSLICUH0YEVO,A2JP9IKRHNLRPI,2021-09-09T16:14:01,THURSDAY,1.63122E+12,1.63122E+12,492,8.2,468.328,0, AMD CPU, , Technology, clueweb09-en0011-12-41579,FALSE, clueweb09-en0009-91-27870,TRUE, clueweb09-en0009-57-15384,TRUE, clueweb09-en0002-38-10313,FALSE, clueweb09-en0011-12-41794,TRUE, random-clueweb09-en0002-86-03239,FALSE, nr-clueweb09-en0010-03-06996,FALSE, clueweb09-en0009-92-29339,TRUE, clueweb09-en0005-66-29462,FALSE, clueweb09-en0006-03-04211,FALSE, clueweb09-en0007-61-04945,FALSE, clueweb09-en0005-08-15425,FALSE, nr-clueweb09-en0011-82-34798,FALSE,4,0
3DFYDSXB30G3LSIIZQFDYSRFJ6ZJU6,32VNZTT0ACKOP25AIR35BZB0J5R4RF,A2JP9IKRHNLRPI,2021-09-09T16:14:02,THURSDAY,1.63122E+12,1.63122E+12,168,2.8,136.98,0, Chicago Bulls schedule, , Sports, clueweb09-en0007-22-30869,FALSE, clueweb09-en0000-42-31135,FALSE, clueweb09-en0010-57-33217,FALSE, clueweb09-en0000-88-22327,FALSE, clueweb09-en0011-27-20564,FALSE, random-clueweb09-en0007-29-30662,FALSE, clueweb09-en0006-26-14586,TRUE, nr-clueweb09-en0000-42-31067,FALSE, clueweb09-en0009-45-19624,FALSE, clueweb09-en0009-04-07821,FALSE, clueweb09-en0001-27-29347,FALSE, clueweb09-en0010-57-33214,FALSE, nr-clueweb09-en0000-42-31066,FALSE,1,0
