HITid,AssignmentId,WorkerId,Time of Day,Day of Week,Start Time,End Time,Time,Minutes,Input Time (s),Query Time (s),Query,Description,Category,doc1id,doc1selected,doc2id,doc2selected,doc3id,doc3selected,doc4id,doc4selected,doc5id,doc5selected,doc6id,doc6selected,doc7id,doc7selected,doc8id,doc8selected,doc9id,doc9selected,doc10id,doc10selected,doc11id,doc11selected,doc12id,doc12selected,doc13id,doc13selected,Num Relevant Selected,Num NR Selected
3PN6H8C9S8663X4SJPCBVTK88P9ADJ,37TRT2X24V7RCD76P14JHMVFO9WJBH,AWVLT2L5AP873,2021-10-07T20:15:54,THURSDAY,1633652154000,1633652233000,79.0,1.3166666666666667,16.012,0.0," best video card for pc"," "," Technology"," clueweb09-en0005-85-11475",true," nr-clueweb09-en0000-18-25959",false," random-clueweb09-en0007-09-17000",false," clueweb09-en0011-07-20981",false," clueweb09-en0000-06-27608",false," clueweb09-en0003-65-05055",false," clueweb09-en0003-65-04997",false," clueweb09-en0010-17-09856",true," clueweb09-en0001-29-04694",false," clueweb09-en0011-00-15812",false," clueweb09-en0003-00-02364",true," clueweb09-en0001-75-11752",true," nr-clueweb09-en0000-16-29429",false,4,0
3PN6H8C9S8663X4SJPCBVTK88P9ADJ,3TS1AR6UQVUO5ZIKTU1IXMHRCCP7FH,A2NAKIXS3DVGAA,2021-10-07T20:21:49,THURSDAY,1633652509000,1633652544000,35.0,0.5833333333333334,17.918,0.0," Is nature a real word?"," "," Nature"," clueweb09-en0007-60-06463",false," clueweb09-en0005-13-23481",false," clueweb09-en0001-14-08776",false," clueweb09-en0008-65-19390",false," nr-clueweb09-en0001-77-23294",false," clueweb09-en0005-03-30912",false," clueweb09-en0003-63-30799",false," clueweb09-en0002-39-22878",false," clueweb09-en0000-03-20894",false," clueweb09-en0007-99-02706",false," clueweb09-en0007-99-02856",false," random-clueweb09-en0007-49-03198",false," nr-clueweb09-en0010-04-10399",false,0,0
3PN6H8C9S8663X4SJPCBVTK88P9ADJ,3BQU611VFU0JI8F055ZA1MMM44I993,A39EZ7V9T25RZO,2021-10-07T20:20:49,THURSDAY,1633652449000,1633652551000,102.0,1.7,12.673,0.0," Japanese knitting patterns"," "," Crafts &amp; Hobbies"," clueweb09-en0002-49-09372",true," clueweb09-en0002-45-06324",true," clueweb09-en0002-49-09381",true," random-clueweb09-en0005-94-21396",false," clueweb09-en0003-25-12717",false," clueweb09-en0001-76-12575",false," nr-clueweb09-en0000-40-30729",false," clueweb09-en0011-43-17398",true," clueweb09-en0002-09-21514",false," clueweb09-en0007-79-26007",false," clueweb09-en0011-68-13192",true," clueweb09-en0005-71-19384",false," nr-clueweb09-en0001-18-32049",false,5,0
3PN6H8C9S8663X4SJPCBVTK88P9ADJ,3U088ZLJVP9CYA4VYKQ9MVT4Z190W8,A302KOFOYLD89A,2021-10-07T20:19:53,THURSDAY,1633652393000,1633652617000,224.0,3.7333333333333334,15.791,0.0," Safe chew toy for dog"," "," Pets"," random-clueweb09-en0006-26-18498",false," clueweb09-en0008-90-21787",false," clueweb09-en0005-41-01997",false," clueweb09-en0011-36-29988",false," clueweb09-en0006-63-11915",true," nr-clueweb09-en0011-51-26507",false," clueweb09-en0005-53-39464",false," clueweb09-en0004-42-33049",true," clueweb09-en0010-81-07086",true," clueweb09-en0005-23-18365",false," clueweb09-enwp01-94-00470",false," clueweb09-enwp00-68-01619",false," nr-clueweb09-en0004-69-02001",false,3,0
3PN6H8C9S8663X4SJPCBVTK88P9ADJ,339ANSOTRAIWA5RUDWWC4OZ5YOHKIR,A2RMJNF6IPI42F,2021-10-07T20:23:55,THURSDAY,1633652635000,1633652684000,49.0,0.8166666666666667,18.396,0.0," wireless router"," "," Shopping"," clueweb09-en0006-45-31685",true," clueweb09-en0000-55-06853",false," random-clueweb09-enwp00-42-07293",false," clueweb09-en0001-87-07476",false," clueweb09-en0006-21-30203",true," clueweb09-en0011-84-21548",false," nr-clueweb09-en0001-57-11594",false," clueweb09-en0000-72-23586",false," clueweb09-en0007-54-13904",false," clueweb09-en0009-35-04057",false," clueweb09-en0006-45-31684",false," clueweb09-en0004-39-25301",true," nr-clueweb09-en0003-04-23107",false,3,0
3PN6H8C9S8663X4SJPCBVTK88P9ADJ,37XITHEIS1PRK6IPB69NUXNOGBRCRA,A2I4PRZ9IZMKON,2021-10-07T20:23:30,THURSDAY,1633652610000,1633652763000,153.0,2.55,121.176,0.0," Issac Newton"," "," Science"," clueweb09-en0000-27-15124",false," clueweb09-en0001-12-00564",false," clueweb09-en0006-69-34763",false," clueweb09-enwp02-24-01274",false," clueweb09-en0008-60-26092",true," clueweb09-en0011-62-25731",false," clueweb09-en0002-76-15546",false," clueweb09-en0010-70-33414",false," nr-clueweb09-en0008-89-05597",false," clueweb09-en0001-51-09360",false," random-clueweb09-en0006-35-27399",false," clueweb09-en0005-57-45209",false," nr-clueweb09-en0001-88-16159",false,1,0
3PN6H8C9S8663X4SJPCBVTK88P9ADJ,3M81GAB8A5Z8Y0BJKROSEN7124RBQ3,A14GKRTUEHBLBZ,2021-10-07T20:33:18,THURSDAY,1633653198000,1633653360000,162.0,2.7,11.533,0.0," who won the battle of gettysburg"," "," History"," clueweb09-en0000-42-07420",false," clueweb09-en0008-22-10667",true," clueweb09-en0000-96-17159",false," clueweb09-en0009-24-19678",true," clueweb09-en0001-99-13164",false," clueweb09-en0011-45-22647",true," clueweb09-en0006-37-10108",true," clueweb09-en0008-22-10071",false," nr-clueweb09-en0003-75-19643",false," random-clueweb09-en0006-35-27399",false," clueweb09-en0006-07-04257",false," clueweb09-en0000-72-09765",false," nr-clueweb09-en0004-07-03795",false,4,0
3PN6H8C9S8663X4SJPCBVTK88P9ADJ,39GHHAVOMK77REMXAMUW98P9EHK4J1,APRZ7BR8C0ZMQ,2021-10-07T20:47:30,THURSDAY,1633654050000,1633654182000,132.0,2.2,20.199,0.0," Obama, president"," "," Politics"," clueweb09-en0003-35-18273",false," clueweb09-en0003-54-24661",false," clueweb09-en0008-25-06578",true," clueweb09-en0002-94-28603",true," clueweb09-en0005-23-17711",false," nr-clueweb09-en0008-01-03771",true," clueweb09-en0008-25-06642",true," random-clueweb09-en0000-21-15033",false," clueweb09-en0004-83-02195",false," clueweb09-en0003-02-09098",false," clueweb09-en0001-15-09477",true," clueweb09-en0002-08-01334",true," nr-clueweb09-en0000-82-05871",false,5,1
3PN6H8C9S8663X4SJPCBVTK88P9ADJ,3VNXK88KKHYHFFS38646T4BJVW7V9B,A132MSWBBVTOES,2021-10-07T21:05:14,THURSDAY,1633655114000,1633655149000,35.0,0.5833333333333334,12.194,0.0," What species of animals live in wetlands?"," "," Science"," nr-clueweb09-en0000-01-12982",false," clueweb09-en0011-34-27640",false," clueweb09-en0001-96-22080",false," clueweb09-en0001-13-25202",false," clueweb09-en0000-44-36722",false," clueweb09-en0002-06-04263",false," clueweb09-en0011-68-22733",true," clueweb09-en0007-52-20088",true," clueweb09-en0000-84-04409",true," clueweb09-en0009-76-26333",false," clueweb09-en0001-12-01558",false," random-clueweb09-en0005-94-21396",false," nr-clueweb09-en0008-05-34773",false,3,0
3PN6H8C9S8663X4SJPCBVTK88P9ADJ,3PIWWX1FJOMXUW5IDTH0FAESWFIJJH,AQ89A5JQ27VHR,2021-10-07T22:02:35,THURSDAY,1633658555000,1633658598000,43.0,0.7166666666666667,17.644,0.0," What state has the strictest parenting laws"," "," Parenting"," nr-clueweb09-enwp01-26-02664",false," clueweb09-en0009-90-25029",false," clueweb09-en0011-09-26025",false," clueweb09-en0004-93-00248",false," clueweb09-en0004-67-16418",false," random-clueweb09-en0005-85-21121",false," clueweb09-en0007-01-20727",true," clueweb09-enwp00-64-09820",false," clueweb09-en0009-61-11470",false," clueweb09-en0001-03-26923",true," clueweb09-en0002-68-21680",false," clueweb09-en0001-03-27030",true," nr-clueweb09-en0000-51-19907",false,3,0
