HITid,AssignmentId,WorkerId,Category,Query,Num Selected,Num NR Selected,Reject
3UOMW19E7HMZSZMXOXQJ3CM4WFU5CF,3WYP994K1C7B1QLAFAOEGTOBSLMY6K,A12VDN3TJJCAQQ, Sports, Who is the bengals head coach,1,0,a
3UOMW19E7HMZSZMXOXQJ3CM4WFU5CF,3NKQQ8O393LT5QGKFWZ3JESQDJDUDP,A1HKLHGRRSSDQN, Style, What clothing goes well with boots?,0,0,a
3UOMW19E7HMZSZMXOXQJ3CM4WFU5CF,3OVHNO1VEBHARPAULJYB0675F1VZDM,A3DTPGXKABAFEJ, Arts, dance and drama live,5,0,a
3UOMW19E7HMZSZMXOXQJ3CM4WFU5CF,31UV0MXWNVSTSM6R69S62ZGN681I58,APRZ7BR8C0ZMQ, History, George Washington slavery,3,0,a
3UOMW19E7HMZSZMXOXQJ3CM4WFU5CF,3VD82FOHKV4ONTQ9JESJ02IJAYXCOG,A3GAQNTZ1V1VO, Politics, Biggest scandal of the Jimmy Carter presidency,2,0,a
3UOMW19E7HMZSZMXOXQJ3CM4WFU5CF,3L4PIM1GQYW4N9JU7YRCROF7O95YRP,A1Z8TF04ZG3VRE, Food &amp; Drink, which drink is liked by people of Indonesia ?,0,0,a
3UOMW19E7HMZSZMXOXQJ3CM4WFU5CF,3ND9UOO81PIPV6THNDCSKFLS79SWLA,A14GKRTUEHBLBZ, Nature, best national park to visit,3,0,a
3UOMW19E7HMZSZMXOXQJ3CM4WFU5CF,3PH3VY7DJQD90VAL2E31SUWQMI1WZU,AKA8TN8H8DQ6T, Science, details about our universe,4,0,a
30IRMPJWE3Z6GKWJDHKKUW48T6SKRL,3TK8OJTYM612728APV03FUBY59BVPF,A12VDN3TJJCAQQ, Nature, Best birding spots ohio,5,0,a
30IRMPJWE3Z6GKWJDHKKUW48T6SKRL,3WMINLGALGJZLPW89VN1Z7YELGACAW,A1BI34TAR8H9R0, Pets, Cute Hamsters,3,1,a
30IRMPJWE3Z6GKWJDHKKUW48T6SKRL,3IO1LGZLKEDWMKUS26QKHG09Z6Z68U,A1HKLHGRRSSDQN, Home, How to replace a basin tap,3,0,a
30IRMPJWE3Z6GKWJDHKKUW48T6SKRL,3OHYZ19UGHL0UETBZ0WSU7SVAUUOA6,A3DTPGXKABAFEJ, Nature, cyclone,4,0,a
30IRMPJWE3Z6GKWJDHKKUW48T6SKRL,34X6J5FLPYEEGJ9V8J19CBQEFJDQJ5,APRZ7BR8C0ZMQ, Arts, Halle Berry fitness routine,2,0,a
30IRMPJWE3Z6GKWJDHKKUW48T6SKRL,3JNQLM5FT923JQVA9TNLW85332E2LF,A3GAQNTZ1V1VO, Parenting, How should I prepare to welcome a newborn into the family,5,0,a
30IRMPJWE3Z6GKWJDHKKUW48T6SKRL,36W0OB37H1UR35FW7FH1RRM37U7ZHG,A1Z8TF04ZG3VRE, Politics, Does people of USA  like Donald Trump ?,2,0,a
30IRMPJWE3Z6GKWJDHKKUW48T6SKRL,3D3VGR7TA5V376M6IDYM1UJUF8N3R1,A14GKRTUEHBLBZ, Crafts &amp; Hobbies, best yarn for blankets,3,1,a
30IRMPJWE3Z6GKWJDHKKUW48T6SKRL,34V1S5K3GXHW0PD27YWYHCVKJDK96R,AKA8TN8H8DQ6T, History, Alexander,1,0,a
3J94SKDELM59XRSBOTLUNI4MHF65DF,3R9WASFE24W7P9OQCPT1O6AQREUZFG,A12VDN3TJJCAQQ, Sports, How did the cleveland browns get their name?,1,0,a
3J94SKDELM59XRSBOTLUNI4MHF65DF,3S3AMIZX3ZLXJWZKT5E3P86K6J6DCY,A1HKLHGRRSSDQN, Spirituality, What is Paganism?,6,0,a
3J94SKDELM59XRSBOTLUNI4MHF65DF,3QEMNNSB22FR7F4O2O6S9ME658GD76,A1BI34TAR8H9R0, Technology, New iPhone,3,0,a
3J94SKDELM59XRSBOTLUNI4MHF65DF,326O153BMNECGUJYPWKYFW6NRVNEDW,A3DTPGXKABAFEJ, Crafts &amp; Hobbies, coin collection,6,0,a
3J94SKDELM59XRSBOTLUNI4MHF65DF,3P529IW9K31NKK7MXO2SGRZSC69FL2,APRZ7BR8C0ZMQ, Spirituality, Mormon cult,3,0,a
3J94SKDELM59XRSBOTLUNI4MHF65DF,3E7TUJ2EGH2VLYSHHL4CNI5C0ZM9DY,A3GAQNTZ1V1VO, Health &amp; Wellness, Marathon training guide for beginners,6,0,a
3J94SKDELM59XRSBOTLUNI4MHF65DF,3S3AMIZX3ZLXJWZKT5E3P86K6KUCDN,A1Z8TF04ZG3VRE, Parenting, When is it time to stop breastfeeding?,8,0,a
3J94SKDELM59XRSBOTLUNI4MHF65DF,34PGFRQONTRJ0G5HKS0F40803KNWJ8,A14GKRTUEHBLBZ, Pets, what is best vet in chicago,1,0,a
3J94SKDELM59XRSBOTLUNI4MHF65DF,3JRJSWSMQM1EY2H1W7EM2NKB0JYE30,AKA8TN8H8DQ6T, Sports, How to play baseball,7,0,a
3W9XHF7WHOBJWZ9BH6PFUB5QHRPKTY,3UNH76FOCXLDQT622QVV5PLXIL3MYK,A12VDN3TJJCAQQ, Politics, Who was the first republican president,1,0,a
3W9XHF7WHOBJWZ9BH6PFUB5QHRPKTY,3X65QVEQI53GH8NC6MCR8LEPFS9LCN,A1HKLHGRRSSDQN, Politics, list of supreme court judges,4,0,a
3W9XHF7WHOBJWZ9BH6PFUB5QHRPKTY,3L4D84MIL4813QASPTEF3XYDOV9HJQ,A1BI34TAR8H9R0, Entertainment, Most popular actors,1,0,a
3W9XHF7WHOBJWZ9BH6PFUB5QHRPKTY,3A1PQ49WVMXU89UOZ489ZX2RUEB1H8,A3DTPGXKABAFEJ, Health &amp; Wellness, Diabetes diet,4,0,a
3W9XHF7WHOBJWZ9BH6PFUB5QHRPKTY,3TE22NPXPGSHOW3C7F7S360Q1U2447,A1JTIHM006U9WM, Education, how many colleges are in georgia,4,1,a
3W9XHF7WHOBJWZ9BH6PFUB5QHRPKTY,3PH3VY7DJQD90VAL2E31SUWQMI7ZW3,APRZ7BR8C0ZMQ, Science, Black Hole cause,1,0,a
3W9XHF7WHOBJWZ9BH6PFUB5QHRPKTY,3B1NLC6UG4CJP5IF001HFT8OIVLPGK,A3GAQNTZ1V1VO, Education, Top public universities ranking,3,0,a
3W9XHF7WHOBJWZ9BH6PFUB5QHRPKTY,3TEM0PF1QADDP444HPLJU74JXVVD0T,A1Z8TF04ZG3VRE, Pets, what pet food is liked by dogs ?,6,0,a
3W9XHF7WHOBJWZ9BH6PFUB5QHRPKTY,3G2UL9A02IUSM6P9S1YE3G4EONV67B,A14GKRTUEHBLBZ, Shopping, best deals on electronics,4,0,a
3W9XHF7WHOBJWZ9BH6PFUB5QHRPKTY,3SUWZRL0M3TDVL4JF9CK9QWVAA0E66,AKA8TN8H8DQ6T, Parenting, how to teach a kid good habits,5,0,a
3CVDZS289LG43IRD7YX6SKITFNCFMQ,3LKC68YZ3FJX1RWE05SKCWPM2DHWO9,A12VDN3TJJCAQQ, Nature, Where can I forage in ohio,0,0,a
3CVDZS289LG43IRD7YX6SKITFNCFMQ,3P59JYT76Q0R233FI2PCIZFKXEI2TY,A1HKLHGRRSSDQN, Economy &amp; Finance, How to use a SIPP,0,0,a
3CVDZS289LG43IRD7YX6SKITFNCFMQ,3R5F3LQFV701VM1JBSCRB0J4JF0ZOH,A1BI34TAR8H9R0, Sports, 2006 world cup,4,0,a
3CVDZS289LG43IRD7YX6SKITFNCFMQ,3F1567XTN1LPA7WMM7AWNHCBJDV9QL,A3DTPGXKABAFEJ, Entertainment, new movies,3,0,a
3CVDZS289LG43IRD7YX6SKITFNCFMQ,31JLPPHS2ZA0ATUQQLHI7ZEP4L9O3J,APRZ7BR8C0ZMQ, Science, Snake bite cure,2,0,a
3CVDZS289LG43IRD7YX6SKITFNCFMQ,3JV9LGBJWYU1456EL0O2QT3Y8QOOG1,A3GAQNTZ1V1VO, Economy &amp; Finance, Current level of inflation,4,0,a
3CVDZS289LG43IRD7YX6SKITFNCFMQ,39LOEL67OXLXP17AJ4SMADOPPGK83F,A1Z8TF04ZG3VRE, Technology, Could we  live without technology?,4,0,a
3CVDZS289LG43IRD7YX6SKITFNCFMQ,3WQ3B2KGEDWKHWR2ZCYDDMZTZ261BU,A14GKRTUEHBLBZ, Style, what to wear for the beach,4,0,a
