hitId,queryNum,topicNum,subQueryNum,query,text1,document1,score1,text2,document2,score2,text3,document3,score3,text4,document4,score4,text5,document5,score5,workerId
1,39_7,39,7," What does it mean to be a vegan?<br/>What is the environmental argument for being a vegan?<br/>Do you need milk for strong bones?<br/>What are other good sources of calcium besides milk?<br/>If you don't eat any meat, at all, is it bad for you?<br/>What are good sources of vitamin B12?<br/><span>Does being vegan help you lose weight?</span>"," <span>*** NEW QUERY ***</span> Cookbook author and New York Time columnist Mark Bittman worked with sweetgreen in the Spring of 2014 to create the April VB6 Salad. Bittman created the VB6 diet where you eat only vegan before 6pm in order to lose weight and restore health.",CAR_0184922166d764d02f3959c853bdb259322ac8f7,0," In a 2010 interview, Ukhov was asked about reports that his weight fluctuated. Is it true that two days before an event you stop eating?, Ukhov answered: No, I am responsible about these things, my weight when I am competing is about 85 kg (185 lbs.), but in the off-season my weigh can go up to 105 kg (231 lbs). I lose the kilos quickly when I am doing weight training. It only takes about two weeks to lose the weight. Another question was: Many athletes complain that they feel weak when they lose only a few kilos, but here we are talking about 20kg (44 lbs). What does your coach think about this?, and Ukhov responded: We had a training camp in Spain, and I think the extra weight helped. A bit of extra weight protects the muscles and ligaments. It is like training with a barbell  only it always with you. Although he stands well over 6 feet tall, Ukhov described his physique as stocky.",CAR_0bd5b1ab81c4e521e77968ac09e9a4455afc6c1f,0," DNAFit is also being used in a lottery-funded pilot project in Essex to help obese people lose weight.",CAR_0e5f52ff8e6a2d45cdb3f678fb0ef13266d7f7ad,0," The Sun called it a vegan diet with a bit of attitude thrown in. They also said if you follow it to the letter then you will lose weight but for your average woman it's not particularly easy to follow.",CAR_22e86f87567af09d0262b75e7f66ff4f94971813,0," An article on cbsnews.com describes the research as more helpful then willpower alone to help lose weight and eat healthier.",CAR_2e4a2640f83976a4bc9baa711136cbc8757fa41c,0,
2,39_7,39,7," What does it mean to be a vegan?<br/>What is the environmental argument for being a vegan?<br/>Do you need milk for strong bones?<br/>What are other good sources of calcium besides milk?<br/>If you don't eat any meat, at all, is it bad for you?<br/>What are good sources of vitamin B12?<br/><span>Does being vegan help you lose weight?</span>"," The Kind Diet: A Simple Guide to Feeling Great, Losing Weight and Saving the Planet is a vegan cookbook written by actress and animal rights activist Alicia Silverstone.",CAR_30c983401d7316c90b64a439506ddf4c4e34a56f,0,"  There is evidence that a vegan diet aids weight loss more effectively than a vegetarian or non-vegetarian diet, particularly in the short term. A 2016 systematic review found that a vegan diet was associated with a significant reduction in cancer risk, although only in a small number of studies.",CAR_3b3ca2e74d10823cb5060c3baf611c93407707d8,0," In 2006, Moskowitz and her former co-host, Romero, created a cookbook consisting entirely of vegan cupcake recipes, Vegan Cupcakes Take Over the World, which was named Cookbook Of The Year by VegNews magazine. 2007 saw the release of yet another book, Veganomicon, which bills itself as the ultimate vegan cookbook. Moskowitz has since written five more books, Vegan Brunch (2009), Vegan Cookies Invade Your Cookie Jar (2009), Appetite for Reduction (2010), Vegan Pie in the Sky (2011), and Isa Does It (2013).",CAR_4801f428f0a70ec4db50d25f52cb4b652c74ff1c,0," In 1990, she underwent breast reduction surgery. In June 2007, Quivers began a strict vegan diet which she says helped to increase her energy and helped her to lose 60 pounds over a six-month period. Quivers was set to release a book about being a vegan in March 2013 but it was pushed back to October.",CAR_4bb55020d20162c927ca4d344ba7c06332997887,0," Pulse Vegan is a 7 release by the Japanese noise musician Merzbow. It is available exclusively to backers of a Kickstarter campaign to fund a vegan food trailer in Austin, Texas being opened by the owner of Elevator Bath. The business is named Pulse Vegan after the recording.",CAR_521178f20cf7c34f8c2546d106f76077e4bda8c4,0,
3,39_7,39,7," What does it mean to be a vegan?<br/>What is the environmental argument for being a vegan?<br/>Do you need milk for strong bones?<br/>What are other good sources of calcium besides milk?<br/>If you don't eat any meat, at all, is it bad for you?<br/>What are good sources of vitamin B12?<br/><span>Does being vegan help you lose weight?</span>"," Lisette is a vegan, and avid runnermarathoner who has been featured in Runner's World Magazine. In 2014 she co-contributed to Running, Eating, Thinking: A Vegan Anthology by Martin Rowe, where she talked about her weight loss journey and how she now follows a plant based diet.",CAR_5825fd7a19c8588ea3a3827855af4ca954b0746d,0," Osteitis fibrosa cystica , abbreviated OFC, also known as osteitis fibrosa, osteodystrophia fibrosa, and Von Recklinghausen's disease of bone (not to be confused with Von Recklinghausen's disease, neurofibromatosis type I), is a skeletal disorder caused by hyperparathyroidism, which is a surplus of parathyroid hormone from over-active parathyroid glands. This surplus stimulates the activity of osteoclasts, cells that break down bone, in a process known as osteoclastic bone resorption. The hyperparathyroidism can be triggered by a parathyroid adenoma, hereditary factors, parathyroid carcinoma, or renal osteodystrophy.Osteoclastic bone resorption releases minerals, including calcium, from the bone into the bloodstream. In addition to elevated blood calcium levels, over-activity of this process results in a loss of bone mass, a weakening of the bones as their calcified supporting structures are replaced with fibrous tissue (peritrabecular fibrosis), and the formation of cyst-like brown tumors in and around the bone. The symptoms of the disease are the consequences of both the general softening of the bones and the excess calcium in the blood, and include bone fractures, kidney stones, nausea, moth-eaten appearance in the bones, appetite loss, and weight loss.",CAR_5864a0a3cbab8a49370fdee64ecd54f54b9d6cf8,0," Sarakan Toothpaste is vegan, fluoride-free and is flavoured with oil of peppermint, clove and geranium. It contains no sugars or artificial colours and does not contain Sodium Lauryl Sulphate (SLS).",CAR_5a2a2e0751b6114c357166ba2ab9037c442af906,0," Harrelson is also an ethical vegan and raw foodist. Along with not eating meat nor dairy, Harrelson also does not eat sugar or flour. In Zombieland, in which he plays a character with an affinity for Twinkies, he did not eat the confectionery, replacing them with vegan faux-Twinkies made from cornmeal.",CAR_63e5ef977af035daed03f4b60d986ddf41ba1eb8,0," Georges stance is based on human beings physiology that conditions male to be more likely to succeed on a vegetarian diet than female. According to George, adopting a vegetarianvegan diet poses risks on people identifiable by characteristics over which they have no choice or control: infants, children, adolescents, gestating or lactating women, some elderly people, and many people living in cultural and environmental circumstances that are not dependent on industrialized agriculture and high-tech society. Based on Georges scientific research, she discovered that women and children are more vulnerable to deficiencies of certain vitamins and minerals. Especially children who adopt a vegan diet may lack sufficient quantities of vitamin D and B12, iron, calcium, and zinc. Vegan women may face the risk of being diagnosed with osteoporosis as a result of adopting diets that are low in calcium. George claims that milk is still recommended as the best source of calcium as calcium in plants either comes in a form the body cannot use very well or occurs in the presence of other compounds (such as phytates, fiber, cellulose, uronic acids, and oxalates in the case of calcium) that prevent its use. Furthermore, lactating and gestating women may be at greater nutritional risk which may negatively influence the health of the fetus or infant. In addition, George claims that even lacto-ovovegetarian diet poses some risks. Along with children and women, people from developing countries where resources and education about taking iron and B12 supplements are not available can also be under the risk of iron deficiency.",CAR_6590e873442319d039f3c0a22a80755f0d09de51,0,
4,39_7,39,7," What does it mean to be a vegan?<br/>What is the environmental argument for being a vegan?<br/>Do you need milk for strong bones?<br/>What are other good sources of calcium besides milk?<br/>If you don't eat any meat, at all, is it bad for you?<br/>What are good sources of vitamin B12?<br/><span>Does being vegan help you lose weight?</span>"," The Vegan Awareness Foundation, also known as Vegan Action, is a 501(c)(3) non-profit organization (FIN# 94-3224024) in Virginia, United States and founded in 1995. Dedicated to helping animals, the environment, and human health by educating the public about the benefits of a vegan lifestyle and encouraging the spread of vegan food options through public outreach campaigns. One of the goals of Vegan Action is to create growth in the vegan marketplace and increase the availability of vegan products. They have introduced a logo to certify vegan products, vegan food options into schools nationwide, and ideas behind veganism.",CAR_65b208858829c1a71022d877796ebb3c7dedb181,0," Addition issues that can occur in tame dragons are vitamin A deficiency and metabolic bone disease. Vitamin A deficiency is the shortage of vitamin A or carotenes. The dragon usually obtains vitamin A through the consumption of leafy greens and insects. This deficiency is found typically in tame dragons, since wild dragons have a surplus of greens and insects to eats. The lack of vitamin A can increase the parasitic issues, weakening the immune system, and can lead to the death of the dragon if the diet imbalance is not corrected. The metabolic bone disease is a product of lack of UVB light and calcium. Natural light gives off vitamin D3. This vitamin is vital to break down the calcium the dragon consumes, enhancing the importance of light. The disease can cause soft bones and muscle cramping (Langerwerf, 2006, p. 54-55). According to Langerwerf,  signs of an unhealthy dragon include abnormal feces, inability to right itself when turned upside down, limping, sluggish behavior, refusing food, sunken eyes, vomiting, and weight loss (2006, p. 54).",CAR_65f52c9d38efd7353ab047fa4db1318b9a1a4b23,0," Nicole founded BikiniCleanse in 2014, is an all-natural, 7-day cleanse system, helps clients lose weight. Pollard invented BikiniCleanse based on her experiences trying to lose weight before a beach vacation in Maui.",CAR_671b30fea4970bfe119dcba0b40af27a9d7315ca,0," Spurlock ate at McDonald's restaurants three times per day, eating every item on the chain's menu at least once. Spurlock consumed an average of 20.9 megajoules or 5,000 kcal (the equivalent of 9.26 Big Macs) per day during the experiment. An intake of around 2,500 kcal within a healthy balanced diet is more generally recommended for a man to maintain his weight. As a result, the then-32-year-old Spurlock gained , a 13% body mass increase, increased his cholesterol to 230 mgdL, and experienced mood swings, sexual dysfunction, and fat accumulation in his liver. It took Spurlock fourteen months to lose the weight gained from his experiment using a vegan diet supervised by his then-girlfriend, a chef who specializes in gourmet vegan dishes.",CAR_75735d6575cf1709c05cb2953d8775a9410ab62e,0," In 2006, after the National Basketball Association season ended, Stoudamire announced his intentions to eat vegan. After initially monitoring his weight daily, team managers accepted that his new diet had not caused weight loss.",CAR_7c7dbfe5ec11e546b8076abfedd8f5ce242865be,0,
5,39_7,39,7," What does it mean to be a vegan?<br/>What is the environmental argument for being a vegan?<br/>Do you need milk for strong bones?<br/>What are other good sources of calcium besides milk?<br/>If you don't eat any meat, at all, is it bad for you?<br/>What are good sources of vitamin B12?<br/><span>Does being vegan help you lose weight?</span>"," The band and its members advocated straight edge, vegetarianism and veganism, and they were all animal rights belligerents. As of 2015, vocalist Rob Fusco is no longer. However, they deny being preachy in any way, saying I'm not going around trying to change people because people are going to change when they want to... if I said something that you found truth in, or that you found made sense, cool - I'm glad I was a catalyst to help you come to your own conclusions.",CAR_8369d27d34c4546ad56f56d3356a8d5c0a8ebaa6,0," Many people believe that a diet is simply a meal-plan someone starts when they want to lose weight. While this is true, your diet is not a scheduled meal-plan that you start and finish, nor is it something that lasts from the start of your journey to health until you achieve your goal. Your diet is literally everything you eat and drink in a day, regardless of if you are working toward a goal number on the scale or just living your life day by day. According to the dictionary, a healthy diet is a diet which is heavily weighted towards good foods while minimizing bad foods.  A healthy diet does not simply depend on the food pyramid, or any variation of targeted amounts of food-groups. Though it is important to eat a certain amount of fruit and vegetables each day, meeting these suggested servings is not the same thing as creating a diet that will help you live the best life you can.",CAR_84d7d831e794bde2145a075bab4bbe3412ccf5eb,0," Along with the Californian band Vegan Reich and the English band, Statement, Raid helped pioneer the Vegan straight edge movement and the Hardline lifestyle and ideology.",CAR_8a81198d923952f5e5dc218ea31a6acc74ad8039,0," Lorraine Bracco is a practitioner of Shotokan Karate. In 2015 she authored a self help book To the Fullest: The Clean Up Your Act Plan to Lose Weight, Rejuvenate, and Be the Best You Can Be.",CAR_8ae03eec3e3ff2cbff3a8b0007a75b357e4278a2,0," While vegetarianism is not a common practice in current western Christian thought and culture, the concept and practice has scriptural and historical support. According to the Bible, in the beginning, before the Fall, human and nonhuman animals, who are beings who have or are an nima, Latin for soul, were completely vegan, and it was very good. According to some interpretations of the Bible, raw veganism was the original diet of humankind in the form given to Adam and Eve by God in Genesis 1:29, And God said, Behold, I have given you every herb bearing seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for food.",CAR_8b80c9dfd15fb471a88d1ee81869a43968d02396,0,
6,39_7,39,7," What does it mean to be a vegan?<br/>What is the environmental argument for being a vegan?<br/>Do you need milk for strong bones?<br/>What are other good sources of calcium besides milk?<br/>If you don't eat any meat, at all, is it bad for you?<br/>What are good sources of vitamin B12?<br/><span>Does being vegan help you lose weight?</span>"," Chapter three sets out the political project that is associated with this theory, the vegan project, which strives to bring about legal and political reform in all jurisdictions across the globe to introduce qualified bans on the consumption of animal products. The vegan project does not stand or fall if governments either fail to relate to some of the interests that Deckers brings to bear on the issue or do not ascribe the same weight to them. Rather, Deckers argues that something like the vegan project can also be justified merely by appealing to the much narrower range of human health concerns that are discussed in chapter one.",CAR_8e0263edf9e084e21ba1ae92268b5851d8f05d5d,0," As the film begins, Spurlock is in physically above average shape according to his personal trainer. He is seen by three physicians (a cardiologist, a gastroenterologist, and a general practitioner), as well as a nutritionist and a personal trainer. All of the health professionals predict the McDiet will have unwelcome effects on his body, but none expected anything too drastic, one citing the human body as being extremely adaptable. Prior to the experiment, Spurlock ate a varied diet but always had vegan evening meals to appease his girlfriend, Alexandra, a vegan chef. At the beginning of the experiment, Spurlock, who stood  tall, had a body weight of .",CAR_90e88cd992a014974c235369ab2ef218ab281b61,0," Vitamin B, vitamin B12 or vitamin B-12, also called cobalamin, is a water-soluble vitamin that has a key role in the normal functioning of the brain and nervous system, and the formation of red blood cells. It is one of eight B vitamins. It is involved in the metabolism of every cell of the human body, especially affecting DNA synthesis, fatty acid and amino acid metabolism. No fungi, plants, nor animals (including humans) are capable of producing vitamin B. Only bacteria and archaea have the enzymes needed for its synthesis. Proved sources of B are animal products (meat, fish, dairy products) and supplements. Some research states that certain non-animal products possibly can be a natural source of B because of bacterial symbiosis. B is the largest and most structurally complicated vitamin and can be produced industrially only through a bacterial fermentation-synthesis. This synthetic B is used to fortify foods and sold as a dietary supplement.",CAR_b805bb76a6e4da5a197a021a91ab70c51e70dd5e,0," The Biggest Loser Brunei is a Bruneian reality television show that began broadcasting on BNC in 2010. The show is an adaptation of the American reality TV show The Biggest Loser. It features a host and personal trainers who help the contestants lose weight. The show features obese people competing to win a cash prize by losing the highest percentage of weight relative to their initial weight.",CAR_c114bbe2db12943e08e22f7493bd1bc38c758c27,0," Lutui follows a semi-vegan diet to help control his weight.",CAR_ce78c124025e2b715a939e254b7c64bcefa0e331,0,
7,39_7,39,7," What does it mean to be a vegan?<br/>What is the environmental argument for being a vegan?<br/>Do you need milk for strong bones?<br/>What are other good sources of calcium besides milk?<br/>If you don't eat any meat, at all, is it bad for you?<br/>What are good sources of vitamin B12?<br/><span>Does being vegan help you lose weight?</span>"," While the myth exists that a professional bodybuilder needs to consume vast amounts of meat and dairy to build muscle, Billy is a vegan. During an interview in with Vegan Magazine, Billy stated Vegan Bodybuilding is not only possible, its optimal. Within three years from first lifting weights properly and walking on a bodybuilding stage as a novice, I had won Mr Universe and become a professional Bodybuilder. Steroids? Meat? Not a chance!  Billy is 100% natural, proven by Olympic standard testing, and lives a clean, healthy life.",CAR_e8bf4520c5e75d23e73ba089aaf11cd255c63476,0," Vitamin B12 is also said to help some sleep disorders, some mental disorders and slow the progression of dementia in the elderly. Supplement makers also say vitamin B12 supplements can help treat conditions such as Lyme disease, gum disease, some skin infections, liver disease and kidney disease. vitamin B12 deficiency has a wide range of symptoms. Someone with low vitamin B12 may lose their appetite, lose weight or feel tired and weak. Depression, poor memory and trouble thinking can all be symptoms of a vitamin B12 deficiency.",MARCO_1014493,0," Vitamin B12 supplements are also said to protect against the poisons in tobacco smoke. Some people use vitamin B12 supplements to help treat male infertility, sleep disorders, depression, inflammatory bowel disease, asthma, multiple sclerosis, allergies and the skin condition vitiligo. vitamin B12 deficiency has a wide range of symptoms. Someone with low vitamin B12 may lose their appetite, lose weight or feel tired and weak. Depression, poor memory and trouble thinking can all be symptoms of a vitamin B12 deficiency.",MARCO_1014497,0," A problem with either stomach acid or intrinsic factor can lead to a vitamin B12 deficiency. Oral vitamin B12 supplements contain a form of vitamin B12 that is easy to absorb without stomach acid, but these pills may not treat all causes of vitamin B12 deficiency.People who have undergone gastric bypass surgery, for example, can develop a deficiency in the intrinsic factor. vitamin B12 deficiency has a wide range of symptoms. Someone with low vitamin B12 may lose their appetite, lose weight or feel tired and weak. Depression, poor memory and trouble thinking can all be symptoms of a vitamin B12 deficiency.",MARCO_1014500,0," Good sources of protein can be hard to find if you're a vegan. But, adding protein to a meatless diet isn't as hard as you think, even if you don't eat dairy or other animal products. Vegetable sources of protein are plentiful and easy to add to a vegan diet if you have some basic knowledge of nutrition. Here are some good sources of protein that even vegans can eat. 1. Nuts and Seeds. Nuts and seeds are very good sources of protein for vegans. Nuts provide plenty of protein, as well as other nutrients like vitamins A and E, phosphorus, potassium, fiber and essential fatty acids.",MARCO_1014870,0,
8,39_7,39,7," What does it mean to be a vegan?<br/>What is the environmental argument for being a vegan?<br/>Do you need milk for strong bones?<br/>What are other good sources of calcium besides milk?<br/>If you don't eat any meat, at all, is it bad for you?<br/>What are good sources of vitamin B12?<br/><span>Does being vegan help you lose weight?</span>"," Well if your argument is, for example, green tea helps you lose weight, a counter argument of this would be someone stating that green tea DOESNT help you lose weight.",MARCO_102673,0," 7. One of the best ways to get B12 is in animal products where it comes with the food (grows on it, actually). Other good sources for vegans, are B12 enriched foods such as non-dairy milk and yogurt, and nutritional yeast. Read labels before you buy to make sure that Vitamin B12 is included in enriched foods.8.uestions About Vitamin B12: I see that the Vitamin B-12 RDA is 2.4 mcg and the Daily Value for B- 12 is 6 mcg, and some vegan sources say take 10 mcg in a supplement.",MARCO_1026810,0," Vegans who choose to use a vitamin B12 supplement, either as a single supplement or in a multivitamin should use supplements regularly. Even though a supplement may contain many times the recommended level of vitamin B12, when vitamin B12 intake is high, not as much appears to be absorbed.rom Simply Vegan 5th Edition. Summary: The requirement for vitamin B12 is very low, but it is essential. Non-animal sources include Red Star Vegetarian Support Formula or T-6635+ nutritional yeast (a little less than 1 Tablespoon supplies the adult RDA) and vitamin B12 fortified soy milk.",MARCO_1026811,0," Vegetarians can get all the B12 they need from these foods, while vegans need to supplement. . 1  The Vegetarian and Vegan Guide to a Low-Carb Diet  Lose Weight Fast, Diet Plans, & 16 8 diet  7-Day Diet Plans, Healthy Meals-June 17, 2015  These foods are also rich in vitamin B12, which is not found in plant foods. also use Whole Foods brand vitamin B12 500 mcg in a sublingualchewable tablet with 100 tablets per bottle at $6-7 a bottle (have to get chewable since my partner cant swallow pills very well). It does have magnesium stearate but the bottle indicates the supplement is vegetarian.",MARCO_1026812,0," Questions About Vitamin B12: I see that the Vitamin B-12 RDA is 2.4 mcg and the Daily Value for B- 12 is 6 mcg, and some vegan sources say take 10 mcg in a supplement.uestions About Vitamin B12: I see that the Vitamin B-12 RDA is 2.4 mcg and the Daily Value for B- 12 is 6 mcg, and some vegan sources say take 10 mcg in a supplement.",MARCO_1026815,0,
9,39_7,39,7," What does it mean to be a vegan?<br/>What is the environmental argument for being a vegan?<br/>Do you need milk for strong bones?<br/>What are other good sources of calcium besides milk?<br/>If you don't eat any meat, at all, is it bad for you?<br/>What are good sources of vitamin B12?<br/><span>Does being vegan help you lose weight?</span>"," Prudent vegans will include sources of vitamin B12 in their diets. Vitamin B12 is especially important in pregnancy and lactation and for infants and children. A number of vegan products have been fortified with vitamin B12.One brand of nutritional yeast, Red Star T-6635+, has been tested and shown to contain active vitamin B12. This brand of yeast is often labeled as Vegetarian Support Formula with or without T-6635+ in parentheses following this name.rom Simply Vegan 5th Edition. Summary: The requirement for vitamin B12 is very low, but it is essential. Non-animal sources include Red Star Vegetarian Support Formula or T-6635+ nutritional yeast (a little less than 1 Tablespoon supplies the adult RDA) and vitamin B12 fortified soy milk.",MARCO_1026816,0," No, you do not have to do cardio to lose weight; however, research indicates that exercise  resistance training, cardio, or a combination of each  can greatly enhance your weight loss success.Ultimately, to lose weight the body must be put into a position where it is required to use stored energy (fat) as fuel.o, you do not have to do cardio to lose weight; however, research indicates that exercise  resistance training, cardio, or a combination of each  can greatly enhance your weight loss success.",MARCO_1142961,0," It is not how much cardio you need to do to lose weight but where your deficit is at. Bottom line you have to burn more calories than you take in. Cardio is not the only thing that will help you lose weight. You also have weight training and proper meal planning to help you out as well.Cardio is only one part of the puzzle to help you lose weight. Remember to lose 1 pound of fat you must burn 3500 calories or have your deficit at 500 calories per day.How much cardio you want to do is up to you and your body. You want to start out by doing what the body can handle at first and then build from there.o effectively lose weight and keep it off, you need to eat fewer calories (500 calories lessday) and move more (walk 10,000 stepsday and get active 30 minutesday).",MARCO_1142963,0," Meat has not only the good proteins but also several other vitamins and nutrients essential for the body. Meat is a rich natural source of Vitamins B12, B3, B6, Selenium, Zinc, Iron and other minerals. Vitamin B12 is a critical nutrient that is naturally found only in meat. Those who eat only the foods from the vegetables kingdom are sure to face the health risks associated with lack of Vitamin B12. The only solution for vegans is to have Vitamin B12 supplements to take care of the problem to some extent.",MARCO_1155998,0," Sweet potatoes are an excellent source of vitamin A and a good source of potassium and vitamin C, B6, riboflavin, copper, pantothetic acid and folic acid. A medium sweet potato has 28% more potassium than a banana. Water Content. The high amount of water that is found in sweet potatoes helps you lose weight.",MARCO_1298505,0,
10,39_7,39,7," What does it mean to be a vegan?<br/>What is the environmental argument for being a vegan?<br/>Do you need milk for strong bones?<br/>What are other good sources of calcium besides milk?<br/>If you don't eat any meat, at all, is it bad for you?<br/>What are good sources of vitamin B12?<br/><span>Does being vegan help you lose weight?</span>"," Milk is also low in calories and rich in protein. Our revamped milk diet requires you to consume healthy foods like veggies, fruits, proteins, complex carbs, and healthy fats. These foods contain the other nutrients lacking in milk and will help you lose weight without compromising on your health. Since you need to burn the calories you consume to lose weight, you need to workout. It will step up your fat loss and help you build lean muscle mass. Our revamped milk diet is not a fad diet. It helps you incorporate good habits into your daily life to lose weight slowly.",MARCO_1328862,0," How many calories in Crayfish? We provide you with the Crayfish calories for the different serving sizes, Crayfish nutrition facts and the health benefits of Crayfish to help you lose weight and eat a healthy diet.rayfish are crustaceans and look like a small version of a Lobster. Crayfish provide a good source of vitamins A, B1-B3, B5, B6, B12, calcium, iron, phosphorus, potassium, magnesium, copper, manganese and selenium, as well as other vitamins and minerals.",MARCO_1370125,0," Find out the nutritional information in Farmed crayfish (mxd sp, cooked, moist heat) by using the table below. The table not only gives the Farmed crayfish calorie detail but also all the nutrition details and nutritional information on Farmed crayfish, and can be used to help you lose weight.ind out the nutritional information in Farmed crayfish (mxd sp, cooked, moist heat) by using the table below. The table not only gives the Farmed crayfish calorie detail but also all the nutrition details and nutritional information on Farmed crayfish, and can be used to help you lose weight.",MARCO_1370134,0," Exercise, is a healthy way to lose weight. With a good portioned eating habit and daily work out you lose unwanted fat. People lose weight for numerous reasons. Some want changes in their life and are tired of carrying extra weight around or do it for health reasons. Whatever the reason may be, exercise can help you drop weight faster. Lastly, while not only does exercise give you energy, but it also helps you be a healthier person.",MARCO_1381995,0," Other sources of vitamin B12 are vitamin B12 fortified soy milk, vitamin B12 fortified meat analogues (food made from wheat gluten or soybeans to resemble meat, poultry, or fish), vitamin B12-fortified energy bars, and vitamin B12 supplements.There are vitamin supplements that do not contain animal products.itamin B12 is needed for cell division and blood formation. Neither plants nor animals make vitamin B12. Bacteria are responsible for producing vitamin B12. Animals get their vitamin B12 from eating foods contaminated with vitamin B12 and then the animal becomes a source of vitamin B12.",MARCO_1420953,0,
