queryNum,subQueryNum,query,text1,document1,score1,text2,document2,score2,text3,document3,score3,text4,document4,score4,text5,document5,score5
31_1,1," <span>What is throat cancer?</span>"," Smoking, including secondhand smoke, is the leading cause of lung cancer. Other cancers. Not only does smoking increase the risk of lung and oral cancer, it also increases the risk of other respiratory system cancers including cancer of the nose, sinuses, voice box, and throat.moking, including secondhand smoke, is the leading cause of lung cancer. Other cancers. Not only does smoking increase the risk of lung and oral cancer, it also increases the risk of other respiratory system cancers including cancer of the nose, sinuses, voice box, and throat.",MARCO_1331560,2," A virus spread during oral sex is now the main cause of throat cancer in people under 50, scientists have warned. They say the human papilloma virus spread during unprotected sex is to blame for a disturbing rise in potentially deadly oral cancers in the last few decades.",MARCO_1905584,3," Throat Cancer Symptoms. Most often, throat cancer symptoms are mistaken with the symptoms of other diseases. Throat Cancer is also called as Larynx cancer, Vocal cord cancer or Cancer of the glottis. Throat cancer is a specific type of cancer of the vocal cords, voice box (larynx), or other areas of the throat.",MARCO_191056,4," Head and neck cancer is a general term used to refer to a range of different cancers that start developing in the head and neck region of the body. This includes the oral cavity, the tongue, palate, jaw, salivary glands, the throat (larynx) and the nose. Head and neck cancer occurs when malignant tumours grow in any of the tissue or lymph nodes in the head or neck. Not all tumours in the head and neck are malignant.",MARCO_291006,2," Throat cancer refers to cancerous tumors that develop in your throat (pharynx), voice box (larynx) or tonsils. Your throat is a muscular tube that begins behind your nose and ends in your neck. Throat cancer most often begins in the flat cells that line the inside of your throat. Your voice box sits just below your throat and is also susceptible to throat cancer. The voice box is made of cartilage and contains the vocal cords that vibrate to make sound when you talk. Throat cancer can also affect the piece of cartilage (epiglottis) that acts as a lid for your windpipe. Tonsil cancer, another form of throat cancer, affects the tonsils, which are located on the back of the throat.",MARCO_3090847,4
31_1,1," <span>What is throat cancer?</span>"," Types of throat cancer. Throat cancer is a general term that applies to cancer that develops in the throat (pharyngeal cancer) or in the voice box (laryngeal cancer). The throat and the voice box are closely connected, with the voice box located just below the throat.",MARCO_3705888,4," There are two main types of throat cancer: Squamous cell carcinoma develops in the thin, flat cells that line much of the throat. These cells look scale-like when checked under a microscope. This type of throat cancer is the most common in the United States. Adenocarcinoma begins in the glandular cells of the throat. Throat cancer includes several different cancers under the head and neck umbrella. Laryngeal cancer and pharyngeal cancer are two of the most common types of throat cancer. Pharyngeal cancer is broken into three types: 1  Nasopharynx cancer forms in the upper part of the throat.  Oropharynx cancer forms in the middle part of the throat.",MARCO_3878348,4," A drop of the juice will cause a burning sensation in the mouth and throat for hours. In its fresh state it is violently irritant to mucous membranes, causing intense burning to the mouth and throat, violent gastro-enteritis and possible death.A fresh slice of the root applied to skin will produce a blister.NOT FOT HOME USE. See also: Dragon Arum and Jack-in-the-Pulpit for related plants with similar properties. CONTAINS: Arum gives off prussic acid when bruised which is the result of certain cyanaphoric glucosides being present.risaema pentaphyllum No Image Available Has been used like A. thunbergii in cancer treatment (tubers are mixed with vinegar andor oil and poulticed onto small tumors). The fresh root is QUITE POISONOUS; the extracted juice injected into rabbits induced convulsions and paralysis and death.",MARCO_4032696,0," What Are Laryngeal and Hypopharyngeal Cancers? Laryngeal and hypopharyngeal cancers start in the lower part of the throat. Cancer starts when cells in the body begin to grow out of control. Cells in nearly any part of the body can become cancer, and can spread to other areas of the body. To learn more about how cancers start and spread, see What Is Cancer?",MARCO_5289694,2," Head and neck cancer includes cancers of the mouth, nose, sinuses, salivary glands, throat, and lymph nodes in the neck. Most begin in the moist tissues that line the mouth, nose and throat. Using tobacco or alcohol increases your risk.",MARCO_6060239,3
31_1,1," <span>What is throat cancer?</span>"," Throat cancer survival rate may differ depending on the stages. Under this cancer, four stages can be classified. Among the most critical stage is the stage 4. Stage 4 throat cancer survival rate is around 30 percent. This is the lowest percentage of survival rate of throat cancer.This stage is widely affecting the lips, the mouth and the lymph nodes. In contrast, stage 3 throat cancer survival rate levels up to 50 to 60 percent.If stages 3 and 4 are low in survival rates, stages 1 and 2 have higher percentages. This implies that you can either have higher or lower survival rate depending on the stage of your cancer.hroat cancer survival rate may differ depending on the stages. Under this cancer, four stages can be classified. Among the most critical stage is the stage 4. Stage 4 throat cancer survival rate is around 30 percent. This is the lowest percentage of survival rate of throat cancer.",MARCO_6617627,3," These abnormal cells form malignant growths called tumors. Throat cancer refers to cancer of the voice box, the vocal cords, and other parts of the throat, such as the tonsils and oropharynx. Throat cancer is often grouped into two categories: pharyngeal cancer and laryngeal cancer. Pharyngeal cancer forms in the pharynx.",MARCO_6914824,3," 1 Oral Cavity Cancer Many people will refer to this kind of cancer a mouth cancer. 2  Oropharyngeal Cancer Oropharyngeal cancer is the name given to cancers which affect the part of the throat called the Oropharynx.",MARCO_7208606,2," We target throat tumors with some of the most advanced treatments and technology available. Our throat cancer program offers pioneering advances in radiation, surgery and chemotherapy, with a high quality of care.",MARCO_7672895,0," What is throat cancer? Throat cancer is any cancer that forms in the throat. The throat, also called the pharynx, is a 5-inch-long tube that runs from your nose to your neck. The larynx (voice box) and pharynx are the two main places throat cancer forms. Throat cancer is a type of head and neck cancer, which includes cancer of the mouth, tonsils, nose, sinuses, salivary glands and neck lymph nodes. Learn about the types of throat cancer.",MARCO_789620,4
31_1,1," <span>What is throat cancer?</span>"," Head and neck cancer. Head and neck cancer is a group of cancers that starts within the mouth, nose, throat, larynx, sinuses, or salivary glands.1 Symptoms may include a lump or sore that does not heal, a sore throat that does not go away, trouble swallowing, or a change in the voice.",MARCO_8141109,2," 1 Some types of HPV may cause genital warts. 2  These are called low-risk types of HPV. 3  Some types of HPV may cause cell changes that sometimes lead to cervical cancer and certain other genital and throat cancers. 4  These are called high-risk types.5  This page discusses these high-risk types.es, high-risk types of genital HPV can cause cancer of the cervix, vagina, vulva, anus, penis, and throat. The type of cancer HPV causes most often is cervical cancer. Most HPV infections go away by themselves and don't cause cancer.",MARCO_8452826,1," 1 Symptoms of throat cancer. 2  Throat cancer can spread. 3  Risk factors of throat cancer.  Diagnosis of throat 1  cancer. Treatment for throat cancer.  Side effects of cancer 1  treatment. Palliative 2  care. Where to get  help. Things to remember.",MARCO_8610846,1,
31_2,2," What is throat cancer?<br/><span>Is it treatable?</span>"," 1 Graves disease: An autoimmune condition in which the thyroid is overstimulated, causing hyperthyroidism. 2  Thyroid cancer: An uncommon form of cancer, thyroid cancer is usually curable. 3  Surgery, radiation, and hormone treatments may be used to treat thyroid cancer. Thyroid cancer: An uncommon form of cancer, thyroid cancer is usually curable. 2  Surgery, radiation, and hormone treatments may be used to treat thyroid cancer. 3  Thyroid nodule: A small abnormal mass or lump in the thyroid gland.",MARCO_1044829,0," 1 Up to 50% Off at Tiff's Treats with TrialPay. 2  $10 Off at Tiff's Treats via TrialPay. 3  Save As Much As 30% at Tiff's Treats with TrialPay.  Get $20 Off at Tiff's Treats by Using 1  TrialPay. Up to $15 Off at Tiff's Treats with TrialPay.  Save Up to $20 at Tiff's Treats via 1  TrialPay. $15 Off at Tiff's Treats with TrialPay.",MARCO_1293988,0," Infections cause about 2 million cancer cases a year, and 80 percent of those cases occur in less developed areas of the world, according to the study, which was published online May 8 in The Lancet Oncology. new study suggests that treatable infections cause cancer in 1 of 6 cases. HealthDay. + More. WEDNESDAY, May 9 (HealthDay News) -- One in six cancers worldwide is caused by preventable or treatable infections, a new study finds.",MARCO_1367267,0," abilify aripiprazole is an atypical antipsychotic it is used to treat schizophrenia and bipolar disorder also known as manic depression it is also used to treat tourette s disorder and some symptoms of autismthis medicine may also be used in combination with antidepressants to treat major depressive disorderripiprazole is used alone or together with other medicines to treat mental conditions such as bipolar i disorder manic depressive illness major depressive disorder and schizophrenia it is also used in children to treat irritability associated with autistic disorder and tourette syndrome",MARCO_1661806,0," Introduction. Skin cancer is usually a result of too much sun exposure. Skin cancer is the most common form of cancer. Many types of skin cancer are both preventable and treatable. There are 5 different types of skin cancer: 1  Basal cell carcinoma is the most common form, accounting for 90% of all skin cancers. 2  It starts in the basal cells, at the bottom of the outer skin layer. 3  This skin cancer is caused by long-term exposure to sunlight.",MARCO_1786254,0
31_2,2," What is throat cancer?<br/><span>Is it treatable?</span>"," Head and neck cancer. Head and neck cancer is a group of cancers that starts within the mouth, nose, throat, larynx, sinuses, or salivary glands. Symptoms may include a lump or sore that does not heal, a sore throat that does not go away, trouble swallowing, or a change in the voice.",MARCO_191055,0," Last reviewed on RxList 4292015. Haldol (haloperidol) is an antipsychotic drug that decreases excitement in the brain. It is used to treat psychotic disorders like schizophrenia, to control motor (movement) and verbal (for example, Tourette's syndrome) tics and is used to treat severe behavior problems in children.ast reviewed on RxList 4292015. Haldol (haloperidol) is an antipsychotic drug that decreases excitement in the brain. It is used to treat psychotic disorders like schizophrenia, to control motor (movement) and verbal (for example, Tourette's syndrome) tics and is used to treat severe behavior problems in children.",MARCO_2091338,0," The treatment for encephalopathy varies depending on what caused it. Treatment may include medications to treat your symptoms and medications or surgery to treat the underlying cause. Your doctor may recommend nutritional supplements to slow the damage to your brain, or a special diet to treat underlying causes.",MARCO_243658,0," The good news is that thyroid conditions, such as hypothyroidism and thyroid cancer, are treatable. In most cases, hypothyroidism can be completely controlled with daily medication. And, the cure rate for thyroid cancer, which typically includes removing the gland, is more than 90 percent.",MARCO_265811,0," #2: Believe that you are worthy of the way you want to be treated. If you dont think you are worthy of being treated with gentleness and kindness, you shall not be treated so. In fact, you will abuse yourself before anybody else gets a chance to do so.",MARCO_2815900,0
31_2,2," What is throat cancer?<br/><span>Is it treatable?</span>"," 1 Surgery for early-stage throat cancer. 2  Throat cancer that is confined to the surface of the throat or the vocal cords may be treated surgically using endoscopy. 3  Your doctor may insert a hollow endoscope into your throat or voice box and then pass special surgical tools or a laser through the scope.ptions may include: 1  Surgery for early-stage throat cancer. 2  Throat cancer that is confined to the surface of the throat or the vocal cords may be treated surgically using endoscopy. 3  Your doctor may insert a hollow endoscope into your throat or voice box and then pass special surgical tools or a laser through the scope.",MARCO_2925881,4," Many people with a stiff neck find taking a warm bath to be helpful. Symptoms of a cold combined with a stiff neck can be caused by neck cancer. Persistent headaches and stress can cause the neck to become stiffer. A cold with neck stiffness may be caused by tonsillitis.A heating pad can be used to treat a stiff neck when it's accompanied by a cold. In some cases, cold and flu symptoms in tandem with a stiff neck indicate meningitis or another serious ailment. Colds can cause a sore throat.any people with a stiff neck find taking a warm bath to be helpful. Symptoms of a cold combined with a stiff neck can be caused by neck cancer. Persistent headaches and stress can cause the neck to become stiffer. A cold with neck stiffness may be caused by tonsillitis.",MARCO_3102136,2," Uses of This Medicine. Pilocarpine tablets are used to treat dryness of the mouth and throat caused by a decrease in the amount of saliva that may occur after radiation treatment for cancer of the head and neck or in patients with Sjogren's syndrome. This medicine may help you speak without having to sip liquids.ses of This Medicine. Pilocarpine tablets are used to treat dryness of the mouth and throat caused by a decrease in the amount of saliva that may occur after radiation treatment for cancer of the head and neck or in patients with Sjogren's syndrome. This medicine may help you speak without having to sip liquids.",MARCO_3286054,2," Low blood pressure is treatable, but it's important to find out what's causing your condition so that it can be properly treated.",MARCO_3439882,0," Throat cancers may be cured when detected early. If the cancer has spread (metastasized) to surrounding tissues or lymph nodes in the neck, about half of patients can be cured. If the cancer has spread to parts of the body outside the head and neck, the cancer is not curable. Treatment is aimed at prolonging and improving quality of life. After treatment, therapy is needed to help with speech and swallowing.",MARCO_3581481,4
31_2,2," What is throat cancer?<br/><span>Is it treatable?</span>"," Mesotherapy is the breakthrough medical practice that allows patients a non-invasive remedy to a variety of conditions. Mesotherapy treats cellulite. Mesotherapy treats unwanted fat. Mesotherapy treats wrinkles and aging of the skin. Mesotherapy treats sagging skin. Mesotherapy treats aged hands.",MARCO_3671702,0," There are two main types of throat cancer: Squamous cell carcinoma develops in the thin, flat cells that line much of the throat. These cells look scale-like when checked under a microscope. This type of throat cancer is the most common in the United States. Adenocarcinoma begins in the glandular cells of the throat. Throat cancer includes several different cancers under the head and neck umbrella. Laryngeal cancer and pharyngeal cancer are two of the most common types of throat cancer. Pharyngeal cancer is broken into three types: 1  Nasopharynx cancer forms in the upper part of the throat.  Oropharynx cancer forms in the middle part of the throat.",MARCO_3878348,0," More than 11,000 American women develop cervical cancer each year. However, cervical cancer is a treatable condition, and there is a good chance of cure if the cancer is found and treated in the early stages. This article discusses the diagnosis and treatment of women with early-stage cervical cancer.",MARCO_4190373,0," Surgery for throat cancer. Surgery is the preferred treatment for early-stage throat cancers. The throat is comprised of the pharynx and the larynx. For advanced stage or recurrent throat cancer, we may combine surgery with other forms of treatment, such as radiation therapy and chemotherapy. These treatments may be used to shrink the tumor before surgery.",MARCO_4662511,4," The signs and symptoms of throat cancer can be quite variable. The most common symptoms are a persistent sore throat, trouble swallowing, a lump in the neck, a change in voice, or ear pain. The clinical appearance of throat cancer ranges from symptomatic white patches to large wounds.he signs and symptoms of throat cancer can be quite variable. The most common symptoms are a persistent sore throat, trouble swallowing, a lump in the neck, a change in voice, or ear pain. The clinical appearance of throat cancer ranges from symptomatic white patches to large wounds.",MARCO_4976188,0
31_2,2," What is throat cancer?<br/><span>Is it treatable?</span>"," Greenies Dental Treats for Dogs. Our Price. Our regular price: $ This item is on sale! 5 to 15 lbs - Teenie - 22 Treats, 6oz. 5 to 15 lbs - Teenie - 43 Treats, 12oz. 5 to 15 lbs - Teenie - 65 Treats, 18oz. 15 to 25 lbs - Petite - 10 Treats, 6oz. 15 to 25 lbs - Petite - 20 Treats, 12oz.",MARCO_5200885,0," Treatment. OCD is a serious, yet treatable anxiety disorder that often occurs with depression and other anxiety disorders. If not treated properly, it may become disabling.Most people who seek treatment experience significant improvement and enjoy an improved quality of life.reatment. OCD is a serious, yet treatable anxiety disorder that often occurs with depression and other anxiety disorders. If not treated properly, it may become disabling.",MARCO_5375362,0," People with these symptoms should tell their doctor so that any problem can be diagnosed and treated as early as possible. If you have symptoms that suggest laryngeal cancer, your doctor may do a physical exam. Your doctor looks at your throat and feels your neck for lumps, swelling, or other problems.You may have one or more of the following tests:iagnosis. If you have symptoms that suggest laryngeal cancer, your doctor may do a physical exam. Your doctor looks at your throat and feels your neck for lumps, swelling, or other problems.",MARCO_5488480,1," In 2002, the total cost in the United States for initial cancer care was $6.7 billion. Over the course of the study, the average cost for treating a lung cancer patient went up $7,139, to an average of $39,891. With prostate cancer, the average price tag for treatment went up $5,345, to an average of $41,134.The cost of treating breast cancer went up $4,189, to an average cost of $20,964.However, the cost of treating prostate cancer dropped $196, to an average of $18,261 in 2002. The drop in cost was due to fewer men undergoing surgery for their cancer, the researchers found.owever, the cost of treating prostate cancer dropped $196, to an average of $18,261 in 2002. The drop in cost was due to fewer men undergoing surgery for their cancer, the researchers found.",MARCO_5773858,1," Pharyngitis is usually caused by a bacteria or a virus.The most well-known cause of pharyngitis, or sore throat, is the bacteria known as Group A Streptococcus (GAS). This infection is the most common cause of pharyngitis that is treatable with antibiotics, but it is NOT the most common cause of sore throat.haryngitis is usually caused by a bacteria or a virus.The most well-known cause of pharyngitis, or sore throat, is the bacteria known as Group A Streptococcus (GAS). This infection is the most common cause of pharyngitis that is treatable with antibiotics, but it is NOT the most common cause of sore throat.",MARCO_5921637,0
31_2,2," What is throat cancer?<br/><span>Is it treatable?</span>"," Limonene is a chemical found in the peels of citrus fruits and in other plants. It is used to make medicine. Limonene is used to promote weight loss, prevent cancer, treat cancer, and treat bronchitis.In foods, beverages, and chewing gum, limonene is used as a flavoring. In pharmaceuticals, limonene is added to help medicinal ointments and creams penetrate the skin.t is used to make medicine. Limonene is used to promote weight loss, prevent cancer, treat cancer, and treat bronchitis. In foods, beverages, and chewing gum, limonene is used as a flavoring.",MARCO_6217116,2," Oral cancer appears as a growth or sore in the mouth that does not go away. Oral cancer, which includes cancers of the lips, tongue, cheeks, floor of the mouth, hard and soft palate, sinuses, and pharynx (throat), can be life threatening if not diagnosed and treated early. Read more.",MARCO_6561204,2," Head and neck cancer includes cancers of the mouth, nose, sinuses, salivary glands, throat, and lymph nodes in the neck. Most begin in the moist tissues that line the mouth, nose and throat. Using tobacco or alcohol increases your risk. In fact, 85 percent of head and neck cancers are linked to tobacco use, including smoking and smokeless tobacco.",MARCO_6624741,0," Lung cancer is treated in several ways, depending on the type of lung cancer and how far it has spread. People with non-small cell lung cancer can be treated with surgery, chemotherapy, radiation therapy, targeted therapy, or a combination of these treatments.People with small cell lung cancer are usually treated with radiation therapy and chemotherapy.1  Surgery.2  An operation where doctors cut out cancer tissue.eople with non-small cell lung cancer can be treated with surgery, chemotherapy, radiation therapy, targeted therapy, or a combination of these treatments.",MARCO_6965459,0," Common signs and symptoms of throat cancer include: 1  a change in your voice. 2  trouble swallowing. 3  weight loss. 4  sore throat.5  persistent cough (may cough up blood).6  swollen lymph nodes in the neck. 7  wheezing.8  ear pain. 9  hoarseness.t can be difficult to detect throat cancer in its early stages. Common signs and symptoms of throat cancer include: 1  a change in your voice. 2  trouble swallowing. 3  weight loss. 4  sore throat. 5  persistent cough (may cough up blood). 6  swollen lymph nodes in the neck.",MARCO_7035860,0
