queryNum,subQueryNum,query,text1,document1,score1,text2,document2,score2,text3,document3,score3,text4,document4,score4,text5,document5,score5
50_1,1," <span>What was the first artificial satellite?</span>"," Satellites, of course! Satellites are any objects that revolve around (orbit) another object in space. Some satellites are natural, while others are artificial (man-made). The moon is an example of a natural satellite that orbits the Earth. We're going to focus, though, on the man-made satellites. Artificial satellites are machines that humans launch into orbit, usually around the Earth. Artificial satellites can be sent to orbit other planets, too. For example, there are currently satellites orbiting the Moon, the Sun, and several other planets, including Mercury, Venus, Mars, and Saturn.",MARCO_1986856,1," The world's first artificial satellite, the Sputnik 1, was launched by the Soviet Union in 1957. Since then, thousands of satellites have been launched into orbit around the Earth. Some satellites, notably space stations, have been launched in parts and assembled in orbit.he world's first artificial satellite, the Sputnik 1, was launched by the Soviet Union in 1957. Since then, thousands of satellites have been launched into orbit around the Earth. Some satellites, notably space stations, have been launched in parts and assembled in orbit.",MARCO_2314623,2," Satellite, natural object (moon) or spacecraft (artificial satellite) orbiting a larger astronomical body. Most known natural satellites orbit planets; the Earths Moon is the most obvious example. All the planets in the solar system except Mercury and Venus have natural satellites.",MARCO_2736169,0," 1. communications satellite-an artificial satellite that relays signals back to earth; moves in a geostationary orbit. communication equipment, communication system-facility consisting of the physical plants and equipment for disseminating information.here are two types: a. active communications satellite--A satellite that receives, regenerates, and retransmits signals between stations; b. passive communications satellite--A satellite which reflects communications signals between stations.",MARCO_2955716,0," A satellite is something small or less powerful that orbits around something bigger. It often describes a body in space, such as an artificial satellite that orbits the Earth and beams down signals that power devices like cell phones. The word satellite was first used to describe a follower of someone in a superior position. The word's meaning later broadened to describe anything small that's dependent on something larger. The small satellite circles around the more powerful force, like a moon orbiting a planet. Satellite can describe a small country  a satellite country  controlled by a larger one, or a large organization that has a small office  a satellite office  in another location.",MARCO_437830,0
50_1,1," <span>What was the first artificial satellite?</span>"," View full size image. A satellite is an object in space that orbits or circles around a bigger object. There are two kinds of satellites: natural (such as the moon orbiting the Earth) or artificial (such as the International Space Station orbiting the Earth).There are dozens upon dozens of natural satellites in the solar system, with almost every planet having at least one moon.Saturn, for example, has at least 53 natural satellites, and one artificial one  the Cassini spacecraft, which is exploring the ringed planet and its moons.here are dozens upon dozens of natural satellites in the solar system, with almost every planet having at least one moon. Saturn, for example, has at least 53 natural satellites, and one artificial one  the Cassini spacecraft, which is exploring the ringed planet and its moons.",MARCO_4575919,0," Satellite. In the context of spaceflight, a satellite is an object which has been placed into orbit by human endeavor. Such objects are sometimes called artificial satellites to distinguish them from natural satellites such as the Moon. The world's first artificial satellite, the Sputnik 1, was launched by the Soviet Union in 1957.",MARCO_4586129,2," There has been one known artificial satellite orbiting Mercury, known as Messenger.... The planet Mercury does not have any known moons (natural satellites) as of 2014. There has been one known artificial satellite orbiting Mercury, known as Messenger.... The planet Mercury does not have any known moons (natural satellites) as of 2014. There has been one known artificial satellite orbiting Mercury, known as Messenger. Messengers mission to Mercury was launched on August 3, 2004 and began an orbit of Mercury in March 2011. In the 1970s, astronomers believed Mercury might have a moon based on large amounts of ultraviolet radiation detected by a National Aeronautics and Space Administration (NASA) spacecraft.",MARCO_5326631,0," The end goal is to use such artificial molecules whose structure and working agenda resemble those of peptides in order to boost the human body's ability to fight cancer. These man-made molecules could potentially serve to treat said condition.According to the Alpha Galileo Foundation, the artificial peptides created by Peter Scott, Roger Phillips and their colleagues are not the first man-made molecules of this kind to have until now been obtained in laboratory conditions. recent paper in the journal Nature Chemistry documents the development of molecules whose behavior is similar to that of compounds naturally occurring in the body and that researchers say could help fight cancer.",MARCO_5874551,0," Freebase(0.00  0 votes)Rate this definition: Satellite. In the context of spaceflight, a satellite is an object which has been placed into orbit by human endeavor. Such objects are sometimes called artificial satellites to distinguish them from natural satellites such as the Moon.",MARCO_5885639,1
50_1,1," <span>What was the first artificial satellite?</span>"," The first satellite, Sputnik 1, was put into orbit around Earth and was therefore in geocentric orbit. By far this is the most common type of orbit with approximately 2,465 artificial satellites orbiting the Earth. Geocentric orbits may be further classified by their altitude, inclination and eccentricity.he world's first artificial satellite, the Sputnik 1, was launched by the Soviet Union in 1957. Since then, thousands of satellites have been launched into orbit around the Earth. Some satellites, notably space stations, have been launched in parts and assembled in orbit.",MARCO_6225123,2," Nearby & related entries: 1  artificial reality. 2  artificial respiration. 3  artificial satellite. 4  artificial selection. 5  artificial skin. 6  artificial sweetener. 7  artificial turf. 8  artificiality. 9  artificialize. 10  artificially.earby & related entries: 1  artificial reality. 2  artificial respiration. 3  artificial satellite. 4  artificial selection. 5  artificial skin. 6  artificial sweetener. 7  artificial turf. 8  artificiality. 9  artificialize. 10  artificially.",MARCO_6702149,0," The first artificial satellite to orbit the Earth was a Soviet  satellite named Sputnik I. It was launched by the  USSR on October 4, 1957, followed by Sputnik 2 in November.",MARCO_7293946,4," The first artificial satellite was Sputnik I launched by the Soviet Union in 1957. Now almost fifty years later there are thousands of satellites orbiting the Earth at various heights. There are various kinds of satellites.",MARCO_7642355,3," A satellite is any object that moves in a curved path around a planet. The moon is Earth's original, natural satellite, and there are many man-made (artificial) satellites, usually closer to Earth. The path a satellite follows is an orbit, which sometimes takes the shape of a circle.",MARCO_809441,0
50_1,1," <span>What was the first artificial satellite?</span>"," Satellite, natural object (moon) or spacecraft (artificial satellite) orbiting a larger astronomical body. Most known natural satellites orbit planets; the Earths Moon is the most obvious example. All the planets in the solar system except Mercury and Venus have natural satellites.",MARCO_2736169,0," Satellites, of course! Satellites are any objects that revolve around (orbit) another object in space. Some satellites are natural, while others are artificial (man-made). The moon is an example of a natural satellite that orbits the Earth. We're going to focus, though, on the man-made satellites. Artificial satellites are machines that humans launch into orbit, usually around the Earth. Artificial satellites can be sent to orbit other planets, too. For example, there are currently satellites orbiting the Moon, the Sun, and several other planets, including Mercury, Venus, Mars, and Saturn.",MARCO_1986856,1," The world's first artificial satellite, the Sputnik 1, was launched by the Soviet Union in 1957. Since then, thousands of satellites have been launched into orbit around the Earth. Some satellites, notably space stations, have been launched in parts and assembled in orbit.he world's first artificial satellite, the Sputnik 1, was launched by the Soviet Union in 1957. Since then, thousands of satellites have been launched into orbit around the Earth. Some satellites, notably space stations, have been launched in parts and assembled in orbit.",MARCO_2314623,2," The first artificial satellite was Sputnik I launched by the Soviet Union in 1957. Now almost fifty years later there are thousands of satellites orbiting the Earth at various heights. There are various kinds of satellites.",MARCO_7642355,3," The first artificial satellite to orbit the Earth was a Soviet  satellite named Sputnik I. It was launched by the  USSR on October 4, 1957, followed by Sputnik 2 in November.",MARCO_7293946,4
50_2,2," What was the first artificial satellite?<br/><span>What are the types of orbits?</span>"," Likewise, the moon orbits Earth. Many artificial satellites also orbit Earth. When it comes to satellites, space engineers have different types of orbits to choose from. Satellites can orbit Earth's equator or go over Earth's North and South Poles . . . or anything in between. They orbit at a low altitude of just a few hundred miles above Earth's surface or thousands of miles out in space. The choice of orbit all depends on the satellite's job.",MARCO_1089560,3," A strong chemical bond is formed from the transfer or sharing of electrons between atomic centers and relies on the electrostatic attraction between the protons in nuclei and the electrons in the orbitals.The types of strong bond differ due to the difference in electronegativity of the constituent elements. strong chemical bond is formed from the transfer or sharing of electrons between atomic centers and relies on the electrostatic attraction between the protons in nuclei and the electrons in the orbitals. The types of strong bond differ due to the difference in electronegativity of the constituent elements.",MARCO_2213090,0," Satellites are usually classified according to the type of orbit they are in. There are four types of orbit associated with satellites, and the type of orbit dictates a satellite's use.atellites are usually classified according to the type of orbit they are in. There are four types of orbit associated with satellites, and the type of orbit dictates a satellite's use.",MARCO_2627402,1," In the context of spaceflight, a satellite is an artificial object which has been intentionally placed into orbit. Such objects are sometimes called artificial satellites to distinguish them from natural satellites such as Earth's Moon. The world's first artificial satellite, the Sputnik 1, was launched by the Soviet Union in 1957. Since then, thousands of satellites have been launched into orbit around the Earth.",MARCO_2736167,0," A special case of geosynchronous satellite is the geostationary satellite, which has a geostationary orbit  a circular geosynchronous orbit directly above the Earth's equator. Another type of geosynchronous orbit used by satellites is the Tundra elliptical orbit.Geosynchronous satellites have the advantage of remaining permanently in the same area of the sky, as viewed from a particular location on Earth, and so permanently within view of a given ground station.f a geosynchronous satellite's orbit is not exactly aligned with the Earth's equator, the orbit is known as an inclined orbit. It will appear (when viewed by someone on the ground) to oscillate daily around a fixed point.",MARCO_3364500,2
50_2,2," What was the first artificial satellite?<br/><span>What are the types of orbits?</span>"," There are essentially three types of Earth orbits: high Earth orbit, medium Earth orbit, and low Earth orbit. Many weather and some communications satellites tend to have a high Earth orbit, farthest away from the surface. satellite that orbits directly above the equator has zero inclination. If a satellite orbits from the north pole (geographic, not magnetic) to the south pole, its inclination is 90 degrees. Orbital inclination is the angle between the plane of an orbit and the equator.",MARCO_4561072,4," There are essentially three types of Earth orbits: high Earth orbit, medium Earth orbit, and low Earth orbit. Many weather and some communications satellites tend to have a high Earth orbit, farthest away from the surface.Satellites that orbit in a medium (mid) Earth orbit include navigation and specialty satellites, designed to monitor a particular region.any weather and some communications satellites tend to have a high Earth orbit, farthest away from the surface. Satellites that orbit in a medium (mid) Earth orbit include navigation and specialty satellites, designed to monitor a particular region.",MARCO_4697333,4," The different types of orbits are: 1)Low Earth Orbits:This orbit is high enough to miss all the mountains and also high enough that the atmospheric drag won't bring it right back to the surface. ISS follows a Low Earth Orbit. 2)Highly Elliptical Orbits: Perigee is the closest point and apogee is the farthest point from earth..",MARCO_5419168,3," Orbits 'R' Us! When we talk about how Earth and the other planets travel around the Sun, we say they orbit the Sun. Likewise, the moon orbits Earth. Many artificial satellites also orbit Earth.When it comes to satellites, space engineers have different types of orbits to choose from.rbits 'R' Us! When we talk about how Earth and the other planets travel around the Sun, we say they orbit the Sun. Likewise, the moon orbits Earth. Many artificial satellites also orbit Earth.",MARCO_5662468,1," 1 Sun-synchronous orbit: An orbit which combines altitude and inclination in such a way that the satellite passes over any given point of the planets' surface at the same local solar time. 2  Such an orbit can place a satellite in constant sunlight and is useful for imaging, spy, and weather satellites.he first satellite, Sputnik 1, was put into orbit around Earth and was therefore in geocentric orbit. By far this is the most common type of orbit with approximately 2,465 artificial satellites orbiting the Earth. Geocentric orbits may be further classified by their altitude, inclination and eccentricity.",MARCO_5880972,4
50_2,2," What was the first artificial satellite?<br/><span>What are the types of orbits?</span>"," The hybrid orbitals will each have the same energy but will be different in energy from the original atomic orbitals. In sp 3 hybridization one s and three p valence atomic orbitals mix up together to form a new set of our sp 3 hybrid orbitals.These are directed towards the corners of a regular tetrahedron and the angle between them is 109 o 29'. The summary of sp 3 hybridization is given below.Back to Top.he hybrid orbitals will each have the same energy but will be different in energy from the original atomic orbitals. In sp 3 hybridization one s and three p valence atomic orbitals mix up together to form a new set of our sp 3 hybrid orbitals.",MARCO_6182807,0," A satellite is an object in space that orbits or circles around a bigger object. There are two kinds of satellites: natural (such as the moon orbiting the Earth) or artificial (such as the International Space Station orbiting the Earth).ost satellites also work in this zone. Geostationary orbit is the best spot for communications satellites to use, however. This is a zone above Earth's equator at an altitude of 35,786 km (22,236 mi).",MARCO_6225126,2," Satellite orbits vary greatly, depending on the purpose of the satellite, and are classified in a number of ways. Well-known (overlapping) classes include low Earth orbit, polar orbit, and geostationary orbit. About 6,600 satellites have been launched.",MARCO_6575716,4," The relative sizes and type of orbit are similar to the PlutoCharon system. In physics, an orbit is the gravitationally curved path of an object about a point in space, for example the orbit of a planet about a star or a natural satellite around a planet. Orbits of planets are typically elliptical, and the central mass being orbited is at a focal point of the ellipse.",MARCO_6734203,1," The weather satellite is a type of satellite that is primarily used to monitor the weather and climate of the Earth. Satellites can be polar orbiting, covering the entire Earth asynchronously, or geostationary, hovering over the same spot on the equator.Meteorological satellites see more than clouds and cloud systems.he weather satellite is a type of satellite that is primarily used to monitor the weather and climate of the Earth. Satellites can be polar orbiting, covering the entire Earth asynchronously, or geostationary, hovering over the same spot on the equator. Meteorological satellites see more than clouds and cloud systems.",MARCO_6830146,2
50_2,2," What was the first artificial satellite?<br/><span>What are the types of orbits?</span>"," Types of hybridization: sp Hybridization. This type involves mixing of one s orbital and one p orbital of equal energy to give a new hybrid orbital known as an sp hybridized orbital. The mixture of s and p orbital and the formed sp orbital is maintained at 180 0. Example of sp-hybridized is: BeCl 2; sp 2 Hybridization",MARCO_7204529,0," Orbits 'R' Us! When we talk about how Earth and the other planets travel around the Sun, we say they orbit the Sun. Likewise, the moon orbits Earth. Many artificial satellites also orbit Earth. When it comes to satellites, space engineers have different types of orbits to choose from.Satellites can orbit Earth's equator or go over Earth's North and South Poles. . . or anything in between.They orbit at a low altitude of just a few hundred miles above Earth's surface or thousands of miles out in space. The choice of orbit all depends on the satellite's job.atellites can orbit Earth's equator or go over Earth's North and South Poles. . . or anything in between. They orbit at a low altitude of just a few hundred miles above Earth's surface or thousands of miles out in space. The choice of orbit all depends on the satellite's job.",MARCO_7874316,3," A satellite is an object in space that orbits or circles around a bigger object. There are two kinds of satellites: natural (such as the moon orbiting the Earth) or artificial (such as the International Space Station orbiting the Earth).",MARCO_809437,1," Flying hundreds of kilometers above the Earth, the International Space Station and other orbiting satellites provide a unique perspective on our planet. (NASA Photograph S126-E-014918.) There are essentially three types of Earth orbits: high Earth orbit, medium Earth orbit, and low Earth orbit.",MARCO_8675019,3," A special case of geosynchronous satellite is the geostationary satellite, which has a geostationary orbit  a circular geosynchronous orbit directly above the Earth's equator. Another type of geosynchronous orbit used by satellites is the Tundra elliptical orbit.f a geosynchronous satellite's orbit is not exactly aligned with the Earth's equator, the orbit is known as an inclined orbit. It will appear (when viewed by someone on the ground) to oscillate daily around a fixed point.",MARCO_8811052,3
50_2,2," What was the first artificial satellite?<br/><span>What are the types of orbits?</span>"," A satellites orbit depends on its speed and distance from Earth. Below, the main orbit types are listed and defined. 1. LEO (Low Earth Orbit) - When a satellite circles close to Earth, its in Low Earth Orbit. Satellites in LEO are just 200-300 miles high. Because they orbit so close to the Earth, they must travel very fast (17,000 mph) so the gravity cant pull them back into the Earths atmosphere. a. Polar orbit-A satellite in polar orbit travels a north-south direction.",MARCO_954645,4," A strong chemical bond is formed from the transfer or sharing of electrons between atomic centers and relies on the electrostatic attraction between the protons in nuclei and the electrons in the orbitals.The types of strong bond differ due to the difference in electronegativity of the constituent elements. strong chemical bond is formed from the transfer or sharing of electrons between atomic centers and relies on the electrostatic attraction between the protons in nuclei and the electrons in the orbitals. The types of strong bond differ due to the difference in electronegativity of the constituent elements.",MARCO_2213090,0," Satellites are usually classified according to the type of orbit they are in. There are four types of orbit associated with satellites, and the type of orbit dictates a satellite's use.atellites are usually classified according to the type of orbit they are in. There are four types of orbit associated with satellites, and the type of orbit dictates a satellite's use.",MARCO_2627402,1," A special case of geosynchronous satellite is the geostationary satellite, which has a geostationary orbit  a circular geosynchronous orbit directly above the Earth's equator. Another type of geosynchronous orbit used by satellites is the Tundra elliptical orbit.Geosynchronous satellites have the advantage of remaining permanently in the same area of the sky, as viewed from a particular location on Earth, and so permanently within view of a given ground station.f a geosynchronous satellite's orbit is not exactly aligned with the Earth's equator, the orbit is known as an inclined orbit. It will appear (when viewed by someone on the ground) to oscillate daily around a fixed point.",MARCO_3364500,2," Likewise, the moon orbits Earth. Many artificial satellites also orbit Earth. When it comes to satellites, space engineers have different types of orbits to choose from. Satellites can orbit Earth's equator or go over Earth's North and South Poles . . . or anything in between. They orbit at a low altitude of just a few hundred miles above Earth's surface or thousands of miles out in space. The choice of orbit all depends on the satellite's job.",MARCO_1089560,3
50_3,3," What was the first artificial satellite?<br/>What are the types of orbits?<br/><span>What are the important classes of satellite?</span>"," Technomate, Vu+, Icecrypt and Sab, multi satellite motorised satellite systems. Motorised satellite systems from the Satellite Superstore UK. Motorised satellite systems from Technomate, Dreambox, Icecrypt, Manhattan.Clear transparent motorised satellite dish systems.High definition HD satellite systems.Blind search satellite systems.otorised satellite systems from the Satellite Superstore UK. Motorised satellite systems from Technomate, Dreambox, Icecrypt, Manhattan. Clear transparent motorised satellite dish systems. High definition HD satellite systems. Blind search satellite systems.",MARCO_1597384,3," The world was shocked on October 4, 1957, when the USSR launched the first artificial satellite, Sputnik 1. It was the beginning of the space race. The world was shocked on October 4, 1957, when the USSR launched the first artificial satellite, Sputnik 1. It was the beginning of the space race. Sputnik 1: Earth's First Artificial Satellite",MARCO_2103110,1," More World Satellites. 1  Asia Satellite. 2  Mexico Satellite. 3  Atlantic Ocean Satellite.  Caribbean 1  Satellite. Atlantic Ocean Tropical Satellite.  Australia 1  Satellite. Africa Satellite.  South America Satellite.",MARCO_2716792,2," In the context of spaceflight, a satellite is an artificial object which has been intentionally placed into orbit. Such objects are sometimes called artificial satellites to distinguish them from natural satellites such as Earth's Moon. Sun-synchronous orbit: An orbit which combines altitude and inclination in such a way that the satellite passes over any given point of the planets' surface at the same local solar time. 2  Such an orbit can place a satellite in constant sunlight and is useful for imaging, spy, and weather satellites.",MARCO_2955711,2," A geosynchronous satellite is a satellite that orbits the earth with an orbital period of 24 hours, thus matching the period of the earth's rotational motion. A special class of geosynchronous satellites is a geostationary satellite.",MARCO_4102952,3
