hitId,queryNum,topicNum,subQueryNum,query,hitCount,isLast,text1,document1,score1,text2,document2,score2,text3,document3,score3,text4,document4,score4,text5,document5,score5,workerId,mturkHitId
0,66_1,66,1," <span>Tell me about lavender plants.</span>",HIT number 1 of 34 for question 1,false," <span>*** NEW QUERY ***</span> Conoclinium dissectum is a perennial often forming tight clumps. One plant generally produces several flower heads, each with lavender or purple disc florets but no ray florets.",CAR_05f0685bba92de2c012d4b99b530887b19e018f4,0," The garden is almost entirely composed of exotic species. Three major specimen trees are found along the Greenup Street boundary, include a Lebanon cedar (Cedrus libani), several Walnut trees (Juglans regia) and a grafted Williams pear tree (Pyrus communis). Several hedges were planted, the most noticeable along Greenup Street a Cypress (X Cupressocyparis leylandii), and several smaller sections scattered throughout the garden Pink may (Crateagus laevigata), Yellow jasmine (Jasminum fruticans) and Pink may bush (Spiraea x bumalda). Some of the other, more notable plantings from the Chauvel era include the Century plants (Agave americana), Black bamboo grove (Bambusa nigra); the grafted English hawthorn (Crateagus monogyna); Red pyracantha (Pyracantha rogersiaria) and Orange pyracantha (Pyracantha angustitolia); English lavender (Lavandula augustifolia); many rose species including the Dorothy Perkins rose, Gallipoli or Rock rose, Red letter rose and Polsen Bedda rose; Banksia rose; Black boy rose; Mermaid rose; as well as a proliferation of Wisteria (Wisteria floribunda), Isabella grape vines (Vitis vinifera); honey suckles, a large number of flowering annuals including Hollyhock, Wallflower, Cosmos, Dahlia, Delphinium, Foxglove, Baby's breath, Jonquil, Alyssum, Stock, Forget-me-not and Zinnia. The many other notable trees include Japanese maple (Acer palmatum); Flowering dogwood (Cornus Florida); Flowering plum (Prunus x blirelana); English elm (Ulmus procera); English oak (Quercus robur), Deodar cedar (Cedrus deodara) and Crepe myrtle (Lagerstroemia indica).",CAR_0817a96c66f95a09385ff1812a29e15874ff6d20,0," The reserve ranges from high marsh to submerged shoreline and include coastal salt marsh, mudflats, tidal channels, and salt flats. Subtidal habitats feature eelgrass beds that shelter juvenile fish and invertebrates. Algae and bacterial mats coating mudflats exposed by high tide feed shorebirds and other species. The salt marsh supports California cordgrass (Spartina foliosa) and perennial pickleweed (Salicornia pacifica). Slightly higher in elevation is the midmarsh zone, with salt-tolerant plants such as sea lavender (Limonium californicum) and saltmarsh daisy (Jaumea carnosa). The drier high marsh is dominated by plants such as rambling sea-blite (Suaeda californica) and saltgrass (Distichlis spicata).",CAR_12659d30fb3bd0b73a41b6bde1b04a0a6e2eacf7,0," Lavandula latifolia, known as broadleaved lavender, spike lavender or Portuguese lavender,  is a flowering plant in the family Lamiaceae, native to the western Mediterranean region, from central Portugal to northern Italy (Liguria) through Spain and southern France. Hybridization can occur in the wild with English lavender (Lavandula  angustifolia).",CAR_12fd5d8edf3c84f47fbf63bf9259647862cc4b49,0," The collection of plants in this garden was originally part of the  Ghent Flower Show. The garden includes olive plants, fig trees, a cork oak, and a large patch of lavender which attracts butterflies.",CAR_17eebe7e7b0d0506a4fffef07d8658fbe20077ee,0,,
1,66_1,66,1," <span>Tell me about lavender plants.</span>",HIT number 2 of 34 for question 1,false," Lavender oil is an essential oil obtained by distillation from the flower spikes of certain species of lavender. Two forms are distinguished, lavender flower oil, a colorless oil, insoluble in water, having a density of 0.885 gmL; and lavender spike oil, a distillate from the herb Lavandula latifolia, having density 0.905 gmL. Like all essential oils, it is not a pure compound; it is a complex mixture of naturally occurring phytochemicals, including linalool and linalyl acetate. Kashmir Lavender oil is famous for being produced from lavender at the foothills of the Himalayas. As of 2011, the biggest lavender oil producer in the world is Bulgaria.",CAR_180b6a54c7b7b382e1077dc42b726643496aa072,0," Santolina chamaecyparissus syn. S. incana (cotton lavender, lavender-cotton) is a species of flowering plant in the family Asteraceae, native to the western and central Mediterranean.",CAR_19edc925d4c8873b3476533420a921a06f789716,0," Chorispora tenella is a species of plant in the mustard family known by several common names, including purple mustard, blue mustard, musk mustard, and crossflower. This mustard is native to Eurasia but is well known in other parts of the world, particularly in temperate regions, as an introduced species and a noxious weed. This is an annual herb reaching a maximum of half a meter in height and covered abundantly in sticky foliage. The four tiny flower petals emerge from a loose tube of sepals and spread into a corolla about a centimeter wide. The flowers are lavender in color and a field heavily infested with purple mustard can take on a distinct lavender wash. The plant has a strong scent which is generally considered unpleasant. The fruits are long upturned cylindrical capsules about 4 centimeters long containing round, reddish-brown seeds. This is a tenacious weed which can be troublesome in agriculture. It reduces yields in grain fields and when it is consumed by dairy cattle it gives their milk a bad taste and odor. This plant reproduces by seed, so any control method preventing the plants from setting seed is effective.",CAR_21dcf3f5be1f8116eee471d171bd7579c57ba993,0," Dodecatheon jeffreyi is a species of flowering plant in the primrose family known by the common names Sierra shooting star, Jeffrey's shooting star, and tall mountain shooting star. This wildflower is native to western North America from California to Alaska to Montana, where it grows in mountain meadows and streambanks.  This is a thick-rooted perennial with long, slightly wrinkled leaves around the base. It erects slim, tall, hairy stems which are dark in color and are topped with inflorescences of 3 to 18 showy flowers. Each flower nods, with its pointed center aimed at the ground when fresh, and becomes more erect with age. It has four or five reflexed sepals in shades of pink, lavender, or white which lie back against the body of the flower. Each sepal base has a blotch of bright yellow. From the corolla mouth protrude large dark  anthers surrounding a threadlike stigma. The flowers of this species were considered good luck by the Nlaka'pamux people, who used them as amulets and love charms.",CAR_2273e4451719635920fbda7d47a6b57b9839fbd5,0," Eryngium articulatum is a species of flowering plant in the carrot family known by the common names beethistle and jointed coyote thistle. This plant is native to the northwestern United States from California to Idaho, where it is a plant of marshes and riverbanks. This is a sturdy, branching perennial herb with rounded, naked stems reaching maximum heights over one meter. It has a few sparse sharply serrated leaves at nodes and branching points along its stem. Atop the stem is the rounded to egg-shaped flower head, which looks superficially like that of a thistle, mainly due to its spikiness and lavender color. It is fringed with up to 17 spiny, toothed, pointed bracts, each up to about two centimeters long. Each flower head is packed full of small lavender flowers. ",CAR_262e70d1febd9848de7da03cae7f4a1e17894aca,0,,
2,66_1,66,1," <span>Tell me about lavender plants.</span>",HIT number 3 of 34 for question 1,false," Pholisma arenarium is a species of flowering plant in the borage family known by several common names, including desert Christmas tree, scaly-stemmed sand plant, and purple sand food. It is native to northwestern Mexico, Arizona and southern California, where it grows in many habitat types, including desert, chaparral, and sandy coastal dunes. It is a fleshy perennial herb taking a compact cylindrical or ovate shape up to 20 or 30 centimeters tall above ground, often with part of the stem below the sandy surface. It is a parasitic plant growing on the roots or of various shrubs such as burrobush, Yerba Santa, California croton, rabbitbrush, and ragweeds. As a heterotroph which derives its nutrients from other plants, it lacks chlorophyll and is brownish-gray or whitish in color. There are hairy, glandular, pointed leaves along the surface of the plant. Flowers emerge between them, each roughly one centimeter wide, the rounded corolla lavender to deep or bright purple with a white margin.",CAR_2917537966fd883789251b3d0d29d651645d223b,0," The specific epithet chamaecyparissus literally means like Chamaecyparis (cypress), though it is not closely related to that plant. Nor is it closely related to either cotton or lavender, despite its common name cotton lavender.",CAR_36751e07b3d4f7dd8eba9adc9d8ae67ffd06c952,0," Originally, the name lavender only applied to flowers. By 1930, the book A Dictionary of Color identified three major shades of lavenderfloral lavender, lavender gray, and lavender blue, and in addition a fourth shade of lavender called old lavender (a dark lavender gray) (all four of these shades of lavender are shown below). By 1955, the publication of the ISCC-NBS Dictionary of Color Names (a color dictionary used by stamp collectors to identify the colors of stamps), now on the Internet, listed dozens of different shades of lavender. Today, although the color floral lavender (the color of the flower of the lavender plant) remains the standard for lavender, just as there are many shades of pink (light red, light rose, and light magenta colors), there are many shades of lavender (some light magenta, some light purple, mostly light violet as well as some grayish violet, and some light indigo colors).",CAR_3bad5823d2a0a8096b877382c43d009e046e997b,0," Lavender Bay was named after the Boatswain (bosun), George Lavender, from the prison hulk Phoenix, which was moored there for many years. The bay was originally called Hulk Bay and sometimes Phoenix Bay. George Lavender lived on  adjacent to the property of Billy Blue.On 30 May 1915 Lavender Bay railway station was opened to take the place of Milsons Point railway station. This only lasted for seven weeks, as passengers refused to alight here and demanded that trains stop at Milsons Point.   During the harbour bridge construction, Lavender Bay Station was the terminus for the North Shore Line.  The area is now railway storage sidings.",CAR_3c58f044dc92d02f428cd47c1eb615df4d6bb967,0," Dr. Greenthumb is a 1998 single by Cypress Hill. The song is about B-Real telling a story about his alter-ego Dr. Greenthumb, a cannabismarijuana grower. A music video was also released. The name Dr. Greenthumb was later used in Tell Me When to Go by E-40. The name Dr. Greenthumb dates back to the 1970s cartoon Josie and the Pussycats, where the name referred to a villain who ruled creature plants. It is unclear if this title was lifted by Cypress Hill.",CAR_3fcb20aee5e758be99ce06d4e817c80f94b0ef17,0,,
3,66_1,66,1," <span>Tell me about lavender plants.</span>",HIT number 4 of 34 for question 1,false," The flower heads are white with yellow centers, with the white to pale lavender rays, borne spring through fall depending on the individual plant.  Ray florets number 40-100.",CAR_4411736fa7bb54d3dfd97aa9669e095cfcba0561,0,"   Lavender Place was developed in around 1826 as a row of cottages at the eastern end of what is now Lavender Hill.  The clean air and supply of fresh water meant Lavender Place became home to several laundresses in the early-to-mid nineteenth century, who bleached and dried linen on the grassland behind the houses.  Lavender Place extended some distance into what is now Wandsworth Road, and remained a separate street for many years (one ceramic street name for 'Lavender Place' is still visible).  An acetic acid distillery, Beaufoy's Acetic Acid Works, was also located at the eastern end (for many years a public house called the Beaufoy remained at this end of Lavender Hill; the only surviving trace of the distillery is now a short street called Beaufoy Road).  In the 1870s the houses on Lavender Terrace were adapted to form a terrace of shops, and the houses on Lavender Place were eventually renumbered to become part of Lavender Hill.",CAR_45fad062039c32c04f96c1f0f5cdff7776496189,0," Big Summit Prairie is particularly well known for its wildflowers and butterflies.  From April through June, flowers cover Big Summit meadow.  The first wildflowers to bloom are usually grass widow, wild parsley, and shooting stars. From May through June, Wyethia, buttercups, and camas display their colors.  In drier areas, bitterroot bloom with large white and pink flowers. In June and July, other flowers take over the display including Missouri iris, larkspur, Indian paintbrush, checkermallow, and arrowleaf balsamroot. One notable plant is Pecks mariposa lily, a type of Calochortus with lavender petals. This plant is found only in the Ochoco Mountains.  Butterfly species common to the Big Summit Prairie include hairstreak, skipper, eastern tailed-blue, Lycaenidae, checkerspot, fritillary, swallowtail, admiral, and tortoiseshell.",CAR_470e854eae712b37534ee9abd09ae09dbc07348c,0," While living in Providence, Rhode Island, Stark began performing as Lavender Diamond in a play that she and puppeteer Xander Marro wrote, created and toured with called Birdsongs of the Bauharoque inspired by the work of artist Paul Laffoley. A self-produced CD of Stark's songs accompanied the tour in a hand-sewn, silkscreened sleeve. Lavender Diamond became a duo and eventually a four-piece band after Stark relocated to Los Angeles. With the help of local patrons Brian Kaneda and Josh Scuteri, Lavender Diamond self-released a four-song EP and performed at L.A.'s ArthurFest, at South by Southwest in Austin, Texas, and at the CMJ New Music Seminar in New York City. In 2006 Lavender Diamond signed to Rough Trade Records in Europe, and Matador Records in the U.S., and toured and performed with The Decemberists for three weeks.",CAR_582bd8609fbb4d69d1405b370333837d48f43551,0," Lavandula angustifolia (lavender most commonly True Lavender or English lavender,though not native to England ;also garden lavender, common lavender, narrow-leaved lavender), formerly L. officinalis, is a flowering plant in the family Lamiaceae, native to the Mediterranean (Spain, France, Italy, Croatia etc.).",CAR_5e633506b80df4839a994da045b617f9bd75e4ea,0,,
4,66_1,66,1," <span>Tell me about lavender plants.</span>",HIT number 5 of 34 for question 1,false," Chrysolina bicolor reaches about  in length, with females slightly larger than males. Pronotum is usually metallic blue. Elytra are densely punctured and vary from metallic green to reddish, sometimes with darker violet spots. The main host plants are lavender, oregano, rosemary and thyme.",CAR_5ea969a66bdd8672be80ff7bf8540fb530934b7a,0," Snowshill is also the home to Snowshill Lavender, a farm with 35 acres (142,000 m) of lavender fields, which also sells lavender products, plants and local crafts.",CAR_685da5efe1687dffc43eaaf2350554b2c1e6de5c,0," On exposed parts of the coast, the muds and sands are scoured by the tides, and have no vegetation except possibly algae or eelgrass. Where the shoreline is more protected, internationally important salt marshes can form, with several uncommon species. The salt marshes contains glassworts and common cord grass in the most exposed regions, with a succession of plants following on as the marsh becomes more established: first sea aster, then mainly sea lavender, with sea purslane in the creeks and smaller areas of sea plantain and other common marsh plants. The uncommon spiral tasselweed and long-bracted sedge are other lower salt marsh specialists. Scrubby sea-blite and matted sea lavender are characteristic plants of the drier upper salt marsh, although they are uncommon in the UK away from this coast. They may occur alongside scarce species including lesser centaury, curved hard-grass and sea pearlwort, with soft hornwort in the dykes.",CAR_6897c05292e1c4b3101a36a729f0438ebae9e7a6,0," Ornamental plants and trees are distinguished from utilitarian and crop plants, such as those used for agriculture and vegetable crops, and for forestry or as fruit trees. This does not preclude any particular type of plant being grown both for ornamental qualities in the garden, and for utilitarian purposes in other settings. Thus lavender is typically grown as an ornamental plant in gardens, but may also be grown as a crop plant for the production of lavender oil.",CAR_7ad6d821c3dff35a30818a361f8e827645397627,0," Norfolk Lavender Ltd was founded in 1932. Linn Chilvers supplied the plants and the labour. Francis Dusgate of Fring Hall provided the land. The first lavender field was planted on Dusgate's land at Fring and in 1936 Dusgate acquired Caley Mill on the River Heacham and the ground around it, not for the building but for the land. Lavender has been grown there ever since. A kiosk was erected from which bunches of lavender were sold to passing pre-war traffic. By 1936 Caley Mill was already disused and no significant repairs were carried out until 19534 after the new road (the A149) had been put through cutting the lavender field in half. At that time a new lay-by and kiosk were constructed. Further repairs and restoration work were carried out at the mill in 197778 and in the late 1980s. Since the early 1990s it has broadened its range to include other typical English floral fragrances. These are sold at home and abroad.",CAR_7f63592b5b366e766f2d64f93ab5ffb60e6c0085,0,,
5,66_1,66,1," <span>Tell me about lavender plants.</span>",HIT number 6 of 34 for question 1,false,"  1em auto 1em auto! style=background:#ddf2009! style=background:#ddfA(H1N1) Outbreak and Pandemic Milestones in Canada-rowspan=2 26 Aprilstyle=background:lavender  First case confirmed in Nova Scotia (First Case in Canada)-style=background:lavender  First confirmed case in British Columbia.-rowspan=2 28 Aprilstyle=background:lavender  First confirmed case in Alberta.-style=background:lavender  First confirmed case in Ontario.- 30 Aprilstyle=background:lavender  First confirmed case in Quebec- 1 Maystyle=background:lavender  First confirmed case in New Brunswick-rowspan=2 3 Maystyle=background:#c0c0c0;  First known cases of reverse zoonosis in the world.-style=background:lightcyan  First known infected pigs found in the world.- 4 Maystyle=background:lavender  First confirmed cases on Prince Edward Island-rowspan=3 7 Maystyle=background:#ffcccc;  First death confirmed in Alberta. (first death in Canada)-style=background:lightblue;  First case of zoonosis in Canada, where an infected pig infects a human.-style=background:lavender  First confirmed case in Saskatchewan.- 8 Maystyle=background:#ccffcc;  Community outbreaks confirmed in Canada.- 9 Maystyle=background:lavender  First confirmed case in the Manitoba.- 12 Maystyle=background:lavender  First confirmed case in the Yukon.- 25 Maystyle=background:#ffcccc;  First death in Ontario.- 28 Maystyle=background:lavender  First confirmed case in the Nunavut.- 1 Junestyle=background:lavender  First confirmed case in the Northwest Territories.- 8 Junestyle=background:#ffcccc;  First death in Quebec.- 13 Junestyle=background:lavender  First confirmed case in Newfoundland and Labrador.- 16 Junestyle=background:#ffcccc;  First death in Manitoba.- 27 Junestyle=background:#ffcccc;  First death in Saskatchewan.- 14 Julystyle=background:#ffcccc;  First death in British Columbia.- 15 Julystyle=background:#ffcccc;  First death in Nunavut.- 22 July style=background:yellow;  First case of Oseltamivir (Tamiflu) resistance found in Canada.- 24 Julystyle=background:#ffcccc;  First death in Nova Scotia.- 31 Octoberstyle=background:#ffcccc;  First death in Newfoundland and Labrador.- 1 Novemberstyle=background:#ffcccc;  First death in the Yukon.- 13 Novemberstyle=background:#ffcccc;  First death in New Brunswick.- 25 Novemberstyle=background:#ffcccc;  First death in the Northwest Territories.}",CAR_80cede1f6c0517f3e711e9878388c2ddd8e933f9,0," Lavender honey (created from bees feeding on lavender plants), instead of lavender essential oil has the best effects of uninfected wounds.",CAR_811c5bfd4d561ba854d75172e1c16c793d942a89,0," Falling off the Lavender Bridge is the debut album by British artist Lightspeed Champion, which was released on 21 January 2008. The album features the singles Galaxy of the Lost, Midnight Surprise and Tell Me What It's Worth.",CAR_8cc17ed27d0c7b40c8bbf7108f98e7049cfc415c,0," In July 2011 at the San Diego Comic-Con International while promoting his upcoming graphic novel Holy Terror in which the protagonist hero fights Al-Qaeda terrorists, Miller made a remark about Islamic terrorism and Islam saying, I was raised Catholic and I could tell you a lot about the Spanish Inquisition but the mysteries of the Catholic Church elude me. And I could tell you a lot about Al-Qaeda, but the mysteries of Islam elude me too.",CAR_9239d844a1c20ec390106c0773953ab4d8927121,0," He wrote a regular column called Faith in Action that appeared in Lavender, a Minnesota LGBT news magazine. He and his family appeared in the documentary For the Bible Tells Me So.",CAR_93e0ad358e51e6d43ce2d132487ad34fc0e61e07,0,,
6,66_1,66,1," <span>Tell me about lavender plants.</span>",HIT number 7 of 34 for question 1,false," Favourite food sources are flowering plants such as thistles; the queen also visits white deadnettle and vetches, while the male feeds on bramble, knapweed, lavender, and honeysuckles.",CAR_992d94b63f63eb2ecd19b3f517073d0915e66e90,0," One plant usually produces only one flower head, with 1535 white, lavender, or blue ray florets surrounding numerous small disc florets.",CAR_9d6b4b745c14a0163100b69105845c01dafb925a,0," Lavandula (common name lavender) is a genus of 39 known species of flowering plants in the mint family, Lamiaceae. It is native to the Old World and is found from Cape Verde and the Canary Islands, Europe across to northern and eastern Africa, the Mediterranean, southwest Asia to southeast India. Many members of the genus are cultivated extensively in temperate climates as ornamental plants for garden and landscape use, for use as culinary herbs, and also commercially for the extraction of essential oils. The most widely cultivated species, Lavandula angustifolia, is often referred to as lavender, and there is a color named for the shade of the flowers of this species.",CAR_a0de57db1c7977a783e17ba74cc31b281315c2b4,0," Tell Me What It's Worth is the third single from Lightspeed Champion's debut album Falling Off the Lavender Bridge, released on CD and 7 vinyl by Domino Records on 14 January 2008.",CAR_a2242176d6899f80a29b3c28cd1d2f2b3fc39896,0," Lavandula stoechas (French lavender, Spanish lavender, or topped lavender) is a species of flowering plant in the family  Lamiaceae, occurring naturally in Mediterranean Sea#Geography#Coastal countriesMediterranean countries.",CAR_b3f35e8f62a76c92e85cd8621a3bc79ecdc44159,0,,
7,66_1,66,1," <span>Tell me about lavender plants.</span>",HIT number 8 of 34 for question 1,false," Lavender also recorded a special introduction for the 'lost' colour episode of Dad's Army entitled Room at the Bottom which was broadcast on 13 December 2008. In 2014 Lavender appeared at the Edinburgh Festival Fringe in a show with Steven Mcnicoll entitled Don't tell him, Pike!, where Lavender talked about his time on Dad's Army and the subsequent effect it had on his career.",CAR_b4f317efa05fe6fbcbc77e3bf86e6fb62f4c8032,0," The band released two singles on Tigertrap Records ('Tell Me Tell Me Tell Me''Start Again' and 'Discussions''Singles The New Together') and were asked to perform live for Steve Lamacq's show on Radio 1 at Maida Vale. First single 'Tell Me Tell Me Tell Me' was awarded single of the week on Steve Lamacq's BBC6 Music show and sold out within a week of its release date. The two singles were also played by Fearne Cotton, John Kennedy, Marc Riley, and Chris Moyles.",CAR_b7e2d861706a16282d5a74595db988f5ad251f68,0," One of the unique things about Mona is a farm growing lavender.  of lavender are planted on the north side of town. Mona also has an annual Lavender Festival.",CAR_b9345c82908b3741359328c7c80df2c5ccd8c8e6,0," The Outdoor Gardens represent the temperate regions of the world with plants such as tea, lavender, hops, hemp and sunflowers, as well as local plant species.",CAR_c16d1676b943deb949b25e1b4d643b49ce400414,0," -Tell the World About the Cincinnati Reds",CAR_cdeb5ab93dc83c9ff27d6a83e9fae052a9a7e465,0,,
8,66_1,66,1," <span>Tell me about lavender plants.</span>",HIT number 9 of 34 for question 1,false," Herbs can be perennials such as thyme or lavender, biennials such as parsley, or annuals like basil. Perennial herbs can be shrubs such as rosemary, Rosmarinus officinalis, or trees such as bay laurel, Laurus nobilis  this contrasts with botanical herbs, which by definition cannot be woody plants. Some plants are used as both herbs and spices, such as dill weed and dill seed or coriander leaves and seeds. Also, there are some herbs such as those in the mint family that are used for both culinary and medicinal purposes.",CAR_dd90544b538cf0004ad3435daea7d4ebcbf1cfe7,0," Veronica anagallis-aquatica is a species of flowering plant in the plantain family Plantaginaceae known by the common names water speedwell, blue water-speedwell, and brook pimpernel. Its true native range is not clear, but the plant is present on most continents, and in most places it is probably naturalized. It occurs in many types of moist and wet habitat, and it is semi-aquatic, often growing in shallow water along streambanks, in ponds, and in other wetland environments. It is a rhizomatous perennial herb with stems growing 10 centimeters to about a meter in maximum length. It may be decumbent, the stem spreading along the ground and rooting where it touches moist substrate, or erect in form. The oppositely arranged leaves are green, smooth-edged or toothed, and sometimes clasping the stem where the leaf pairs meet at the bases. The inflorescence is a raceme of many flowers arising from the leaf axils. Each flower is borne on a short, curving pedicel. The flower corolla is up to a centimeter wide with four lobes, the upper lobe being widest. It is blue, lavender, or violet with purple lines near the base of each lobe. At the center are two small protruding stamens.",CAR_de9cbb31672d4e425d6398b5500993d4dd038026,0," Conoclinium dissectum is a perennial often forming tight clumps. One plant generally produces several flower heads, each with lavender or purple disc florets but no ray florets.",CAR_05f0685bba92de2c012d4b99b530887b19e018f4,0," In 2011 2,500 plants were planted, and a further 300 lavender plants and five cherry trees were planted near the station in 2012. ",CAR_e24aa7c3ddab9da8ec8cac9da5fe1fa82f7bab44,0," It grows as a perennial plant, usually as a subshrub though it can take any form from a herb to a shrub depending on conditions; the plants are usually woody at the base. The leaves are generally 58 cm in length.  Their form changes from the bottom to the top of the plant, the lower leaves being petioled while the upper leaves are sessile. The leaves grow in opposite pairs and are oval or lanceolate in shape. The plant flowers profusely, and though the individual flowers are small (no more than 2 cm), the inflorescences are large and showy.  The flowers are small in rounded clusters each with 5 fused petals and a spur. The most typical color is a brick red or purplish red, but colors include deep crimson, pale pink, and lavender.  Centranthus ruber 'Albus' (about 10% of individuals) has white blooms. Flowering takes place in early summer and, in cool summer areas, continues sporadically throughout the summer and into fall. The cultivar 'coccineus' is especially long-blooming. The blooms have a strong and somewhat rank scent. They are pollinated by both bees and butterflies and the plant is noted for attracting insects. It is used as a food plant by the larvae of some Lepidoptera species including Angle Shades. Seeds have tufts similar to dandelions that allow wind dispersal, and as such can become self-seed and become invasive if not properly controlled.",CAR_ec03242a02adff1f6dde6b2dfa58f191de96719f,0,,
9,66_1,66,1," <span>Tell me about lavender plants.</span>",HIT number 10 of 34 for question 1,false," Tell Me Lies",CAR_f4e1b647ee3aeda7d3f55bbf1fd626227f02b7f1,0," -Tell the World About the Cincinnati Reds World Champions",CAR_ff4482c284c80745d2364204d825b663e75b3052,0," If you 'value' Jim Boeheim, you'll get a chance to tell him at Syracuse Chiefs game. If you 'value' Jim Boeheim, you'll get a chance to tell him at Syracuse Chiefs game. If you 'value' Jim Boeheim, you'll get a chance to tell him at Syracuse Chiefs game.",MARCO_11096,0," Lavender plants produce lavender-colored flowers. Many gardeners start seeds of lavender (Lavandula spp.) indoors in trays, but these finicky seeds can be sown directly in the ground outdoors when they are planted in a well-drained location.",MARCO_1116226,0," Lavender (Lavandula angustifolia) is a handy plant to have around both for you and your garden. Its essential oil can be used to repel many problem insects -- such as mosquitoes, fleas and moths -- from humans, animals and even other plants. Lavender can act as a protector for other plants that lack natural abilities to ward off unwanted insects.",MARCO_1484516,0,,
