hitId,queryId,docId,workerId,assignmentId,time,trecScore,workerScore,trecBinaryScore,workerBinaryScore
158,60_4,MARCO_8302680,A1IBKP5PBH5EHC,3QL2OFSM9BY658QXIZS6LDICGUJCNW,90000,0,0,0,0
158,60_4,MARCO_8345984,A1IBKP5PBH5EHC,3QL2OFSM9BY658QXIZS6LDICGUJCNW,90000,0,2,0,1
158,60_4,MARCO_8439761,A1IBKP5PBH5EHC,3QL2OFSM9BY658QXIZS6LDICGUJCNW,90000,0,0,0,0
158,60_4,CAR_6d533a2fde811a50b869bf95df2e1da0a5d589b7,A1IBKP5PBH5EHC,3QL2OFSM9BY658QXIZS6LDICGUJCNW,90000,0,0,0,0
158,60_4,MARCO_8451333,A1IBKP5PBH5EHC,3QL2OFSM9BY658QXIZS6LDICGUJCNW,90000,0,0,0,0
84,60_3,CAR_fa0bb9e0656bf72ea9d22dcfba249dd80d171ef9,A1IBKP5PBH5EHC,3M0BCWMB80CDIX75W0NY6CPLRKXBWN,68000,0,0,0,0
84,60_3,CAR_fee95050b592741a51e8be96809a9ed48e41b0f9,A1IBKP5PBH5EHC,3M0BCWMB80CDIX75W0NY6CPLRKXBWN,68000,0,0,0,0
84,60_3,MARCO_1139250,A1IBKP5PBH5EHC,3M0BCWMB80CDIX75W0NY6CPLRKXBWN,68000,0,0,0,0
84,60_3,MARCO_1244978,A1IBKP5PBH5EHC,3M0BCWMB80CDIX75W0NY6CPLRKXBWN,68000,0,0,0,0
84,60_3,MARCO_1255673,A1IBKP5PBH5EHC,3M0BCWMB80CDIX75W0NY6CPLRKXBWN,68000,0,0,0,0
111,60_3,CAR_3be4bae6636d3ae7a0e62852d06d506ab83202b2,A1IBKP5PBH5EHC,31Q0U3WYDUVXFKOCMVMX8KDVCH6171,72000,0,0,0,0
111,60_3,MARCO_7351717,A1IBKP5PBH5EHC,31Q0U3WYDUVXFKOCMVMX8KDVCH6171,72000,0,0,0,0
111,60_3,MARCO_7364111,A1IBKP5PBH5EHC,31Q0U3WYDUVXFKOCMVMX8KDVCH6171,72000,0,0,0,0
111,60_3,MARCO_7498459,A1IBKP5PBH5EHC,31Q0U3WYDUVXFKOCMVMX8KDVCH6171,72000,0,0,0,0
111,60_3,MARCO_7498461,A1IBKP5PBH5EHC,31Q0U3WYDUVXFKOCMVMX8KDVCH6171,72000,0,1,0,0
201,60_6,CAR_c22f0b868028dd82a7400cbe48a98e7563f49981,A1IBKP5PBH5EHC,3KV0LJBBH714TSUGOV31XTSYCWARMY,243000,0,1,0,0
201,60_6,CAR_c9db6c2bfd3bb021680682aaa2fc9f0796c65465,A1IBKP5PBH5EHC,3KV0LJBBH714TSUGOV31XTSYCWARMY,243000,0,2,0,1
201,60_6,CAR_cf19b87d6d00b2c548e8b75065ac906e8d352d77,A1IBKP5PBH5EHC,3KV0LJBBH714TSUGOV31XTSYCWARMY,243000,0,0,0,0
201,60_6,CAR_d22b3bce6aed9728fed81c5c8e9d69d5c9c9e587,A1IBKP5PBH5EHC,3KV0LJBBH714TSUGOV31XTSYCWARMY,243000,0,1,0,0
201,60_6,CAR_d3e398093ac7c15087380fb1a4afd78b8c13ec3f,A1IBKP5PBH5EHC,3KV0LJBBH714TSUGOV31XTSYCWARMY,243000,0,3,0,1
95,60_3,MARCO_3957040,A1IBKP5PBH5EHC,3LUY3GC634G0WC7E7XXN9GVTFX5P7M,98000,0,1,0,0
95,60_3,MARCO_4305013,A1IBKP5PBH5EHC,3LUY3GC634G0WC7E7XXN9GVTFX5P7M,98000,0,0,0,0
95,60_3,CAR_1c5ec8b44da9393da84c5b0d86fd1510c8ba73c6,A1IBKP5PBH5EHC,3LUY3GC634G0WC7E7XXN9GVTFX5P7M,98000,0,0,0,0
95,60_3,MARCO_4327233,A1IBKP5PBH5EHC,3LUY3GC634G0WC7E7XXN9GVTFX5P7M,98000,0,0,0,0
95,60_3,MARCO_4356473,A1IBKP5PBH5EHC,3LUY3GC634G0WC7E7XXN9GVTFX5P7M,98000,0,0,0,0
