hitId,queryNum,topicNum,subQueryNum,query,text1,document1,score1,text2,document2,score2,text3,document3,score3,text4,document4,score4,text5,document5,score5,workerId
"1","31_1","31","1"," <span>What is throat cancer?</span>"," Delpech died of throat cancer at a hospital in Puteaux, France on 2 January 2016 at the age of 69.","CAR_116d829c4c800c2fc70f11692fec5e8c7e975250","0"," In recent years, the United States has experienced an increase in the number of cases of throat cancer caused by HPV type 16. Throat cancers associated with HPV have been estimated to have increased from 0.8 cases per 100,000 people in 1988 to 2.6 per 100,000 in 2004. Researchers explain these recent data by an increase in oral sex. Moreover, findings indicate this type of cancer is much more prevalent in men than in women, something that needs to be further explored. Currently, two immunizations, Gardasil and Cervarix, are recommended to girls to prevent HPV-related cervical cancer, but not as a precaution against HPV-related throat cancer.","CAR_1463f964653c5c9f614a0a88d26b175e4a8120f1","1"," Babe Ruth, perhaps the most famous player of all time, also died of throat cancer. In the mid-1940s, Ruth was diagnosed with nasopharyngeal carcinoma (cancer of the upper throat). The top two causes of this disease are alcohol and tobacco; Ruth was a heavy user of both.","CAR_172e16e89ea3d5546e53384a27c3be299bcfe968","2"," John Snagge died in Slough from throat cancer in 1996, aged 91.","CAR_1c93ef499a0c2856c4a857b0cb4720c380dda476","0"," Throat cancers are classified according to their histology or cell structure, and are commonly referred to by their location in the oral cavity and neck. This is because where the cancer appears in the throat affects the prognosis - some throat cancers are more aggressive than others depending upon their location. The stage at which the cancer is diagnosed is also a critical factor in the prognosis of throat cancer.","CAR_2174ad0aa50712ff24035c23f59a3c2b43267650","3","TEST"
"1","31_1","31","1"," <span>What is throat cancer?</span>"," Delpech died of throat cancer at a hospital in Puteaux, France on 2 January 2016 at the age of 69.","CAR_116d829c4c800c2fc70f11692fec5e8c7e975250","0"," In recent years, the United States has experienced an increase in the number of cases of throat cancer caused by HPV type 16. Throat cancers associated with HPV have been estimated to have increased from 0.8 cases per 100,000 people in 1988 to 2.6 per 100,000 in 2004. Researchers explain these recent data by an increase in oral sex. Moreover, findings indicate this type of cancer is much more prevalent in men than in women, something that needs to be further explored. Currently, two immunizations, Gardasil and Cervarix, are recommended to girls to prevent HPV-related cervical cancer, but not as a precaution against HPV-related throat cancer.","CAR_1463f964653c5c9f614a0a88d26b175e4a8120f1","1"," Babe Ruth, perhaps the most famous player of all time, also died of throat cancer. In the mid-1940s, Ruth was diagnosed with nasopharyngeal carcinoma (cancer of the upper throat). The top two causes of this disease are alcohol and tobacco; Ruth was a heavy user of both.","CAR_172e16e89ea3d5546e53384a27c3be299bcfe968","2"," John Snagge died in Slough from throat cancer in 1996, aged 91.","CAR_1c93ef499a0c2856c4a857b0cb4720c380dda476","0"," Throat cancers are classified according to their histology or cell structure, and are commonly referred to by their location in the oral cavity and neck. This is because where the cancer appears in the throat affects the prognosis - some throat cancers are more aggressive than others depending upon their location. The stage at which the cancer is diagnosed is also a critical factor in the prognosis of throat cancer.","CAR_2174ad0aa50712ff24035c23f59a3c2b43267650","3","TEST"
"1","31_1","31","1"," <span>What is throat cancer?</span>"," Delpech died of throat cancer at a hospital in Puteaux, France on 2 January 2016 at the age of 69.","CAR_116d829c4c800c2fc70f11692fec5e8c7e975250","0"," In recent years, the United States has experienced an increase in the number of cases of throat cancer caused by HPV type 16. Throat cancers associated with HPV have been estimated to have increased from 0.8 cases per 100,000 people in 1988 to 2.6 per 100,000 in 2004. Researchers explain these recent data by an increase in oral sex. Moreover, findings indicate this type of cancer is much more prevalent in men than in women, something that needs to be further explored. Currently, two immunizations, Gardasil and Cervarix, are recommended to girls to prevent HPV-related cervical cancer, but not as a precaution against HPV-related throat cancer.","CAR_1463f964653c5c9f614a0a88d26b175e4a8120f1","1"," Babe Ruth, perhaps the most famous player of all time, also died of throat cancer. In the mid-1940s, Ruth was diagnosed with nasopharyngeal carcinoma (cancer of the upper throat). The top two causes of this disease are alcohol and tobacco; Ruth was a heavy user of both.","CAR_172e16e89ea3d5546e53384a27c3be299bcfe968","2"," John Snagge died in Slough from throat cancer in 1996, aged 91.","CAR_1c93ef499a0c2856c4a857b0cb4720c380dda476","0"," Throat cancers are classified according to their histology or cell structure, and are commonly referred to by their location in the oral cavity and neck. This is because where the cancer appears in the throat affects the prognosis - some throat cancers are more aggressive than others depending upon their location. The stage at which the cancer is diagnosed is also a critical factor in the prognosis of throat cancer.","CAR_2174ad0aa50712ff24035c23f59a3c2b43267650","3","TEST"
"1","31_1","31","1"," <span>What is throat cancer?</span>"," Delpech died of throat cancer at a hospital in Puteaux, France on 2 January 2016 at the age of 69.","CAR_116d829c4c800c2fc70f11692fec5e8c7e975250","0"," In recent years, the United States has experienced an increase in the number of cases of throat cancer caused by HPV type 16. Throat cancers associated with HPV have been estimated to have increased from 0.8 cases per 100,000 people in 1988 to 2.6 per 100,000 in 2004. Researchers explain these recent data by an increase in oral sex. Moreover, findings indicate this type of cancer is much more prevalent in men than in women, something that needs to be further explored. Currently, two immunizations, Gardasil and Cervarix, are recommended to girls to prevent HPV-related cervical cancer, but not as a precaution against HPV-related throat cancer.","CAR_1463f964653c5c9f614a0a88d26b175e4a8120f1","1"," Babe Ruth, perhaps the most famous player of all time, also died of throat cancer. In the mid-1940s, Ruth was diagnosed with nasopharyngeal carcinoma (cancer of the upper throat). The top two causes of this disease are alcohol and tobacco; Ruth was a heavy user of both.","CAR_172e16e89ea3d5546e53384a27c3be299bcfe968","2"," John Snagge died in Slough from throat cancer in 1996, aged 91.","CAR_1c93ef499a0c2856c4a857b0cb4720c380dda476","0"," Throat cancers are classified according to their histology or cell structure, and are commonly referred to by their location in the oral cavity and neck. This is because where the cancer appears in the throat affects the prognosis - some throat cancers are more aggressive than others depending upon their location. The stage at which the cancer is diagnosed is also a critical factor in the prognosis of throat cancer.","CAR_2174ad0aa50712ff24035c23f59a3c2b43267650","3","TEST"
"1","31_1","31","1"," <span>What is throat cancer?</span>"," Delpech died of throat cancer at a hospital in Puteaux, France on 2 January 2016 at the age of 69.","CAR_116d829c4c800c2fc70f11692fec5e8c7e975250","0"," In recent years, the United States has experienced an increase in the number of cases of throat cancer caused by HPV type 16. Throat cancers associated with HPV have been estimated to have increased from 0.8 cases per 100,000 people in 1988 to 2.6 per 100,000 in 2004. Researchers explain these recent data by an increase in oral sex. Moreover, findings indicate this type of cancer is much more prevalent in men than in women, something that needs to be further explored. Currently, two immunizations, Gardasil and Cervarix, are recommended to girls to prevent HPV-related cervical cancer, but not as a precaution against HPV-related throat cancer.","CAR_1463f964653c5c9f614a0a88d26b175e4a8120f1","1"," Babe Ruth, perhaps the most famous player of all time, also died of throat cancer. In the mid-1940s, Ruth was diagnosed with nasopharyngeal carcinoma (cancer of the upper throat). The top two causes of this disease are alcohol and tobacco; Ruth was a heavy user of both.","CAR_172e16e89ea3d5546e53384a27c3be299bcfe968","2"," John Snagge died in Slough from throat cancer in 1996, aged 91.","CAR_1c93ef499a0c2856c4a857b0cb4720c380dda476","0"," Throat cancers are classified according to their histology or cell structure, and are commonly referred to by their location in the oral cavity and neck. This is because where the cancer appears in the throat affects the prognosis - some throat cancers are more aggressive than others depending upon their location. The stage at which the cancer is diagnosed is also a critical factor in the prognosis of throat cancer.","CAR_2174ad0aa50712ff24035c23f59a3c2b43267650","3","TEST"
"1","31_1","31","1"," <span>What is throat cancer?</span>"," Delpech died of throat cancer at a hospital in Puteaux, France on 2 January 2016 at the age of 69.","CAR_116d829c4c800c2fc70f11692fec5e8c7e975250","0"," In recent years, the United States has experienced an increase in the number of cases of throat cancer caused by HPV type 16. Throat cancers associated with HPV have been estimated to have increased from 0.8 cases per 100,000 people in 1988 to 2.6 per 100,000 in 2004. Researchers explain these recent data by an increase in oral sex. Moreover, findings indicate this type of cancer is much more prevalent in men than in women, something that needs to be further explored. Currently, two immunizations, Gardasil and Cervarix, are recommended to girls to prevent HPV-related cervical cancer, but not as a precaution against HPV-related throat cancer.","CAR_1463f964653c5c9f614a0a88d26b175e4a8120f1","1"," Babe Ruth, perhaps the most famous player of all time, also died of throat cancer. In the mid-1940s, Ruth was diagnosed with nasopharyngeal carcinoma (cancer of the upper throat). The top two causes of this disease are alcohol and tobacco; Ruth was a heavy user of both.","CAR_172e16e89ea3d5546e53384a27c3be299bcfe968","2"," John Snagge died in Slough from throat cancer in 1996, aged 91.","CAR_1c93ef499a0c2856c4a857b0cb4720c380dda476","0"," Throat cancers are classified according to their histology or cell structure, and are commonly referred to by their location in the oral cavity and neck. This is because where the cancer appears in the throat affects the prognosis - some throat cancers are more aggressive than others depending upon their location. The stage at which the cancer is diagnosed is also a critical factor in the prognosis of throat cancer.","CAR_2174ad0aa50712ff24035c23f59a3c2b43267650","3","TEST"
"1","31_1","31","1"," <span>What is throat cancer?</span>"," Delpech died of throat cancer at a hospital in Puteaux, France on 2 January 2016 at the age of 69.","CAR_116d829c4c800c2fc70f11692fec5e8c7e975250","0"," In recent years, the United States has experienced an increase in the number of cases of throat cancer caused by HPV type 16. Throat cancers associated with HPV have been estimated to have increased from 0.8 cases per 100,000 people in 1988 to 2.6 per 100,000 in 2004. Researchers explain these recent data by an increase in oral sex. Moreover, findings indicate this type of cancer is much more prevalent in men than in women, something that needs to be further explored. Currently, two immunizations, Gardasil and Cervarix, are recommended to girls to prevent HPV-related cervical cancer, but not as a precaution against HPV-related throat cancer.","CAR_1463f964653c5c9f614a0a88d26b175e4a8120f1","1"," Babe Ruth, perhaps the most famous player of all time, also died of throat cancer. In the mid-1940s, Ruth was diagnosed with nasopharyngeal carcinoma (cancer of the upper throat). The top two causes of this disease are alcohol and tobacco; Ruth was a heavy user of both.","CAR_172e16e89ea3d5546e53384a27c3be299bcfe968","2"," John Snagge died in Slough from throat cancer in 1996, aged 91.","CAR_1c93ef499a0c2856c4a857b0cb4720c380dda476","0"," Throat cancers are classified according to their histology or cell structure, and are commonly referred to by their location in the oral cavity and neck. This is because where the cancer appears in the throat affects the prognosis - some throat cancers are more aggressive than others depending upon their location. The stage at which the cancer is diagnosed is also a critical factor in the prognosis of throat cancer.","CAR_2174ad0aa50712ff24035c23f59a3c2b43267650","3","TEST"
"1","31_1","31","1"," <span>What is throat cancer?</span>"," Delpech died of throat cancer at a hospital in Puteaux, France on 2 January 2016 at the age of 69.","CAR_116d829c4c800c2fc70f11692fec5e8c7e975250","0"," In recent years, the United States has experienced an increase in the number of cases of throat cancer caused by HPV type 16. Throat cancers associated with HPV have been estimated to have increased from 0.8 cases per 100,000 people in 1988 to 2.6 per 100,000 in 2004. Researchers explain these recent data by an increase in oral sex. Moreover, findings indicate this type of cancer is much more prevalent in men than in women, something that needs to be further explored. Currently, two immunizations, Gardasil and Cervarix, are recommended to girls to prevent HPV-related cervical cancer, but not as a precaution against HPV-related throat cancer.","CAR_1463f964653c5c9f614a0a88d26b175e4a8120f1","1"," Babe Ruth, perhaps the most famous player of all time, also died of throat cancer. In the mid-1940s, Ruth was diagnosed with nasopharyngeal carcinoma (cancer of the upper throat). The top two causes of this disease are alcohol and tobacco; Ruth was a heavy user of both.","CAR_172e16e89ea3d5546e53384a27c3be299bcfe968","2"," John Snagge died in Slough from throat cancer in 1996, aged 91.","CAR_1c93ef499a0c2856c4a857b0cb4720c380dda476","0"," Throat cancers are classified according to their histology or cell structure, and are commonly referred to by their location in the oral cavity and neck. This is because where the cancer appears in the throat affects the prognosis - some throat cancers are more aggressive than others depending upon their location. The stage at which the cancer is diagnosed is also a critical factor in the prognosis of throat cancer.","CAR_2174ad0aa50712ff24035c23f59a3c2b43267650","3","TEST"
"1","31_1","31","1"," <span>What is throat cancer?</span>"," Delpech died of throat cancer at a hospital in Puteaux, France on 2 January 2016 at the age of 69.","CAR_116d829c4c800c2fc70f11692fec5e8c7e975250","0"," In recent years, the United States has experienced an increase in the number of cases of throat cancer caused by HPV type 16. Throat cancers associated with HPV have been estimated to have increased from 0.8 cases per 100,000 people in 1988 to 2.6 per 100,000 in 2004. Researchers explain these recent data by an increase in oral sex. Moreover, findings indicate this type of cancer is much more prevalent in men than in women, something that needs to be further explored. Currently, two immunizations, Gardasil and Cervarix, are recommended to girls to prevent HPV-related cervical cancer, but not as a precaution against HPV-related throat cancer.","CAR_1463f964653c5c9f614a0a88d26b175e4a8120f1","1"," Babe Ruth, perhaps the most famous player of all time, also died of throat cancer. In the mid-1940s, Ruth was diagnosed with nasopharyngeal carcinoma (cancer of the upper throat). The top two causes of this disease are alcohol and tobacco; Ruth was a heavy user of both.","CAR_172e16e89ea3d5546e53384a27c3be299bcfe968","2"," John Snagge died in Slough from throat cancer in 1996, aged 91.","CAR_1c93ef499a0c2856c4a857b0cb4720c380dda476","0"," Throat cancers are classified according to their histology or cell structure, and are commonly referred to by their location in the oral cavity and neck. This is because where the cancer appears in the throat affects the prognosis - some throat cancers are more aggressive than others depending upon their location. The stage at which the cancer is diagnosed is also a critical factor in the prognosis of throat cancer.","CAR_2174ad0aa50712ff24035c23f59a3c2b43267650","3","TEST"
"1","31_1","31","1"," <span>What is throat cancer?</span>"," Delpech died of throat cancer at a hospital in Puteaux, France on 2 January 2016 at the age of 69.","CAR_116d829c4c800c2fc70f11692fec5e8c7e975250","0"," In recent years, the United States has experienced an increase in the number of cases of throat cancer caused by HPV type 16. Throat cancers associated with HPV have been estimated to have increased from 0.8 cases per 100,000 people in 1988 to 2.6 per 100,000 in 2004. Researchers explain these recent data by an increase in oral sex. Moreover, findings indicate this type of cancer is much more prevalent in men than in women, something that needs to be further explored. Currently, two immunizations, Gardasil and Cervarix, are recommended to girls to prevent HPV-related cervical cancer, but not as a precaution against HPV-related throat cancer.","CAR_1463f964653c5c9f614a0a88d26b175e4a8120f1","1"," Babe Ruth, perhaps the most famous player of all time, also died of throat cancer. In the mid-1940s, Ruth was diagnosed with nasopharyngeal carcinoma (cancer of the upper throat). The top two causes of this disease are alcohol and tobacco; Ruth was a heavy user of both.","CAR_172e16e89ea3d5546e53384a27c3be299bcfe968","2"," John Snagge died in Slough from throat cancer in 1996, aged 91.","CAR_1c93ef499a0c2856c4a857b0cb4720c380dda476","0"," Throat cancers are classified according to their histology or cell structure, and are commonly referred to by their location in the oral cavity and neck. This is because where the cancer appears in the throat affects the prognosis - some throat cancers are more aggressive than others depending upon their location. The stage at which the cancer is diagnosed is also a critical factor in the prognosis of throat cancer.","CAR_2174ad0aa50712ff24035c23f59a3c2b43267650","3","TEST"
