hitId,queryNum,topicNum,subQueryNum,query,text1,document1,score1,text2,document2,score2,text3,document3,score3,text4,document4,score4,text5,document5,score5,workerId
1,31_1,31,1," <span>What is throat cancer?</span>"," Lymph nodes can also swell due to the presence of cancer. For cancers of the head and neck like throat or larynx (voice box) cancer, the lymph nodes of the neck are the first region that it spreads to.Lymphoma, which is a cancer of the immune system, also may lead to lymph node enlargement.ymph nodes can also swell due to the presence of cancer. For cancers of the head and neck like throat or larynx (voice box) cancer, the lymph nodes of the neck are the first region that it spreads to.",MARCO_1092925,3," Neck. Growths in the neck can be divided into the following categories: 1) Lymph nodes, 2) Thyroid, 3) Salivary Glands and 4) Other. The other category includes many different benign and malignant solid tumors as well as infectious abscesses which can originate from primary infections of the throat or the teeth.ymph nodes can also swell due to the presence of cancer. For cancers of the head and neck like throat or larynx (voice box) cancer, the lymph nodes of the neck are the first region that it spreads to.",MARCO_1092929,3," What are lip cancers? Lip cancers are abnormal cells that grow out of control and form lesions or tumors on the lips. They are the most common type of oral cancers. These cancers develop in thin, flat cells  called squamous cells  that line the lips, mouth, tongue, cheeks, sinuses, throat, and hard and soft palates. Lip cancer and other kinds of oral cancers are types of head and neck cancers.",MARCO_1295084,2," Smoking, including secondhand smoke, is the leading cause of lung cancer. Other cancers. Not only does smoking increase the risk of lung and oral cancer, it also increases the risk of other respiratory system cancers including cancer of the nose, sinuses, voice box, and throat.moking, including secondhand smoke, is the leading cause of lung cancer. Other cancers. Not only does smoking increase the risk of lung and oral cancer, it also increases the risk of other respiratory system cancers including cancer of the nose, sinuses, voice box, and throat.",MARCO_1331560,2," Throat or larynx cancer. Throat cancer is cancer of the vocal cords, larynx (voice box), or other areas of the throat. People who smoke or use tobacco are at risk of developing throat cancer. Drinking too much alcohol over a long time also increases risk. Smoking and drinking alcohol combined lead to an increased risk for throat cancer. Most throat cancers develop in adults older than 50. Men are more likely than women to develop throat cancer.",MARCO_1373522,4,
2,31_1,31,1," <span>What is throat cancer?</span>"," Also called: Hypopharyngeal cancer, Laryngeal cancer, Laryngopharyngeal cancer, Nasopharyngeal cancer, Oropharyngeal cancer, Pharyngeal cancer. Throat cancer is a type of head and neck cancer. Throat cancer has different names, depending on which part of the throat is affected.",MARCO_1462317,4," 1 Metastatic squamous neck cancer with occult primary is a disease in which squamous cell cancer spreads to lymph nodes in the neck and it is not known where the cancer first formed in the body.igns and symptoms of metastatic squamous neck cancer with occult primary include a lump or pain in the neck or throat. Check with your doctor if you have a lump or pain in your neck or throat that doesn't go away. These and other signs and symptoms may be caused by metastatic squamous neck cancer with occult primary.",MARCO_1705591,2," A virus spread during oral sex is now the main cause of throat cancer in people under 50, scientists have warned. They say the human papilloma virus spread during unprotected sex is to blame for a disturbing rise in potentially deadly oral cancers in the last few decades.",MARCO_1905584,3," Cancer is a class of diseases in which abnormal cells multiply and divide uncontrollably in the body. These abnormal cells form malignant growths called tumors. Throat cancer refers to cancer of the voice box, the vocal cords, and other parts of the throat, such as the tonsils and oropharynx. Throat cancer is often grouped into two categories: pharyngeal cancer and laryngeal cancer. Pharyngeal cancer forms in the pharynx. This is the hollow tube that runs from behind your nose to the top of your windpipe. Laryngeal cancer forms in the larynx, which is your voice box.",MARCO_1905587,4," This type of throat cancer is the most common in the United States. Adenocarcinoma begins in the glandular cells of the throat. Throat cancer includes several different cancers under the head and neck umbrella. Laryngeal cancer and pharyngeal cancer are two of the most common types of throat cancer. Pharyngeal cancer is broken into three types: Nasopharynx cancer forms in the upper part of the throat. Oropharynx cancer forms in the middle part of the throat. Hypopharynx cancer forms in the bottom part of the throat.",MARCO_191050,4,
3,31_1,31,1," <span>What is throat cancer?</span>"," Head and neck cancer. Head and neck cancer is a group of cancers that starts within the mouth, nose, throat, larynx, sinuses, or salivary glands. Symptoms may include a lump or sore that does not heal, a sore throat that does not go away, trouble swallowing, or a change in the voice.",MARCO_191055,2," Throat Cancer Symptoms. Most often, throat cancer symptoms are mistaken with the symptoms of other diseases. Throat Cancer is also called as Larynx cancer, Vocal cord cancer or Cancer of the glottis. Throat cancer is a specific type of cancer of the vocal cords, voice box (larynx), or other areas of the throat.",MARCO_191056,4," Throat cancer, also known as laryngeal cancer, is the uncontrolled growth of abnormal cells in the larynx, leading to the formation of a tumour. Most throat cancers start in the area of the larynx where the vocal cords are located.",MARCO_2715451,4," Throat cancer is a type of head and neck cancer. Throat cancer has different names, depending on what part of the throat is affected. The different parts of the throat are called the oropharynx, the hypopharynx, and the nasopharynx. Sometimes the larynx, or voice box, is also included. The main risk factors for throat cancer are smoking or using smokeless tobacco and use of alcohol. Treatments include surgery, radiation therapy, and chemotherapy.",MARCO_291003,4," Types of Cancer: Throat Cancer. Throat cancer refers to cancerous tumors that develop in your throat (pharynx) or voice box (larynx). Throat cancer includes cancer of the nasopharynx (the upper part of the throat behind the nose), the oropharynx (the middle part of the pharynx), and the hypopharynx (the bottom part of the pharynx). Cancer of the larynx (voice box) may also be included as a type of throat cancer, and is also called pharyngeal cancer.",MARCO_291004,4,
4,31_1,31,1," <span>What is throat cancer?</span>"," Head and neck cancer is a general term used to refer to a range of different cancers that start developing in the head and neck region of the body. This includes the oral cavity, the tongue, palate, jaw, salivary glands, the throat (larynx) and the nose. Head and neck cancer occurs when malignant tumours grow in any of the tissue or lymph nodes in the head or neck. Not all tumours in the head and neck are malignant.",MARCO_291006,2," Types of throat cancer. Throat cancer is a general term that applies to cancer that develops in the throat (pharyngeal cancer) or in the voice box (laryngeal cancer). The throat and the voice box are closely connected, with the voice box located just below the throat. Hypopharyngeal cancer (laryngopharyngeal cancer) begins in the hypopharynx (laryngopharynx)  the lower part of your throat, just above your esophagus and windpipe.",MARCO_2925879,4," Throat cancer is a general term that usually refers to cancer of the pharynx andor larynx. Regions included when considering throat cancer include the nasopharynx, oropharynx, hypopharynx, glottis, supraglottis and subglottis; about half of throat cancers develop in the larynx and the other half in the pharynx.",MARCO_2954451,4," For a minority of cases, the virus doesnt go away and can cause serious health problems. These include genital warts and warts in the throat (known as recurrent respiratory papillomatosis, or RRP). HPV can also cause cervical cancer and other cancers of the genitals, head, neck, and throat. The types of HPV that cause warts are different from the types that cause cancer. As such, having genital warts caused by HPV does not mean that you will develop cancer. Cancers caused by HPV often dont show symptoms until the cancer is in later stages of growth.",MARCO_3005493,2," Throat cancer refers to cancerous tumors that develop in your throat (pharynx), voice box (larynx) or tonsils. Your throat is a muscular tube that begins behind your nose and ends in your neck. Throat cancer most often begins in the flat cells that line the inside of your throat. Your voice box sits just below your throat and is also susceptible to throat cancer. The voice box is made of cartilage and contains the vocal cords that vibrate to make sound when you talk. Throat cancer can also affect the piece of cartilage (epiglottis) that acts as a lid for your windpipe. Tonsil cancer, another form of throat cancer, affects the tonsils, which are located on the back of the throat.",MARCO_3090847,4,
5,31_1,31,1," <span>What is throat cancer?</span>"," Throat or larynx cancer. Throat cancer is cancer of the vocal cords, larynx (voice box), or other areas of the throat. People who smoke or use tobacco are at risk of developing throat cancer. Drinking too much alcohol over a long time also increases risk. Smoking and drinking alcohol combined lead to an increased risk for throat cancer. Most throat cancers develop in adults older than 50. Men are more likely than women to develop throat cancer.",MARCO_1373522,4," Yes, your sore throat can be healed by eating certain foods. As soon as you start feeling an irritation in your throat, you must start eating some foods to heal your sore throat. Certain ingredients have always been used to cure sore throat. For example, tea liquor is very good for the throat.If you add some ginger to it, then it can also cure throat infections. Other warm foods like soups have a healing effect on the throat.Steaming hot chicken or tomato soup is very comforting if you have a bad throat. Other ingredients like honey and lime cure your sore throat if it is badly infected.es, your sore throat can be healed by eating certain foods. As soon as you start feeling an irritation in your throat, you must start eating some foods to heal your sore throat. Certain ingredients have always been used to cure sore throat. For example, tea liquor is very good for the throat.",MARCO_3219832,0," Strep throat is a throat infection usually caused by group A streptococcal bacteria. Strep throat is often accompanied by fever. Strep throat is one of many causes of inflammation of the pharynx (pharyngitis). Strep throat is a common cause of sore throat.Streptococcus spp. are the most common bacterial species to cause strep throat (15%-30% of pharyngitis in children and about 5 to 10% in adults).arely, a person with strep throat can develop a rash. If a person has a runny nose, constant sneezing and coughing, it actually is less likely that they have strep throat. Strep throat is diagnosed by the medical history, physical examination of the throat, and with a rapid strep test on a swab of the throat.",MARCO_3521561,0," What is head and neck cancer? The term head and neck cancer refers to a variety of tumors that can occur in the throat, larynx (voice box), nose, sinuses and mouth. Cancer that occurs in the mouth may also be considered to be a type of head and neck cancer. More information on cancers of the mouth, oropharynx and oral cavity can be found in our section on Oral Cancer.",MARCO_3581484,1," Types of throat cancer. Throat cancer is a general term that applies to cancer that develops in the throat (pharyngeal cancer) or in the voice box (laryngeal cancer). The throat and the voice box are closely connected, with the voice box located just below the throat.",MARCO_3705888,4,
6,31_1,31,1," <span>What is throat cancer?</span>"," Throat cancer includes several different cancers under the head and neck umbrella. Laryngeal cancer and pharyngeal cancer are two of the most common types of throat cancer. Pharyngeal cancer is broken into three types: Nasopharynx cancer forms in the upper part of the throat.",MARCO_3878345,4," Laryngeal cancer and pharyngeal cancer are two of the most common types of throat cancer. Pharyngeal cancer is broken into three types: 1  Nasopharynx cancer forms in the upper part of the throat. 2  Oropharynx cancer forms in the middle part of the throat.  Hypopharynx cancer forms in the bottom part of the throat.",MARCO_3878346,3," What is throat cancer? Throat cancer is any cancer that forms in the throat. The throat, also called the pharynx, is a 5-inch-long tube that runs from your nose to your neck. The larynx (voice box) and pharynx are the two main places throat cancer forms. Throat cancer is a type of head and neck cancer, which includes cancer of the mouth, tonsils, nose, sinuses, salivary glands and neck lymph nodes.",MARCO_3878347,4," There are two main types of throat cancer: Squamous cell carcinoma develops in the thin, flat cells that line much of the throat. These cells look scale-like when checked under a microscope. This type of throat cancer is the most common in the United States. Adenocarcinoma begins in the glandular cells of the throat. Throat cancer includes several different cancers under the head and neck umbrella. Laryngeal cancer and pharyngeal cancer are two of the most common types of throat cancer. Pharyngeal cancer is broken into three types: 1  Nasopharynx cancer forms in the upper part of the throat.  Oropharynx cancer forms in the middle part of the throat.",MARCO_3878348,4," Iron Maiden's Bruce Dickinson, who was diagnosed with throat cancer in 2014. Last month, Iron Maiden released its 16th album, The Book of Souls. Bruce Dickinson isn't through just yet.It is the end of a 12-hour press day where the Iron Maiden vocalist has been answering a multitude of questions, most concerning the iconic heavy metal band's 16 th full-length album, The Book of Souls.ron Maiden's Bruce Dickinson, who was diagnosed with throat cancer in 2014. Last month, Iron Maiden released its 16th album, The Book of Souls. Bruce Dickinson isn't through just yet.",MARCO_3975251,0,
7,31_1,31,1," <span>What is throat cancer?</span>"," Yes, your sore throat can be healed by eating certain foods. As soon as you start feeling an irritation in your throat, you must start eating some foods to heal your sore throat. Certain ingredients have always been used to cure sore throat. For example, tea liquor is very good for the throat.If you add some ginger to it, then it can also cure throat infections. Other warm foods like soups have a healing effect on the throat.Steaming hot chicken or tomato soup is very comforting if you have a bad throat. Other ingredients like honey and lime cure your sore throat if it is badly infected.es, your sore throat can be healed by eating certain foods. As soon as you start feeling an irritation in your throat, you must start eating some foods to heal your sore throat. Certain ingredients have always been used to cure sore throat. For example, tea liquor is very good for the throat.",MARCO_3219832,0," Vocal Cord Cancer: What You Need to Know. Symptoms of vocal cord cancer include a sore throat, sensation of something stuck in throat, voice change, trouble breathing, trouble swallowing with associated weight loss, and the appearance of one or more lumps that can be felt in the neck.",MARCO_3990599,2," Throat or larynx cancer. Throat cancer is cancer of the vocal cords, larynx (voice box), or other areas of the throat. People who smoke or use tobacco are at risk of developing throat cancer. Drinking too much alcohol over a long time also increases risk. Smoking and drinking alcohol combined lead to an increased risk for throat cancer.",MARCO_3990603,4," A drop of the juice will cause a burning sensation in the mouth and throat for hours. In its fresh state it is violently irritant to mucous membranes, causing intense burning to the mouth and throat, violent gastro-enteritis and possible death.A fresh slice of the root applied to skin will produce a blister.NOT FOT HOME USE. See also: Dragon Arum and Jack-in-the-Pulpit for related plants with similar properties. CONTAINS: Arum gives off prussic acid when bruised which is the result of certain cyanaphoric glucosides being present.risaema pentaphyllum No Image Available Has been used like A. thunbergii in cancer treatment (tubers are mixed with vinegar andor oil and poulticed onto small tumors). The fresh root is QUITE POISONOUS; the extracted juice injected into rabbits induced convulsions and paralysis and death.",MARCO_4032696,0," Oropharyngeal cancer is a disease in which malignant cells form in the tissue of oropharynx. The oropharynx is the middle part of the throat that includes the base of the tongue, the tonsils, the soft palate, and the walls of the pharynx.ropharyngeal squamous cell carcinomas edit. Oropharyngeal squamous cell carcinomas is a type of head and neck cancer that begins in the oropharynx, the middle part of the throat that includes the soft palate, the base of the tongue, the tonsils, and the side and back wall of the throat.",MARCO_4239408,3,
8,31_1,31,1," <span>What is throat cancer?</span>"," Throat cancer stages. Making an educated treatment decision begins with the stage, or progression, of the disease. The stage of throat cancer is one of the most important factors in evaluating treatment options.Our cancer doctors use a variety of diagnostic tests to evaluate throat cancer and develop an individualized treatment plan.he stage of throat cancer is one of the most important factors in evaluating treatment options. Our cancer doctors use a variety of diagnostic tests to evaluate throat cancer and develop an individualized treatment plan.",MARCO_4976182,1," It can be difficult to detect throat cancer in its early stages. Common signs and symptoms of throat cancer include: 1  a change in your voice. 2  trouble swallowing. 3  weight loss. 4  sore throat. 5  persistent cough (may cough up blood). 6  swollen lymph nodes in the neck.hese abnormal cells form malignant growths called tumors. Throat cancer refers to cancer of the voice box, the vocal cords, and other parts of the throat, such as the tonsils and the oropharynx. Raise money to cover your cancer treatment costs.",MARCO_4976187,3," What Are Laryngeal and Hypopharyngeal Cancers? Laryngeal and hypopharyngeal cancers start in the lower part of the throat. Cancer starts when cells in the body begin to grow out of control. Cells in nearly any part of the body can become cancer, and can spread to other areas of the body. To learn more about how cancers start and spread, see What Is Cancer?",MARCO_5289694,2," But a lump (or lumps) in the neck can be the first sign of cancer of the mouth, throat, voicebox (larynx), thyroid gland, or of certain lymphomas and blood cancers. Such lumps are generally painless and continue to enlarge steadily. Change in the voice. Most cancers in the larynx cause some changes in voice.ut a lump (or lumps) in the neck can be the first sign of cancer of the mouth, throat, voicebox (larynx), thyroid gland, or of certain lymphomas and blood cancers. Such lumps are generally painless and continue to enlarge steadily. Change in the voice. Most cancers in the larynx cause some changes in voice.",MARCO_5488478,2," About Esophageal Cancer. Esophageal cancer is a disease in which malignant (cancer) cells form in the tissues of the esophagus. The esophagus is the hollow, muscular tube that moves food and liquid from the throat to the stomach.wo types of esophageal cancer are squamous cell carcinoma (cancer that begins in flat cells lining the esophagus) and adenocarcinoma (cancer that begins in cells that make and release mucus and other fluids). PubMed Health Glossary.",MARCO_5947605,2,
9,31_1,31,1," <span>What is throat cancer?</span>"," Lymph nodes can also swell due to the presence of cancer. For cancers of the head and neck like throat or larynx (voice box) cancer, the lymph nodes of the neck are the first region that it spreads to.Lymphoma, which is a cancer of the immune system, also may lead to lymph node enlargement.ymph nodes can also swell due to the presence of cancer. For cancers of the head and neck like throat or larynx (voice box) cancer, the lymph nodes of the neck are the first region that it spreads to.",MARCO_1092925,3," Throat or larynx cancer. Throat cancer is cancer of the vocal cords, larynx (voice box), or other areas of the throat. People who smoke or use tobacco are at risk of developing throat cancer. Drinking too much alcohol over a long time also increases risk. Smoking and drinking alcohol combined lead to an increased risk for throat cancer. Most throat cancers develop in adults older than 50.",MARCO_5990560,4," Head and neck cancer includes cancers of the mouth, nose, sinuses, salivary glands, throat, and lymph nodes in the neck. Most begin in the moist tissues that line the mouth, nose and throat. Using tobacco or alcohol increases your risk.",MARCO_6060239,3," 1 Some types of HPV may cause genital warts. 2  These are called low-risk types of HPV. 3  Some types of HPV may cause cell changes that sometimes lead to cervical cancer and certain other genital and throat cancers. 4  These are called high-risk types.5  This page discusses these high-risk types.es, high-risk types of genital HPV can cause cancer of the cervix, vagina, vulva, anus, penis, and throat. The type of cancer HPV causes most often is cervical cancer. Most HPV infections go away by themselves and don't cause cancer. But abnormal cells can develop when high-risk types of HPV don't go away.",MARCO_6291496,1," Throat cancer can affect any part of the structures in your throat or mouth. It is a relatively rare form of cancer, but a persistent sore throat can be a sign of the problem. The feeling of a foreign body when you swallow, or lump in the neck or throat, may also be an indication of throat cancer.",MARCO_6430441,4,
10,31_1,31,1," <span>What is throat cancer?</span>"," Only one president has died from cancer and that is Hiram Ulysses Simpson Grant. He had cancer in the throat. Other presidents have had cancer but have not died. Only one president has died from cancer and that is Hiram Ulysses Simpson Grant. He had cancer in the throat.",MARCO_6520903,0," Throat cancer survival rate may differ depending on the stages. Under this cancer, four stages can be classified. Among the most critical stage is the stage 4. Stage 4 throat cancer survival rate is around 30 percent. This is the lowest percentage of survival rate of throat cancer.This stage is widely affecting the lips, the mouth and the lymph nodes. In contrast, stage 3 throat cancer survival rate levels up to 50 to 60 percent.If stages 3 and 4 are low in survival rates, stages 1 and 2 have higher percentages. This implies that you can either have higher or lower survival rate depending on the stage of your cancer.hroat cancer survival rate may differ depending on the stages. Under this cancer, four stages can be classified. Among the most critical stage is the stage 4. Stage 4 throat cancer survival rate is around 30 percent. This is the lowest percentage of survival rate of throat cancer.",MARCO_6617627,3," Head and neck cancer includes cancers of the mouth, nose, sinuses, salivary glands, throat, and lymph nodes in the neck. Most begin in the moist tissues that line the mouth, nose and throat. Using tobacco or alcohol increases your risk. In fact, 85 percent of head and neck cancers are linked to tobacco use, including smoking and smokeless tobacco.",MARCO_6624741,3," 1 Impact on the Heart: Studies have shown that women who drink excessively are at increased risk for damage to the heart muscle than men even for women drinking at lower levels. 13. 2  Cancer: Alcohol consumption increases the risk of cancer of the mouth, throat, esophagus, liver, colon, and breast among women. Cancer: Alcohol consumption increases the risk of cancer of the mouth, throat, esophagus, liver, colon, and breast among women. 2  The risk of breast cancer increases as alcohol use increases. 3  14-17. 4  Sexual Assault: Binge drinking is a risk factor for sexual assault, especially among young women in college settings.",MARCO_6676020,1," The thyroid gland is located at the base of your neck and is responsible for the production of hormones. These hormones regulate the speed at which food is converted into energy within the body.This energy then drives the various processes within the body. This process is known as the metabolism.hese include a sore throat, a lump in your neck, hoarse voice and a difficulty in swallowing. These symptoms can be indicative of other conditions such as throat infections so do not assume that a sore throat or hoarseness means that you have thyroid cancer. You may have a bacterial or. instead.",MARCO_6775353,1,
